Genotype,LogisticRegression_performance_accuracy,LogisticRegression_performance_f1_score,LogisticRegression_performance_auc,LogisticRegression_fairness_disparate_impact,LogisticRegression_fairness_discrimination_score,LogisticRegression_fairness_true_positive_rate_diff,LogisticRegression_fairness_false_positive_rate_diff,LogisticRegression_fairness_false_positive_error_rate_balance_score,LogisticRegression_fairness_false_negative_error_rate_balance_score,LogisticRegression_fairness_consistency,SVC_performance_accuracy,SVC_performance_f1_score,SVC_performance_auc,SVC_fairness_disparate_impact,SVC_fairness_discrimination_score,SVC_fairness_true_positive_rate_diff,SVC_fairness_false_positive_rate_diff,SVC_fairness_false_positive_error_rate_balance_score,SVC_fairness_false_negative_error_rate_balance_score,SVC_fairness_consistency,GaussianNB_performance_accuracy,GaussianNB_performance_f1_score,GaussianNB_performance_auc,GaussianNB_fairness_disparate_impact,GaussianNB_fairness_discrimination_score,GaussianNB_fairness_true_positive_rate_diff,GaussianNB_fairness_false_positive_rate_diff,GaussianNB_fairness_false_positive_error_rate_balance_score,GaussianNB_fairness_false_negative_error_rate_balance_score,GaussianNB_fairness_consistency,DecisionTreeClassifier_performance_accuracy,DecisionTreeClassifier_performance_f1_score,DecisionTreeClassifier_performance_auc,DecisionTreeClassifier_fairness_disparate_impact,DecisionTreeClassifier_fairness_discrimination_score,DecisionTreeClassifier_fairness_true_positive_rate_diff,DecisionTreeClassifier_fairness_false_positive_rate_diff,DecisionTreeClassifier_fairness_false_positive_error_rate_balance_score,DecisionTreeClassifier_fairness_false_negative_error_rate_balance_score,DecisionTreeClassifier_fairness_consistency,RandomForestClassifier_performance_accuracy,RandomForestClassifier_performance_f1_score,RandomForestClassifier_performance_auc,RandomForestClassifier_fairness_disparate_impact,RandomForestClassifier_fairness_discrimination_score,RandomForestClassifier_fairness_true_positive_rate_diff,RandomForestClassifier_fairness_false_positive_rate_diff,RandomForestClassifier_fairness_false_positive_error_rate_balance_score,RandomForestClassifier_fairness_false_negative_error_rate_balance_score,RandomForestClassifier_fairness_consistency,LogisticRegression_performance_accuracymean,LogisticRegression_performance_f1_scoremean,LogisticRegression_performance_aucmean,LogisticRegression_fairness_disparate_impactmean,LogisticRegression_fairness_discrimination_scoremean,LogisticRegression_fairness_true_positive_rate_diffmean,LogisticRegression_fairness_false_positive_rate_diffmean,LogisticRegression_fairness_false_positive_error_rate_balance_scoremean,LogisticRegression_fairness_false_negative_error_rate_balance_scoremean,LogisticRegression_fairness_consistencymean,SVC_performance_accuracymean,SVC_performance_f1_scoremean,SVC_performance_aucmean,SVC_fairness_disparate_impactmean,SVC_fairness_discrimination_scoremean,SVC_fairness_true_positive_rate_diffmean,SVC_fairness_false_positive_rate_diffmean,SVC_fairness_false_positive_error_rate_balance_scoremean,SVC_fairness_false_negative_error_rate_balance_scoremean,SVC_fairness_consistencymean,GaussianNB_performance_accuracymean,GaussianNB_performance_f1_scoremean,GaussianNB_performance_aucmean,GaussianNB_fairness_disparate_impactmean,GaussianNB_fairness_discrimination_scoremean,GaussianNB_fairness_true_positive_rate_diffmean,GaussianNB_fairness_false_positive_rate_diffmean,GaussianNB_fairness_false_positive_error_rate_balance_scoremean,GaussianNB_fairness_false_negative_error_rate_balance_scoremean,GaussianNB_fairness_consistencymean,DecisionTreeClassifier_performance_accuracymean,DecisionTreeClassifier_performance_f1_scoremean,DecisionTreeClassifier_performance_aucmean,DecisionTreeClassifier_fairness_disparate_impactmean,DecisionTreeClassifier_fairness_discrimination_scoremean,DecisionTreeClassifier_fairness_true_positive_rate_diffmean,DecisionTreeClassifier_fairness_false_positive_rate_diffmean,DecisionTreeClassifier_fairness_false_positive_error_rate_balance_scoremean,DecisionTreeClassifier_fairness_false_negative_error_rate_balance_scoremean,DecisionTreeClassifier_fairness_consistencymean,RandomForestClassifier_performance_accuracymean,RandomForestClassifier_performance_f1_scoremean,RandomForestClassifier_performance_aucmean,RandomForestClassifier_fairness_disparate_impactmean,RandomForestClassifier_fairness_discrimination_scoremean,RandomForestClassifier_fairness_true_positive_rate_diffmean,RandomForestClassifier_fairness_false_positive_rate_diffmean,RandomForestClassifier_fairness_false_positive_error_rate_balance_scoremean,RandomForestClassifier_fairness_false_negative_error_rate_balance_scoremean,RandomForestClassifier_fairness_consistencymean
"[['asian', 'LGAFFS']]",0.9488054607508533,0.9736908043096968,0.5135149023638232,0.0019511606040055742,0.0019343215456346951,0.0007181284873138763,0.03087517875182117,0.030875178751821126,0.0007181284873138767,1.973089437291555e-05,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294978059483179,0.6788685524126455,0.5763617677286742,6.9886011442201035,0.6361923380871204,0.6264517406720511,0.6428406033042231,0.6428406033042231,0.6264517406720511,0.02002622386419187,0.8668941979522184,0.9276437847866419,0.5829736211031176,0.1416936912385245,0.1042271378558678,0.08875532751424858,0.08249588862065559,0.08249588862065552,0.08875532751424856,0.012775661659166415,0.9424670892247684,0.9702920443101712,0.5236896197327852,0.013910165342784284,0.01346511880892167,0.010828938834015617,0.04327980369622616,0.043279803696226145,0.010828938834015601,0.0003853203308060094,0.9480253534861046,0.9733101774425583,0.5013908872901679,0.0036225198261773056,0.0032784839213745296,0.0036509969508006835,0.00505531878002597,0.005055318780025972,0.00365099695080068,1.3610883360593488e-05,0.9450674467739316,0.9717033731016567,0.4980301473107228,0.0013280142389902087,0.0012106833404303293,0.0013232838244209208,0.0,0.0,0.0013232838244209215,8.791297648976205e-06,0.3255322606858443,0.3773084530327466,0.5523683910014845,9791.406784295,0.584540667726891,0.6404606619367574,0.2953210807427938,0.2953210807427938,0.6404606619367574,0.00323344543844658,0.8985210466439136,0.9459473151322746,0.5422770355144455,0.032242709774193516,0.027027902857185242,0.02234836502691556,0.08851602187192602,0.08851602187192603,0.022348365026915538,0.006683028253293654,0.9318381277425646,0.9645518643761747,0.5281494804156674,0.014334658811058588,0.013399752602247898,0.010576809477712435,0.04779072612254178,0.04779072612254177,0.010576809477712421,0.0015026788541081908
"[['white', 'MSG'], ['asian', 'DIR'], ['other', 'REW'], ['white', 'LGAFFS'], ['other', 'REW'], ['white', 'DIR'], ['white', 'MSG']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3822525597269625,0.519893899204244,0.6429256594724221,0.9756141950698903,0.11222873463407021,0.15594961273700886,0.12443693764875575,0.12443693764875575,0.15594961273700877,0.0024288281943334092,0.9258898098488543,0.9614408929477423,0.505943816375471,0.010970275138699612,0.010283835496945518,0.01112090176230529,0.010036130205798225,0.010036130205798225,0.011120901762305254,0.0024013581405879867,0.9302779132130667,0.9638432364096081,0.4992463172319287,0.00893012401870565,0.00851725230718555,0.009985158602353076,0.008415662213091358,0.008415662213091353,0.009985158602353036,0.0014686705753911844,0.948772956281489,0.9737131718208765,0.4999828708461802,1.83025134312966e-07,1.8274465515930319e-07,1.99740954629584e-07,0.0,0.0,1.9974095462956712e-07,4.4022522027925135e-07,0.9450186900698848,0.9716762023349113,0.4980044535799931,0.0013629854627374657,0.00124124738400572,0.0013566904990827188,0.0,0.0,0.0013566904990827177,8.79129764897641e-06,0.3712497968470665,0.4199657083549171,0.580515016558182,1820.665419094374,0.46378011759565063,0.516857226234949,0.21837358863529172,0.2183735886352917,0.5168572262349489,0.0016535722115119827,0.9023728262636113,0.9481809965770878,0.539051044878383,0.019417642753396913,0.017212611581956496,0.015457220161251473,0.06729122368491365,0.06729122368491366,0.015457220161251449,0.00690404068378352,0.9342922151795873,0.9658870505188021,0.5276407445472195,0.011168680920331511,0.010536618903346933,0.008714613131443201,0.04198527774912457,0.04198527774912456,0.00871461313144319,0.0014912453246870997
"[['white', 'MSG'], ['hisp', 'MSG']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927840078010726,0.8792270531400966,0.7736724905789654,0.710516052033021,0.3567696033956772,0.2909316895693812,0.11275844500162724,0.11275844500162721,0.2909316895693812,0.0027237086558852585,0.9019990248659191,0.9481557905597111,0.5293936279547791,0.0018565754876644688,0.0016470898302548042,0.002014288949491268,0.0431953820106343,0.04319538201063429,0.0020142889494912616,0.008254645496447116,0.9429546562652364,0.9705808398290169,0.5149366221308668,0.00026240508488183735,0.00025724224756508646,0.00026577688617719007,0.007422676007834981,0.0074226760078349805,0.00026577688617719316,0.0003436662204631902,0.9483829026491146,0.9735055497526258,0.5002278177458034,3.2909865573922046e-05,3.246308858273995e-05,3.593506387201237e-05,0.0001331539021546558,0.00013315390215465594,3.5935063872012253e-05,3.366842484695622e-06,0.9487892085161712,0.9737217369149652,0.4999914354230901,4.572119693082723e-08,4.568616378983736e-08,4.9935238657383554e-08,0.0,0.0,4.9935238657396e-08,1.5848107930050884e-07,0.33476352998537295,0.37435180154645226,0.5857645312321572,1520.3356649853624,0.5578210240577225,0.6064452055726174,0.25316767318766237,0.2531676731876624,0.6064452055726174,0.0017242521315286954,0.9036730050381928,0.9489435095664865,0.5467939933767272,0.022973999551916594,0.019939366438686854,0.016669413501915954,0.08013054127300305,0.08013054127300305,0.01666941350191593,0.007341900133728976,0.9357711685356738,0.9666745653246079,0.5300719424460432,0.010615687890080565,0.010010263031734265,0.007987893644433468,0.042652717757012494,0.04265271775701248,0.007987893644433456,0.0015096062381745054
"[['black', 'LGAFFS'], ['asian', 'MSG'], ['hisp', 'DIR'], ['asian', 'LGAFFS'], ['white', 'MSG'], ['other', 'MSG']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8678693320331545,0.92736531760922,0.682596779719082,3.761901109331113,1.353315819720546,1.2755548707123419,1.214681195772397,1.214681195772397,1.2755548707123416,0.0023457312817535005,0.8932228181374939,0.9434546862896979,0.49323398424117854,0.005912954566742893,0.005220716362200676,0.004987384283062942,0.019973085323198435,0.019973085323198393,0.004987384283062956,0.004100513032308562,0.9453924914675768,0.9719298245614035,0.4982014388489209,6.543240767481721e-05,6.499426329946508e-05,9.793143550283247e-05,0.0,0.0,9.79314355028308e-05,5.715884260105697e-05,0.9475377864456365,0.9730411931181632,0.5020349434737924,0.00019759882931159905,0.00018150630394711081,0.00014002077306852231,0.003300468985785389,0.003300468985785391,0.00014002077306852158,3.491162086902439e-05,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41906387128230127,0.4665760578856975,0.622680712572799,2641.389991576848,0.5653099353885745,0.5900440779759513,0.24270446659851713,0.24270446659851713,0.5900440779759512,0.001789900277277617,0.9007963594994313,0.9472865931103673,0.5449777321000343,0.018450152296057606,0.01593407802692847,0.01387097489378249,0.059654773192636325,0.05965477319263633,0.013870974893782471,0.007890279886126414,0.9370063383715262,0.9673520794351863,0.5256172205093069,0.008424788914494724,0.00793578612448166,0.006757491311344788,0.02699782803756751,0.0269978280375675,0.0067574913113447755,0.0012347234474790665
"[['hisp', 'REW'], ['other', 'REW'], ['hisp', 'REW'], ['other', 'MSG'], ['other', 'DIR'], ['hisp', 'REW']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9034617259873232,0.9480314960629921,0.6878383007879411,1.4261344947224615,0.8254840687038497,0.658190337242158,1.5122041245450204,1.5122041245450204,0.6581903372421579,0.0006001942608243045,0.9073622623110678,0.9510309278350515,0.5502398081534772,0.011376322755556285,0.01010490257449915,0.0063815486554095685,0.0607312153372226,0.06073121533722263,0.006381548655409547,0.0077368878103723174,0.931740614334471,0.9644670050761421,0.5405618362452895,0.012809116791657488,0.011999210278010174,0.007059128468165398,0.04591494391044192,0.04591494391044187,0.007059128468165357,0.002194645986153665,0.9466439135381118,0.9725181762861344,0.5042668722165125,0.0008463443296361678,0.0007077923572094122,0.0005919389436416486,0.015538618706288485,0.015538618706288494,0.0005919389436416483,7.038673002000636e-05,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094588005850805,0.45966625180075826,0.6173187164554073,4041.4942667616656,0.47442516473440766,0.5049426871147014,0.21214837261589933,0.21214837261589933,0.5049426871147014,0.0017977327643968256,0.9033317081098651,0.9487018234116881,0.5488666209889231,0.019125421867541972,0.01663705421897515,0.014245628732536406,0.061029532677486224,0.06102953267748623,0.014245628732536385,0.007530343821972147,0.9378026978709572,0.9677740779266816,0.5276887061779149,0.007477776490432232,0.007052179667832296,0.005358087463839884,0.033216442430306116,0.033216442430306116,0.005358087463839871,0.0012395060542721794
"[['black', 'LGAFFS'], ['white', 'DIR'], ['white', 'DIR'], ['hisp', 'REW'], ['hisp', 'LGAFFS']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09117503656752804,0.08177339901477833,0.5165638917437478,4818.155649317485,0.6743356307399802,0.7855018595949552,0.02857228636248801,0.028572286362487972,0.785501859594955,0.0003717437850125967,0.89419795221843,0.9435336976320583,0.5658273381294964,0.04447201762043122,0.03773414719692615,0.027483811567189015,0.07477486597404116,0.07477486597404123,0.02748381156718896,0.010941929917606483,0.9336908824963432,0.965412004069176,0.5686193902021239,0.021020511333246044,0.019491738286397907,0.013572822784924787,0.07596896236890816,0.07596896236890811,0.01357282278492478,0.003023766166027576,0.9487892085161712,0.9737203995666301,0.5004419321685509,7.462465654079048e-05,7.41312763312513e-05,6.886980276512509e-05,0.0009907910852384866,0.000990791085238486,6.886980276512509e-05,8.82211341439581e-07,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4575979197139607,0.5100334057372284,0.6276704350805071,3493.565758210222,0.4687068301484905,0.4811894518059497,0.24653845999178678,0.24653845999178675,0.4811894518059496,0.002139345774432631,0.896668291890135,0.9448846543457902,0.5441538198013018,0.01728229170887986,0.014852780143224718,0.012562067449905569,0.060953509130052416,0.06095350913005245,0.012562067449905552,0.008303648726617296,0.9390703721761743,0.9684542426065043,0.5273055841041453,0.007649613963527456,0.007230842958191005,0.005295689874899332,0.029237207019100264,0.02923720701910025,0.005295689874899324,0.0010651231595647287
"[['asian', 'MSG'], ['other', 'REW']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08191126279863481,0.06364992541024365,0.5116820829051045,31282.07331567759,0.5570737552398677,0.6392286907100946,0.02857228636248801,0.028572286362487972,0.6392286907100946,0.0003655366094066598,0.9029741589468552,0.9484054964998704,0.5794621445700583,0.03429776018366378,0.029595274507583702,0.02515494582528369,0.062159198271405446,0.06215919827140548,0.025154945825283687,0.007138251946827816,0.9351535836177475,0.9662864385297846,0.5468653648509764,0.018233841929400318,0.017231882905418498,0.00990919652337954,0.06185198306758458,0.06185198306758453,0.009909196523379536,0.0012473781616612182,0.9486429384040308,0.9736431977334598,0.5003648509763619,9.362614851982121e-05,9.297950014976204e-05,9.246830561185423e-05,0.0009907910852384866,0.000990791085238486,9.246830561185423e-05,1.5839303425646876e-06,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5957906712172922,0.6707021839473913,0.6707622473449814,3137.4318159751447,0.4153507554165394,0.3952897657334031,0.2968699802843364,0.2968699802843364,0.395289765733403,0.003359452864147987,0.8961482203803024,0.9445700004782436,0.5408764417037798,0.01829386407383009,0.01538779369375515,0.013594786362420536,0.06682630372472327,0.06682630372472327,0.013594786362420513,0.008149697564833443,0.9405980822363075,0.9692970931644032,0.5209027064063035,0.004795729502042795,0.0045729969502739986,0.0032472455586944485,0.020397541654153875,0.020397541654153865,0.003247245558694446,0.0007203149948801375
"[['black', 'DIR'], ['hisp', 'MSG'], ['asian', 'LGAFFS'], ['asian', 'LGAFFS'], ['white', 'MSG'], ['other', 'MSG']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7786445636274988,0.871242200794101,0.6851318944844124,5.478102847955123,1.2765223984560055,1.2508035482794186,0.6596427946342125,0.6596427946342124,1.2508035482794182,0.009992998041781382,0.8069234519746465,0.8928571428571429,0.44775608084960605,0.031954601623883847,0.02324664686382065,0.023308968534759233,0.010698010303151699,0.010698010303151685,0.023308968534759254,0.006782541164337772,0.9453924914675768,0.9719298245614035,0.4982014388489209,0.0001219023996802782,0.0001210716732111225,0.00018410024128660523,0.0,0.0,0.0001841002412866006,5.179689941805321e-05,0.9485616772306195,0.9735999182485456,0.5003220280918123,1.8552414583172783e-05,1.817442087550403e-05,2.0510103409045387e-05,0.00010684230921668395,0.00010684230921668401,2.051010340904515e-05,2.8878774450318024e-06,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6139931740614334,0.6961496643085362,0.7028794107571088,4323.230667578423,0.38824008317162867,0.36245560164022084,0.21104477152903142,0.21104477152903142,0.36245560164022084,0.0023452954587854253,0.8998699821225418,0.9467193810860413,0.5393839214342812,0.011755876590561298,0.009959820084892136,0.009200876846754108,0.05707879176480947,0.05707879176480948,0.009200876846754084,0.007595395902772807,0.9411344059808224,0.969579322366656,0.5213355030261505,0.004418128300105511,0.00415513164934274,0.0029285837097146605,0.019152075490029605,0.0191520754900296,0.002928583709714655,0.0006740781399942097
"[['white', 'MSG'], ['white', 'REW']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38615309605070697,0.5240075614366729,0.649486125385406,1.042103742398142,0.12046142478231273,0.16556044876673717,0.11995206402617241,0.11995206402617238,0.16556044876673712,0.0021505882461081167,0.923939541686982,0.9602649006622517,0.5319458718739295,0.03163735806962555,0.028813320917322166,0.02290677902839696,0.08175944463226148,0.08175944463226145,0.02290677902839693,0.00440754370994011,0.9307654802535349,0.9639776763064434,0.53103802672148,0.024154302983060122,0.02253686749309186,0.0198642312859689,0.06685126450483017,0.0668512645048302,0.01986423128596888,0.0025848528169047785,0.9465464001300181,0.9724576889261417,0.5042154847550531,0.0010089913862545332,0.0008123486881481883,0.0005648209279879567,0.02304090232670523,0.023040902326705227,0.0005648209279879579,6.325596190192319e-05,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6593044043555986,0.7568835937142018,0.7180478474363368,1539.6514202607025,0.4081760297486377,0.37469799159241357,0.24889704981583374,0.24889704981583374,0.3746979915924135,0.0029250218882180662,0.8946205103201691,0.9436508405731864,0.5318122644741349,0.011383047512801307,0.009377648190172758,0.009396022440553346,0.052147430129581514,0.05214743012958154,0.009396022440553336,0.007450433259536619,0.941670729725337,0.9698807666092113,0.5168128354459289,0.003658734725554627,0.003426678854844648,0.002756406029069598,0.013306079501381877,0.013306079501381877,0.002756406029069596,0.0006103916378268531
"[['black', 'DIR'], ['white', 'REW'], ['asian', 'LGAFFS'], ['asian', 'LGAFFS'], ['hisp', 'REW'], ['other', 'MSG']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7786445636274988,0.871242200794101,0.6851318944844124,5.478102847955123,1.2765223984560055,1.2508035482794186,0.6596427946342125,0.6596427946342124,1.2508035482794182,0.009992998041781382,0.8069234519746465,0.8928571428571429,0.44775608084960605,0.031954601623883847,0.02324664686382065,0.023308968534759233,0.010698010303151699,0.010698010303151685,0.023308968534759254,0.006782541164337772,0.9453924914675768,0.9719298245614035,0.4982014388489209,0.0001219023996802782,0.0001210716732111225,0.00018410024128660523,0.0,0.0,0.0001841002412866006,5.179689941805321e-05,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6112953031041768,0.7086135629127029,0.7185765673175747,844.8011558630678,0.31372440612090363,0.290441638225687,0.14856940911521122,0.14856940911521122,0.29044163822568697,0.002253163363784506,0.9062733625873557,0.9503667985210238,0.5403557154276579,0.010873569301076875,0.009551697931817867,0.008841810650358412,0.05668768112526611,0.05668768112526612,0.008841810650358392,0.006774994823611749,0.940078010726475,0.9690119378288015,0.5221302957633893,0.00556813407786866,0.005237088910498925,0.004270380675978569,0.026367688205268133,0.026367688205268126,0.004270380675978566,0.0008465504572456481
