Genotype,LogisticRegression_performance_accuracy,LogisticRegression_performance_f1_score,LogisticRegression_performance_auc,LogisticRegression_fairness_disparate_impact,LogisticRegression_fairness_discrimination_score,LogisticRegression_fairness_true_positive_rate_diff,LogisticRegression_fairness_false_positive_rate_diff,LogisticRegression_fairness_false_positive_error_rate_balance_score,LogisticRegression_fairness_false_negative_error_rate_balance_score,LogisticRegression_fairness_consistency,SVC_performance_accuracy,SVC_performance_f1_score,SVC_performance_auc,SVC_fairness_disparate_impact,SVC_fairness_discrimination_score,SVC_fairness_true_positive_rate_diff,SVC_fairness_false_positive_rate_diff,SVC_fairness_false_positive_error_rate_balance_score,SVC_fairness_false_negative_error_rate_balance_score,SVC_fairness_consistency,GaussianNB_performance_accuracy,GaussianNB_performance_f1_score,GaussianNB_performance_auc,GaussianNB_fairness_disparate_impact,GaussianNB_fairness_discrimination_score,GaussianNB_fairness_true_positive_rate_diff,GaussianNB_fairness_false_positive_rate_diff,GaussianNB_fairness_false_positive_error_rate_balance_score,GaussianNB_fairness_false_negative_error_rate_balance_score,GaussianNB_fairness_consistency,DecisionTreeClassifier_performance_accuracy,DecisionTreeClassifier_performance_f1_score,DecisionTreeClassifier_performance_auc,DecisionTreeClassifier_fairness_disparate_impact,DecisionTreeClassifier_fairness_discrimination_score,DecisionTreeClassifier_fairness_true_positive_rate_diff,DecisionTreeClassifier_fairness_false_positive_rate_diff,DecisionTreeClassifier_fairness_false_positive_error_rate_balance_score,DecisionTreeClassifier_fairness_false_negative_error_rate_balance_score,DecisionTreeClassifier_fairness_consistency,RandomForestClassifier_performance_accuracy,RandomForestClassifier_performance_f1_score,RandomForestClassifier_performance_auc,RandomForestClassifier_fairness_disparate_impact,RandomForestClassifier_fairness_discrimination_score,RandomForestClassifier_fairness_true_positive_rate_diff,RandomForestClassifier_fairness_false_positive_rate_diff,RandomForestClassifier_fairness_false_positive_error_rate_balance_score,RandomForestClassifier_fairness_false_negative_error_rate_balance_score,RandomForestClassifier_fairness_consistency,LogisticRegression_performance_accuracymean,LogisticRegression_performance_f1_scoremean,LogisticRegression_performance_aucmean,LogisticRegression_fairness_disparate_impactmean,LogisticRegression_fairness_discrimination_scoremean,LogisticRegression_fairness_true_positive_rate_diffmean,LogisticRegression_fairness_false_positive_rate_diffmean,LogisticRegression_fairness_false_positive_error_rate_balance_scoremean,LogisticRegression_fairness_false_negative_error_rate_balance_scoremean,LogisticRegression_fairness_consistencymean,SVC_performance_accuracymean,SVC_performance_f1_scoremean,SVC_performance_aucmean,SVC_fairness_disparate_impactmean,SVC_fairness_discrimination_scoremean,SVC_fairness_true_positive_rate_diffmean,SVC_fairness_false_positive_rate_diffmean,SVC_fairness_false_positive_error_rate_balance_scoremean,SVC_fairness_false_negative_error_rate_balance_scoremean,SVC_fairness_consistencymean,GaussianNB_performance_accuracymean,GaussianNB_performance_f1_scoremean,GaussianNB_performance_aucmean,GaussianNB_fairness_disparate_impactmean,GaussianNB_fairness_discrimination_scoremean,GaussianNB_fairness_true_positive_rate_diffmean,GaussianNB_fairness_false_positive_rate_diffmean,GaussianNB_fairness_false_positive_error_rate_balance_scoremean,GaussianNB_fairness_false_negative_error_rate_balance_scoremean,GaussianNB_fairness_consistencymean,DecisionTreeClassifier_performance_accuracymean,DecisionTreeClassifier_performance_f1_scoremean,DecisionTreeClassifier_performance_aucmean,DecisionTreeClassifier_fairness_disparate_impactmean,DecisionTreeClassifier_fairness_discrimination_scoremean,DecisionTreeClassifier_fairness_true_positive_rate_diffmean,DecisionTreeClassifier_fairness_false_positive_rate_diffmean,DecisionTreeClassifier_fairness_false_positive_error_rate_balance_scoremean,DecisionTreeClassifier_fairness_false_negative_error_rate_balance_scoremean,DecisionTreeClassifier_fairness_consistencymean,RandomForestClassifier_performance_accuracymean,RandomForestClassifier_performance_f1_scoremean,RandomForestClassifier_performance_aucmean,RandomForestClassifier_fairness_disparate_impactmean,RandomForestClassifier_fairness_discrimination_scoremean,RandomForestClassifier_fairness_true_positive_rate_diffmean,RandomForestClassifier_fairness_false_positive_rate_diffmean,RandomForestClassifier_fairness_false_positive_error_rate_balance_scoremean,RandomForestClassifier_fairness_false_negative_error_rate_balance_scoremean,RandomForestClassifier_fairness_consistencymean
"[['asian', 'LGAFFS']]",0.9492930277913213,0.973973973973974,0.5047619047619047,0.0001702459729206128,0.00017018927598376222,0.0,0.02857228636248801,0.028572286362487972,0.0,5.282702643350294e-07,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6523647001462701,0.7820238459186794,0.609575196985269,3.8831139501410936,0.7817245543288951,0.750243564830937,0.6450497154263766,0.6450497154263766,0.750243564830937,0.013138477676711755,0.8352023403217943,0.9081022294725394,0.6338472079479274,0.10758308395926254,0.07386243363467193,0.05523942443197237,0.3039301645218247,0.30393016452182475,0.05523942443197234,0.018355225777560342,0.947342759629449,0.9729594391587381,0.49922918807810895,0.00022419948303425475,0.0002234324339287128,0.0003006301414684193,0.0,0.0,0.00030063014146841855,2.588524295241897e-05,0.9448399154883798,0.9714472119380516,0.5069201781431998,0.004789872908482453,0.003479672129065675,0.002893989146794455,0.04812164160812616,0.04812164160812616,0.002893989146794455,0.000117432718860808,0.9488217129855357,0.9737384202649818,0.5001587301587301,4.572119693082723e-08,4.568616378983736e-08,0.0,2.66307804309311e-05,2.6630780430931178e-05,0.0,3.962026982512721e-08,0.3220380302291565,0.3532403746795279,0.5641920749114995,6163.630478130513,0.6325836534219464,0.7012616386366819,0.21920456527127205,0.21920456527127205,0.7012616386366818,0.0023045860717653215,0.8968308142369575,0.9449579678959192,0.551897910243234,0.022590708106418018,0.018840710500648058,0.01568861783791216,0.09282457020507501,0.09282457020507502,0.015688617837912155,0.008643908484325962,0.9343084674142693,0.9658901486902093,0.5271988123786684,0.00892472083607383,0.008275493353774015,0.006991621545123022,0.034781281617081765,0.034781281617081765,0.006991621545123014,0.0016176515944380772
"[['hisp', 'MSG'], ['asian', 'REW'], ['black', 'MSG'], ['asian', 'REW'], ['asian', 'REW'], ['black', 'DIR'], ['black', 'DIR'], ['black', 'MSG'], ['black', 'DIR']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922476840565577,0.9428792969759627,0.4972250770811922,0.00437944028229496,0.003851682004664028,0.0034260079353440735,0.028761242865405656,0.02876124286540567,0.0034260079353440635,0.0060597089616480915,0.9258898098488543,0.9614604462474645,0.5014388489208633,0.0010385342677025912,0.000985941422526737,0.0009135368289729827,0.007190310716351428,0.007190310716351419,0.0009135368289729647,0.0009363326300207142,0.937656427758817,0.9674019153781218,0.5205538426401736,0.010701761160260078,0.008154447197143897,0.006485361422134891,0.12521624164027262,0.12521624164027262,0.006485361422134889,0.0003871816030373493,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382415082073784,0.48242607753103844,0.6011019755624072,9958.955311611013,0.48032688144995245,0.5092904022097159,0.22462334146309196,0.22462334146309199,0.5092904022097159,0.0020922592848715625,0.8983910287664554,0.9458275848154541,0.553621103117506,0.024604489507738487,0.021115080412663374,0.015579678617021064,0.11797655586204246,0.1179765558620425,0.015579678617021052,0.008706634415062671,0.9341621973021291,0.9657953984892929,0.5317768642229073,0.010562470943469125,0.009766961607048347,0.0070717722347887245,0.054684149359062025,0.05468414935906203,0.007071772234788717,0.0016965672478757735
"[['asian', 'MSG'], ['other', 'DIR'], ['other', 'DIR'], ['white', 'LGAFFS'], ['other', 'REW'], ['white', 'LGAFFS'], ['black', 'LGAFFS']]",0.8498293515358362,0.9168466522678186,0.6505652620760535,0.1140743817108904,0.08440948698362274,0.06856415020854068,1.1713099799817686,1.1713099799817686,0.06856415020854072,0.0036308279402882332,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08678693320331546,0.07779419005416051,0.491726618705036,107368.49379591056,1.0640195040255362,1.0767749718708224,1.0286023090495675,1.0286023090495675,1.0767749718708222,0.0001945619383546095,0.9132130667966846,0.954241645244216,0.5578280232956492,0.016062573712244115,0.014424529982942873,0.013010680891691327,0.08423056532665184,0.08423056532665182,0.013010680891691306,0.004471490825437882,0.9356411506582155,0.9665144596651446,0.5561322370674888,0.010727113238681883,0.01010592603898048,0.008225885541778796,0.061210406411092814,0.06121040641109288,0.008225885541778746,0.0018955657760003639,0.916804810661466,0.9540762816449213,0.535093639374215,0.08646030849004958,0.03728099314398967,0.032706922074557644,0.27657112813568757,0.2765711281356876,0.03270692207455764,0.0007704654519743471,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618722574353974,0.39511957615615617,0.563109512390088,13355.128164227172,0.5455356267369893,0.60859656375843,0.26325176870823935,0.2632517687082394,0.6085965637584299,0.0008564062194772597,0.9070372176174223,0.9507374358481125,0.5595289482699554,0.027202423670049367,0.02347532370620122,0.018131761290794565,0.10492009594784131,0.10492009594784132,0.018131761290794537,0.007526628321112989,0.9320169023240694,0.9646234681130554,0.5368031289254311,0.013889104044426755,0.012886114266844355,0.00929196179565774,0.061053406517467386,0.06105340651746738,0.009291961795657729,0.002019005808217097
"[['hisp', 'REW'], ['asian', 'REW'], ['other', 'LGAFFS'], ['white', 'MSG'], ['black', 'REW']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09361287176986836,0.08648648648648649,0.517848578280233,2893.375753868734,0.6919506856052975,0.8258138606791902,0.02857228636248801,0.028572286362487972,0.8258138606791902,0.0002229300515494045,0.9044368600682594,0.9492227979274611,0.5802329564919493,0.012203290732838129,0.010632312487328127,0.004715332972030666,0.16717996724133166,0.1671799672413318,0.004715332972030648,0.010682153015119707,0.9312530472940029,0.9642404260715192,0.531294964028777,0.006148748580715334,0.005796184229019236,0.005702740902638248,0.024212856814302203,0.024212856814302196,0.005702740902638243,0.0031895109614627102,0.9301803998049732,0.9622907074846583,0.5190167865707433,0.04594315025314424,0.023324390967910565,0.02063806540210323,0.15990778144236797,0.15990778144236797,0.020638065402103237,0.00041066585763836565,0.9472289939866734,0.9728794587393537,0.49916923603973967,0.00046433981929135104,0.0004298611150984514,0.00046984066052741343,0.0,0.0,0.000469840660527413,2.6651234835705197e-06,0.4316593531610596,0.4905981792548852,0.5591909329679114,5722.578926776106,0.6575620734720772,0.7365430214557928,0.41535310206783094,0.415353102067831,0.7365430214557929,0.0020077386839292724,0.9096700796359499,0.9522505112408163,0.5418453808381866,0.022296644830250432,0.0197043448906478,0.01492507391028226,0.09648253224641488,0.0964825322464149,0.014925073910282239,0.005990031874683164,0.9345522509345034,0.9660258759205705,0.5268767842868562,0.010295940065465135,0.009765290700051511,0.006945310860295025,0.04999275376736803,0.04999275376736803,0.006945310860295012,0.0013710391869385325
"[['black', 'DIR'], ['asian', 'REW'], ['black', 'MSG'], ['asian', 'DIR'], ['hisp', 'LGAFFS'], ['black', 'DIR'], ['white', 'REW'], ['black', 'MSG'], ['black', 'DIR']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9492930277913213,0.973973973973974,0.5047619047619047,0.0001702459729206128,0.00017018927598376222,0.0,0.02857228636248801,0.028572286362487972,0.0,5.282702643350294e-07,0.8761579717211117,0.9335078534031414,0.5247858855772525,0.01626178492100914,0.013691416091294206,0.012781321979416218,0.09002072376975209,0.09002072376975215,0.012781321979416204,0.009457622542390997,0.9229644076060458,0.9598577235772358,0.5044021925316889,0.0001255925396182437,0.00011826697176378894,8.916241266707347e-05,0.025743090797627467,0.025743090797627426,8.916241266707346e-05,0.0016273101357710017,0.932033154558752,0.9629484413853735,0.5120343725019985,0.06273079388023142,0.02507457338491204,0.022579828280841766,0.12237655620304735,0.12237655620304735,0.022579828280841773,0.00029986997419848824,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4318868844466114,0.49665142622522324,0.5585600091355487,1382.316467369456,0.7532766111177103,0.8336023409886202,0.4663346192598234,0.4663346192598234,0.8336023409886201,0.0026895700705030375,0.9079798472289939,0.9511055004144165,0.5486131095123901,0.025510372952561852,0.02252278909228096,0.01549870399254086,0.13661940472128922,0.13661940472128925,0.015498703992540837,0.005849895860762117,0.9380627336258736,0.9678996982307417,0.5303785542994176,0.013290154324612244,0.012599590357424993,0.0078020459072372424,0.07909079334812787,0.07909079334812787,0.007802045907237234,0.0012683839482720586
"[['black', 'LGAFFS'], ['asian', 'REW'], ['white', 'LGAFFS'], ['white', 'DIR'], ['hisp', 'LGAFFS'], ['asian', 'DIR']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10823988298391028,0.11685176243360695,0.5120417951353203,777.7736961530196,0.9024576885949318,1.070328305984476,0.11047926801552692,0.11047926801552692,1.070328305984476,0.0004923214728470815,0.9112627986348123,0.9528741584671155,0.610859883521754,0.0880122118879418,0.07603747666296459,0.04982406643849392,0.14901815135601765,0.14901815135601768,0.04982406643849387,0.008997050112430433,0.9371038517796197,0.9672505712109672,0.5704179513532032,0.022466031054171005,0.02106413957141201,0.009643987864624951,0.08862346892300087,0.08862346892300083,0.00964398786462493,0.0023292492495062514,0.9444498618560055,0.9713069609053034,0.5094176087701268,0.0038703793727715955,0.0032611059454504955,0.0032777334238166737,0.03670897952147562,0.03670897952147563,0.0032777334238166715,0.00015924266893160795,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40853242320819116,0.46444291702162066,0.5441503939705379,4171.164320974911,0.8521485716011769,0.9448876995353823,0.4275288480152514,0.4275288480152514,0.9448876995353823,0.0010894799405523385,0.9179099626198605,0.9568001662406126,0.5452866278405846,0.024008379302308706,0.021685866098504484,0.01455810114982014,0.1400142551131656,0.14001425511316562,0.01455810114982012,0.004842983682074908,0.9371851129530311,0.9674368928903209,0.5281140801644398,0.011935376091707152,0.011284267596548775,0.007010756632149941,0.09991137640215543,0.09991137640215539,0.007010756632149924,0.0012974722699272282
"[['hisp', 'MSG'], ['black', 'DIR'], ['white', 'DIR'], ['white', 'DIR'], ['hisp', 'REW'], ['hisp', 'DIR'], ['black', 'DIR'], ['black', 'MSG'], ['black', 'DIR']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9483178937103852,0.9734734734734735,0.49974306269270297,1.3716359079248169e-06,1.3705849136951206e-06,1.4980571597215067e-06,0.0,0.0,1.49805715972188e-06,1.1886080947538162e-06,0.8966357874207703,0.9450777202072539,0.540082219938335,0.008624426750834215,0.0074987377675973434,0.006303148653207158,0.06453430708469887,0.06453430708469891,0.00630314865320715,0.005659068793176346,0.9268649439297904,0.9619868220983274,0.5019527235354573,0.0007860093732998863,0.0007468941552423963,0.000758661739870181,0.007190310716351428,0.007190310716351419,0.0007586617398701753,0.0008200867583537851,0.9293352836014954,0.9611770618720467,0.5151176201895626,0.07830010227480484,0.029109329599812037,0.02797858550232084,0.12719164245432488,0.12719164245432488,0.027978585502320838,0.00031667337085654654,0.9479440923126933,0.9732705927349502,0.49954607742377527,0.0001337625868161673,0.00012833243408561477,0.00014026808538861784,0.0,0.0,0.00014026808538861757,3.962026982513082e-06,0.47485779294653013,0.5258950571525024,0.552072627612196,22338.86110566241,0.5409475976736424,0.5774857253562229,0.36160082152644546,0.3616008215264455,0.5774857253562229,0.0030119355534577947,0.9065171461075897,0.9504702813449698,0.5400336873358458,0.03191618002657516,0.02787705460899757,0.02565036064663219,0.07899070547716194,0.07899070547716196,0.02565036064663218,0.006429484939926029,0.9361449699333657,0.9668706598361125,0.5296682653876899,0.010573612436486213,0.009983324667323169,0.007469248262034531,0.059145334857323734,0.059145334857323734,0.007469248262034517,0.0013313493615285962
"[['white', 'LGAFFS'], ['asian', 'LGAFFS'], ['hisp', 'REW'], ['black', 'MSG'], ['black', 'REW'], ['hisp', 'LGAFFS']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405168210628961,0.9693313222724987,0.5001370332305584,0.001990268349336009,0.0019470787144098254,0.003115818042095541,0.0007989234129279329,0.0007989234129279353,0.0031158180420955417,0.00031725270724643727,0.947342759629449,0.9729594391587381,0.49922918807810895,0.00047858894447987767,0.0004777498788236678,0.0006335896600383459,0.0,0.0,0.0006335896600383449,1.3259583634811042e-05,0.9336258735576144,0.9636024520467125,0.5079182368391001,0.07302102425198458,0.024817599832235814,0.02340593900757284,0.08423093923978515,0.08423093923978518,0.02340593900757284,0.00015529560960658432,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5230131643100927,0.5843212517802906,0.5809032773780974,15695.51333362728,0.4782275785962786,0.510594394397477,0.3078412092903036,0.3078412092903036,0.510594394397477,0.0033023732620865794,0.9057857955468877,0.9500677739529958,0.5405492748658216,0.036184413150758044,0.02989577629514444,0.02459791778063532,0.0958708119897533,0.09587081198975335,0.024597917780635314,0.006571902200938566,0.9362262311067772,0.9669224780499973,0.5258067831449126,0.013099882946029272,0.012228023225991183,0.008940652828998146,0.05444649658319579,0.05444649658319579,0.008940652828998133,0.0012224534901394445
"[['asian', 'MSG'], ['black', 'LGAFFS'], ['other', 'LGAFFS'], ['white', 'REW'], ['black', 'REW'], ['other', 'REW'], ['white', 'REW']]",0.9049244271087274,0.9493374902572097,0.6075196985268928,0.0291658660694471,0.025501371659551367,0.018545295654829215,0.5520253508590298,0.5520253508590298,0.01854529565482923,0.0012892435801097643,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39785470502194054,0.5417439703153989,0.5970880438506337,5.268031317957208,0.7587806985153696,0.9379821364268361,0.4078778239703009,0.4078778239703009,0.9379821364268361,0.0035105936281255743,0.9312530472940029,0.96422227860949,0.5357999314833847,0.025893481549194873,0.024088190266856987,0.019488131654375403,0.04485075910916361,0.04485075910916363,0.01948813165437538,0.0035615188816074733,0.9341784495368113,0.965865992414665,0.5193216855087359,0.00944639462616968,0.008967332773845071,0.007135305762373591,0.055420147229458934,0.055420147229458955,0.007135305762373561,0.0018644770709442416,0.9085161709735091,0.9468986642054118,0.5257702409500971,0.22183527290694016,0.06423288526905067,0.061907576743619463,0.2320373656822356,0.2320373656822356,0.061907576743619463,0.0007096817949095121,0.9474077685681783,0.9729780673099644,0.49926344638574854,0.00036171144292582175,0.0003378948673895357,0.00036932102511008066,0.0,0.0,0.00036932102511008034,2.3287914152771982e-06,0.3961319681456201,0.4415423659198758,0.5584886376612995,156328.60694894523,0.7001223846088694,0.7691103460732214,0.3370792674969901,0.33707926749699013,0.7691103460732214,0.0014288161057488594,0.902112790508695,0.948016013595694,0.5437193102660729,0.02325812783064789,0.020249793461221088,0.01479475691268353,0.08693474004980462,0.08693474004980462,0.014794756912683508,0.00752831438370666,0.9344222330570453,0.9659378732337595,0.531463400708005,0.010745250940886634,0.010128652207864795,0.007078923389727313,0.04104977549471333,0.041049775494713336,0.007078923389727302,0.0014048748973691952
"[['hisp', 'MSG'], ['white', 'LGAFFS'], ['white', 'LGAFFS'], ['black', 'DIR'], ['hisp', 'DIR'], ['black', 'DIR']]",0.5587518283764018,0.7060734004546931,0.5602432339842413,2.158510944808098,0.7166467552718985,0.679882967070685,1.908155319565691,1.9081553195656915,0.679882967070685,0.0021580632703484624,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08532423208191127,0.07495069033530571,0.4909558067831449,430776.59570636164,1.0623708601487776,1.0732407251052025,1.0286023090495675,1.0286023090495675,1.0732407251052025,0.00017662716288043467,0.8844466114090688,0.9376807783328951,0.6057382665296334,0.04655669924562127,0.03808395845184766,0.02916884062649621,0.18437979918803818,0.18437979918803815,0.02916884062649614,0.01625524582277551,0.9405168210628961,0.9690669371196755,0.57672147995889,0.018301375541641473,0.01729993297961565,0.009078998289270158,0.06412906599054714,0.0641290659905472,0.009078998289270142,0.0023155670496599733,0.9074922801885262,0.944043051479354,0.5126167637318716,0.499802292660649,0.08134013985385272,0.08017015126872627,0.2077617938063613,0.20776179380636134,0.08017015126872629,0.0004854213827444236,0.9482041280676096,0.9734106682705632,0.4996831106543337,6.436886215625184e-05,6.254435822826907e-05,6.83613417219714e-05,0.0,0.0,6.83613417219714e-05,4.4022522027925135e-07,0.5009913863156183,0.5609135589035673,0.5769567203380153,21287.148054140973,0.5987535369916904,0.6612325139296041,0.37779360896274905,0.37779360896274905,0.661232513929604,0.0017667470720422506,0.9057045343734764,0.9500559423664224,0.5295443645083934,0.018771934989145363,0.01660934078243718,0.013261699917912689,0.07305681270859085,0.07305681270859089,0.013261699917912668,0.006310977191077301,0.9366162847391517,0.9671494172841847,0.5231591869361654,0.007992259057432284,0.007604012899929793,0.006117881208691319,0.030407022513027803,0.030407022513027796,0.006117881208691308,0.001062008125906034
