genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 2, 0, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[1, 2, 0, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[3, 4, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 1]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 1]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 1, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
"[4, 3, 1, 4, 3]",-1,0.9055,0.0263,0.114,0.0099,0.01,0.1062,0.0
