dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,0.9274,0.9495,0.9400,1.0191,0.9809,0.9400,0.8100,0.6600,0.7536,0.6048
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,1.0783,0.9495,1.0600,0.9809,0.9809,0.9400,0.8100,0.6600,0.7536,0.6048
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,0.9165,0.9383,0.9300,1.0191,0.9809,0.9300,0.7800,0.7000,0.7887,0.6333
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,1.0911,0.9383,1.0700,0.9809,0.9809,0.9300,0.7800,0.7000,0.7887,0.6333
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,1.2520,0.8831,1.1900,1.0622,0.9378,0.8100,0.7233,0.6600,0.7167,0.6905
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,0.7987,0.8831,0.8100,0.9378,0.9378,0.8100,0.7233,0.6600,0.7167,0.6905
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,1.1376,0.9102,1.0600,1.2153,0.7847,0.9400,0.6100,0.6800,0.7681,0.6286
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,0.8790,0.9102,0.9400,0.7847,0.7847,0.9400,0.6100,0.6800,0.7681,0.6286
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.9539,0.9673,0.9900,0.9665,0.9665,0.9900,0.7400,0.6600,0.7571,0.5952
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.0483,0.9673,1.0100,1.0335,0.9665,0.9900,0.7400,0.6600,0.7571,0.5952
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,0.9892,0.9916,1.0400,0.9665,0.9665,0.9600,0.8267,0.7400,0.8243,0.6524
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,1.0109,0.9916,0.9600,1.0335,0.9665,0.9600,0.8267,0.7400,0.8243,0.6524
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Female,0.9713,0.9771,1.0800,0.8086,0.8086,0.9200,0.8400,0.6900,0.7919,0.5881
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Male,1.0296,0.9771,0.9200,1.1914,0.8086,0.9200,0.8400,0.6900,0.7919,0.5881
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Female,0.8347,0.9042,0.9500,0.9187,0.9187,0.9500,0.7300,0.7100,0.7680,0.7262
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Male,1.1981,0.9042,1.0500,1.0813,0.9187,0.9500,0.7300,0.7100,0.7680,0.7262
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.7705,0.8270,0.9200,0.6794,0.6794,0.9200,0.6600,0.6600,0.7571,0.5952
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.2979,0.8270,1.0800,1.3206,0.6794,0.9200,0.6600,0.6600,0.7571,0.5952
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Female,0.9594,0.9659,1.0700,0.8086,0.8086,0.9300,0.8200,0.7300,0.8235,0.6167
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Male,1.0423,0.9659,0.9300,1.1914,0.8086,0.9300,0.8200,0.7300,0.8235,0.6167
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Female,1.0665,0.9537,1.1100,0.9665,0.9665,0.8900,0.6533,0.6700,0.7660,0.6024
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Male,0.9376,0.9537,0.8900,1.0335,0.9665,0.8900,0.6533,0.6700,0.7660,0.6024
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Female,1.0911,0.9327,1.1700,0.9139,0.9139,0.8300,0.8033,0.7000,0.7945,0.6143
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Male,0.9165,0.9327,0.8300,1.0861,0.9139,0.8300,0.8033,0.7000,0.7945,0.6143
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,LogisticRegression,Female,1.0239,0.9827,1.0500,1.0191,0.9809,0.9500,0.8133,0.7100,0.7972,0.6405
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,LogisticRegression,Male,0.9767,0.9827,0.9500,0.9809,0.9809,0.9500,0.8133,0.7100,0.7972,0.6405
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,SVC,Female,1.0387,0.9748,1.0100,1.1244,0.8756,0.9900,0.7867,0.6800,0.7647,0.6381
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,SVC,Male,0.9627,0.9748,0.9900,0.8756,0.8756,0.9900,0.7867,0.6800,0.7647,0.6381
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,GaussianNB,Female,1.5409,0.7962,1.2600,1.1531,0.8469,0.7400,0.7200,0.5800,0.6316,0.6238
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,GaussianNB,Male,0.6490,0.7962,0.7400,0.8469,0.8469,0.7400,0.7200,0.5800,0.6316,0.6238
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,1.2719,0.8345,1.1200,1.3062,0.6938,0.8800,0.6200,0.6400,0.7353,0.5905
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,0.7862,0.8345,0.8800,0.6938,0.6938,0.8800,0.6200,0.6400,0.7353,0.5905
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,RandomForestClassifier,Female,1.1839,0.8747,1.1100,1.2010,0.7990,0.8900,0.7100,0.6600,0.7606,0.5857
German Credit,Attribute9,Attribute9,FairGenes,Validation,1,False,Surrogate,RandomForestClassifier,Male,0.8446,0.8747,0.8900,0.7990,0.7990,0.8900,0.7100,0.6600,0.7606,0.5857
