dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,0.6359,0.6676,0.74,0.5742,0.5742,0.74,0.8567,0.73,0.8212,0.6262
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,1.5725,0.6676,1.26,1.4258,0.5742,0.74,0.8567,0.73,0.8212,0.6262
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,0.718,0.7466,0.84,0.6268,0.6268,0.84,0.8867,0.76,0.8421,0.6571
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,1.3928,0.7466,1.16,1.3732,0.6268,0.84,0.8867,0.76,0.8421,0.6571
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,0.7559,0.8125,0.84,0.8373,0.8373,0.84,0.85,0.73,0.8085,0.6738
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,1.3229,0.8125,1.16,1.1627,0.8373,0.84,0.85,0.73,0.8085,0.6738
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.6983,0.777,0.73,0.9282,0.9282,0.73,0.6467,0.67,0.7591,0.6214
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.4321,0.777,1.27,1.0718,0.9282,0.73,0.6467,0.67,0.7591,0.6214
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.7298,0.7611,0.84,0.6794,0.6794,0.84,0.8233,0.77,0.8477,0.6738
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.3703,0.7611,1.16,1.3206,0.6794,0.84,0.8233,0.77,0.8477,0.6738
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.97,0.8086,0.8086,0.97,0.8167,0.71,0.8079,0.6024
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.133,0.9014,1.03,1.1914,0.8086,0.97,0.8167,0.71,0.8079,0.6024
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Female,0.921,0.9336,0.97,0.8995,0.8995,0.97,0.8233,0.7,0.8026,0.5857
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Male,1.0857,0.9336,1.03,1.1005,0.8995,0.97,0.8233,0.7,0.8026,0.5857
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Female,0.7742,0.8495,0.76,1.0718,0.9282,0.76,0.74,0.62,0.7121,0.5857
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Male,1.2917,0.8495,1.24,0.9282,0.9282,0.76,0.74,0.62,0.7121,0.5857
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.7277,0.7948,0.8,0.823,0.823,0.8,0.7067,0.65,0.7482,0.5881
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.3743,0.7948,1.2,1.177,0.823,0.8,0.7067,0.65,0.7482,0.5881
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Female,0.921,0.9336,0.95,0.9522,0.9522,0.95,0.83,0.72,0.8158,0.6095
German Credit,Attribute9,,,Test,0,False,Surrogate,RandomForestClassifier,Male,1.0857,0.9336,1.05,1.0478,0.9522,0.95,0.83,0.72,0.8158,0.6095
German Credit,Attribute9,,,Validation,0,False,Test,XGBClassifier,Female,0.5473,0.5998,0.59,0.6794,0.6794,0.59,0.7667,0.72,0.8082,0.6381
German Credit,Attribute9,,,Validation,0,False,Test,XGBClassifier,Male,1.8271,0.5998,1.41,1.3206,0.6794,0.59,0.7667,0.72,0.8082,0.6381
German Credit,Attribute9,,,Test,0,False,Test,XGBClassifier,Female,0.7689,0.8158,0.86,0.7703,0.7703,0.86,0.7033,0.68,0.7778,0.6
German Credit,Attribute9,,,Test,0,False,Test,XGBClassifier,Male,1.3005,0.8158,1.14,1.2297,0.7703,0.86,0.7033,0.68,0.7778,0.6
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.7999,0.8144,0.92,0.6651,0.6651,0.92,0.88,0.77,0.8535,0.6452
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.2502,0.8144,1.08,1.3349,0.6651,0.92,0.88,0.77,0.8535,0.6452
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Female,0.8903,0.8967,0.97,0.7943,0.7943,0.97,0.93,0.75,0.8447,0.6024
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Male,1.1232,0.8967,1.03,1.2057,0.7943,0.97,0.93,0.75,0.8447,0.6024
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,0.7298,0.7611,0.81,0.7177,0.7177,0.81,0.8033,0.73,0.8212,0.6262
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,1.3703,0.7611,1.19,1.2823,0.7177,0.81,0.8033,0.73,0.8212,0.6262
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.7419,0.8093,0.83,0.8373,0.8373,0.83,0.5833,0.7,0.7826,0.6524
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.3478,0.8093,1.17,1.1627,0.8373,0.83,0.5833,0.7,0.7826,0.6524
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.7675,0.8046,0.88,0.7321,0.7321,0.88,0.76,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.3029,0.8046,1.12,1.2679,0.7321,0.88,0.76,0.76,0.8378,0.6762
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.9809,0.9836,1.0,0.9904,0.9904,1.0,0.84,0.71,0.8129,0.5833
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.0195,0.9836,1.0,1.0096,0.9904,1.0,0.84,0.71,0.8129,0.5833
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Female,0.9645,0.9691,1.0,0.9378,0.9378,1.0,0.89,0.7,0.8077,0.5667
