dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,0.7832,0.8303,0.86,0.9043,0.9043,0.86,0.7733,0.83,0.8811,0.7833
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,1.2769,0.8303,1.14,1.0957,0.9043,0.86,0.7733,0.83,0.8811,0.7833
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,0.9845,0.9883,1.0,1.0861,0.9139,1.0,0.8267,0.81,0.869,0.75
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,1.0158,0.9883,1.0,0.9139,0.9139,1.0,0.8267,0.81,0.869,0.75
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,0.779,0.8719,0.91,0.933,0.933,0.91,0.8133,0.76,0.8065,0.7905
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,1.2836,0.8719,1.09,1.067,0.933,0.91,0.8133,0.76,0.8065,0.7905
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.8347,0.885,1.0,0.7608,0.7608,1.0,0.6033,0.76,0.8235,0.7333
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.1981,0.885,1.0,1.2392,0.7608,1.0,0.6033,0.76,0.8235,0.7333
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.8819,0.9093,1.0,0.8517,0.8517,1.0,0.7267,0.82,0.875,0.7667
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.1339,0.9093,1.0,1.1483,0.8517,1.0,0.7267,0.82,0.875,0.7667
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.8744,0.8981,0.99,0.7703,0.7703,0.99,0.8267,0.72,0.8108,0.6286
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.1436,0.8981,1.01,1.2297,0.7703,0.99,0.8267,0.72,0.8108,0.6286
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Female,0.9539,0.9626,0.97,1.0048,0.9952,0.97,0.7967,0.72,0.8133,0.619
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Male,1.0483,0.9626,1.03,0.9952,0.9952,0.97,0.7967,0.72,0.8133,0.619
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Female,0.9229,0.9542,1.04,0.8517,0.8517,0.96,0.7267,0.66,0.7344,0.6524
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Male,1.0835,0.9542,0.96,1.1483,0.8517,0.96,0.7267,0.66,0.7344,0.6524
German Credit,Attribute9,,,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.6524,0.7078,0.65,0.8612,0.8612,0.65,0.5833,0.67,0.7724,0.5833
