dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,0.8826,0.9014,0.9800,0.8230,0.8230,0.9800,0.8900,0.7700,0.8477,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,1.1330,0.9014,1.0200,1.1770,0.8230,0.9800,0.8900,0.7700,0.8477,0.6738
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,0.9054,0.9191,0.9600,0.9139,0.9139,0.9600,0.8567,0.7700,0.8497,0.6643
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,1.1045,0.9191,1.0400,1.0861,0.9139,0.9600,0.8567,0.7700,0.8497,0.6643
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,0.9085,0.9350,0.8600,1.1770,0.8230,0.8600,0.8767,0.7300,0.8058,0.6833
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,1.1007,0.9350,1.1400,0.8230,0.8230,0.8600,0.8767,0.7300,0.8058,0.6833
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,1.2647,0.8312,1.0600,1.4498,0.5502,0.9400,0.7767,0.6700,0.7626,0.6119
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,0.7907,0.8312,0.9400,0.5502,0.5502,0.9400,0.7767,0.6700,0.7626,0.6119
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.9892,0.9916,0.9800,1.1244,0.8756,0.9800,0.8467,0.8000,0.8649,0.7238
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.0109,0.9916,1.0200,0.8756,0.8756,0.9800,0.8467,0.8000,0.8649,0.7238
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,1.0273,0.9794,1.1800,0.7847,0.7847,0.8200,0.8600,0.7600,0.8356,0.6857
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,0.9734,0.9794,0.8200,1.2153,0.7847,0.8200,0.8600,0.7600,0.8356,0.6857
