dataset,attribute,group,algorithm,set,iteration,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,nan,Test,0,False,Surrogate,Female,1.177,0.594,0.764,1.114,1.114,0.764,3.581,0.688,0.774,0.636
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,Female,0.548,0.245,0.445,1.171,1.171,0.445,3.928,0.676,0.765,0.624
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,Female,0.548,0.245,0.445,1.171,1.171,0.445,3.928,0.676,0.765,0.624
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,Female,1.254,0.438,0.501,1.020,1.020,0.501,4.045,0.669,0.753,0.631
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,Female,0.543,0.236,0.371,0.780,0.780,0.371,4.030,0.676,0.762,0.632
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,Female,1.135,0.400,0.584,1.097,1.097,0.584,3.808,0.672,0.758,0.627
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,Female,1.135,0.400,0.584,1.097,1.097,0.584,3.808,0.672,0.758,0.627
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.615,0.245,0.391,0.725,0.725,0.391,3.556,0.673,0.760,0.625
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.545,0.229,0.364,0.907,0.907,0.364,3.580,0.674,0.761,0.627
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.886,0.431,0.545,0.758,0.758,0.545,3.666,0.675,0.763,0.626
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.959,0.456,0.506,0.916,0.916,0.506,3.484,0.669,0.758,0.619
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Female,0.771,0.388,0.471,0.884,0.884,0.471,3.535,0.670,0.759,0.618
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Female,1.260,0.566,0.679,0.816,0.816,0.679,3.385,0.664,0.757,0.604
German Credit,Attribute9,Male,nan,Test,0,False,Surrogate,Male,2.088,0.594,0.764,1.114,1.114,0.764,3.581,0.688,0.774,0.636
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,Male,2.088,0.594,0.764,1.114,1.114,0.764,3.581,0.688,0.774,0.636
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,Male,2.088,0.594,0.764,1.114,1.114,0.764,3.581,0.688,0.774,0.636
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,Male,0.837,0.286,0.381,0.757,0.757,0.381,3.540,0.681,0.769,0.627
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,Male,0.888,0.298,0.316,0.625,0.625,0.316,3.303,0.675,0.764,0.621
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,Male,2.088,0.594,0.764,1.114,1.114,0.764,3.581,0.688,0.774,0.636
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,Male,2.088,0.594,0.764,1.114,1.114,0.764,3.581,0.688,0.774,0.636
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,1.278,0.367,0.501,1.051,1.051,0.501,3.684,0.663,0.753,0.615
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,1.360,0.468,0.654,1.103,1.103,0.654,3.574,0.652,0.744,0.603
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,1.601,0.431,0.545,0.758,0.758,0.545,3.666,0.675,0.763,0.626
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,1.628,0.456,0.506,0.916,0.916,0.506,3.484,0.669,0.758,0.619
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Male,1.361,0.388,0.471,0.884,0.884,0.471,3.535,0.670,0.759,0.618
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Male,2.029,0.566,0.679,0.816,0.816,0.679,3.385,0.664,0.757,0.604
