dataset,attribute,group,algorithm,set,iteration,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Female,nan,Test,0,False,Surrogate,Female,1.4945,0.6243,0.6282,0.8866,0.8866,0.6282,1.5936,0.7240,0.7893,0.7130
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,Female,0.3590,0.2092,0.3302,0.8222,0.8222,0.3302,1.4634,0.7117,0.8037,0.6226
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,Female,0.3590,0.2092,0.3302,0.8222,0.8222,0.3302,1.4634,0.7117,0.8037,0.6226
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,Female,0.9972,0.3115,0.5736,0.7235,0.7235,0.5736,1.6813,0.7170,0.7793,0.7160
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,Female,0.9952,0.3051,0.6126,0.6792,0.6792,0.6126,1.6167,0.7147,0.7780,0.7117
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,Female,1.2558,0.3858,0.7001,0.7027,0.7027,0.7001,1.6598,0.7177,0.7803,0.7167
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,Female,1.2558,0.3858,0.7001,0.7027,0.7027,0.7001,1.6598,0.7177,0.7803,0.7167
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.5911,0.2329,0.4016,0.6821,0.6821,0.4016,1.3419,0.7287,0.7981,0.6983
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.5122,0.1922,0.3773,0.5836,0.5836,0.3773,1.3018,0.7277,0.7985,0.6937
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.8531,0.3390,0.5602,0.3754,0.3754,0.5602,1.4031,0.7203,0.7898,0.6964
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,1.1168,0.4595,0.7048,0.4424,0.4424,0.7048,1.3635,0.7207,0.7919,0.6884
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Female,1.0642,0.4808,0.4870,0.9162,0.9162,0.4870,1.5256,0.7210,0.7967,0.6759
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Female,0.8416,0.4011,0.4486,0.7795,0.7795,0.4486,1.4064,0.7130,0.7937,0.6525
German Credit,Attribute9,Male,nan,Test,0,False,Surrogate,Male,3.7235,0.6243,0.6282,0.8866,0.8866,0.6282,1.5936,0.7240,0.7893,0.7130
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,Male,3.7235,0.6243,0.6282,0.8866,0.8866,0.6282,1.5936,0.7240,0.7893,0.7130
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,Male,3.7235,0.6243,0.6282,0.8866,0.8866,0.6282,1.5936,0.7240,0.7893,0.7130
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,Male,3.6474,0.6040,0.7011,0.9371,0.9371,0.7011,1.6499,0.7230,0.7882,0.7120
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,Male,3.2734,0.4946,0.6210,0.8348,0.8348,0.6210,1.6463,0.7200,0.7852,0.7092
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,Male,3.7235,0.6243,0.6282,0.8866,0.8866,0.6282,1.5936,0.7240,0.7893,0.7130
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,Male,3.7235,0.6243,0.6282,0.8866,0.8866,0.6282,1.5936,0.7240,0.7893,0.7130
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,1.8187,0.3602,0.5196,0.6081,0.6081,0.5196,1.3977,0.7210,0.7918,0.6934
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,4.3472,0.5853,0.8971,0.6151,0.6151,0.8971,1.4265,0.7143,0.7855,0.6880
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,1.4719,0.3390,0.5602,0.3754,0.3754,0.5602,1.4031,0.7203,0.7898,0.6964
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,3.6555,0.4595,0.7048,0.4424,0.4424,0.7048,1.3635,0.7207,0.7919,0.6884
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Male,2.1972,0.4808,0.4870,0.9162,0.9162,0.4870,1.5256,0.7210,0.7967,0.6759
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Male,1.6221,0.4011,0.4486,0.7795,0.7795,0.4486,1.4064,0.7130,0.7937,0.6525
