dataset,attribute,group,algorithm,set,iteration,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,nan,nan,Test,0,False,Surrogate,Female,0.6695,0.4486,0.2494,1.6499,1.6499,0.2494,0.9281,0.7504,0.8309,0.6661
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,Female,0.3024,0.2203,0.1936,0.8082,0.8082,0.1936,0.8579,0.7281,0.8207,0.6210
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,Female,0.3024,0.2203,0.1936,0.8082,0.8082,0.1936,0.8579,0.7281,0.8207,0.6210
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,Female,0.2974,0.1659,0.2512,1.0065,1.0065,0.2512,1.1166,0.7433,0.8235,0.6678
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,Female,0.2365,0.1392,0.2128,0.7473,0.7473,0.2128,1.0574,0.7459,0.8262,0.6672
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,Female,0.2464,0.1320,0.2643,0.6983,0.6983,0.2643,1.0978,0.7444,0.8237,0.6714
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,Female,0.2464,0.1320,0.2643,0.6983,0.6983,0.2643,1.0978,0.7444,0.8237,0.6714
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.2720,0.1562,0.2319,0.6916,0.6916,0.2319,1.0413,0.7448,0.8263,0.6625
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.2235,0.1232,0.2281,0.7366,0.7366,0.2281,1.0428,0.7404,0.8232,0.6569
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.2835,0.1812,0.2846,0.6725,0.6725,0.2846,0.9266,0.7433,0.8271,0.6541
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.4535,0.2758,0.4597,0.7225,0.7225,0.4597,0.8921,0.7381,0.8238,0.6461
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Female,0.3699,0.2270,0.2104,0.5464,0.5464,0.2104,0.9469,0.7352,0.8233,0.6362
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Female,0.3441,0.2287,0.3072,0.3952,0.3952,0.3072,0.8080,0.7326,0.8235,0.6252
German Credit,Attribute9,nan,nan,Test,0,False,Surrogate,Male,1.1900,0.4486,0.2494,1.6499,1.6499,0.2494,0.9281,0.7504,0.8309,0.6661
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,Male,1.1900,0.4486,0.2494,1.6499,1.6499,0.2494,0.9281,0.7504,0.8309,0.6661
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,Male,1.1900,0.4486,0.2494,1.6499,1.6499,0.2494,0.9281,0.7504,0.8309,0.6661
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,Male,1.0268,0.3842,0.2450,1.4089,1.4089,0.2450,1.0284,0.7467,0.8276,0.6649
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,Male,0.9275,0.3310,0.2698,1.1387,1.1387,0.2698,0.9813,0.7470,0.8280,0.6652
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,Male,1.1900,0.4486,0.2494,1.6499,1.6499,0.2494,0.9281,0.7504,0.8309,0.6661
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,Male,1.1900,0.4486,0.2494,1.6499,1.6499,0.2494,0.9281,0.7504,0.8309,0.6661
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,0.9065,0.3257,0.3214,1.0619,1.0619,0.3214,1.0127,0.7415,0.8248,0.6556
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,1.3489,0.4226,0.4839,1.0948,1.0948,0.4839,0.9739,0.7370,0.8212,0.6517
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,0.4369,0.1812,0.2846,0.6725,0.6725,0.2846,0.9266,0.7433,0.8271,0.6541
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,0.8728,0.2758,0.4597,0.7225,0.7225,0.4597,0.8921,0.7381,0.8238,0.6461
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Male,0.5655,0.2270,0.2104,0.5464,0.5464,0.2104,0.9469,0.7352,0.8233,0.6362
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Male,0.5045,0.2287,0.3072,0.3952,0.3952,0.3072,0.8080,0.7326,0.8235,0.6252
