dataset,attribute,group,algorithm,set,iteration,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,nan,nan,Test,0,False,Surrogate,Female,0.3036,0.2100,0.2303,0.6911,0.6911,0.2303,1.3286,0.7689,0.8430,0.6903
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,Female,0.2145,0.1492,0.1853,0.7141,0.7141,0.1853,1.4374,0.7456,0.8303,0.6493
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,Female,0.2145,0.1492,0.1853,0.7141,0.7141,0.1853,1.4374,0.7456,0.8303,0.6493
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,Female,0.2343,0.1378,0.3335,0.6435,0.6435,0.3335,1.5023,0.7600,0.8354,0.6861
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,Female,0.2062,0.1223,0.2476,0.5983,0.5983,0.2476,1.4705,0.7637,0.8383,0.6898
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,Female,0.3112,0.1832,0.3279,0.6664,0.6664,0.3279,1.4562,0.7630,0.8374,0.6903
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,Female,0.3112,0.1832,0.3279,0.6664,0.6664,0.3279,1.4562,0.7630,0.8374,0.6903
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.3622,0.1994,0.2978,0.8647,0.8647,0.2978,1.9385,0.7489,0.8251,0.6831
German Credit,Attribute9,Female,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.3871,0.2188,0.3082,0.9914,0.9914,0.3082,1.9761,0.7437,0.8216,0.6765
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Female,0.5416,0.3388,0.4005,0.8268,0.8268,0.4005,1.8777,0.7444,0.8241,0.6693
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Female,0.5337,0.3347,0.3968,0.7593,0.7593,0.3968,1.8152,0.7322,0.8161,0.6535
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Female,0.2625,0.1796,0.2578,0.7782,0.7782,0.2578,1.5186,0.7433,0.8265,0.6569
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Female,0.2397,0.1493,0.2868,0.6381,0.6381,0.2868,1.6865,0.7315,0.8174,0.6459
German Credit,Attribute9,nan,nan,Test,0,False,Surrogate,Male,0.4732,0.2100,0.2303,0.6911,0.6911,0.2303,1.3286,0.7689,0.8430,0.6903
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,Male,0.4732,0.2100,0.2303,0.6911,0.6911,0.2303,1.3286,0.7689,0.8430,0.6903
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,Male,0.4732,0.2100,0.2303,0.6911,0.6911,0.2303,1.3286,0.7689,0.8430,0.6903
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,Male,0.4798,0.2138,0.2239,0.5569,0.5569,0.2239,1.4299,0.7707,0.8437,0.6955
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,Male,0.3951,0.1845,0.2668,0.8290,0.8290,0.2668,1.4130,0.7707,0.8438,0.6944
German Credit,Attribute9,Male,DisparateImpactRemover,Test,1,False,Surrogate,Male,0.4732,0.2100,0.2303,0.6911,0.6911,0.2303,1.3286,0.7689,0.8430,0.6903
German Credit,Attribute9,Male,DisparateImpactRemover,Test,2,False,Surrogate,Male,0.4732,0.2100,0.2303,0.6911,0.6911,0.2303,1.3286,0.7689,0.8430,0.6903
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,0.5828,0.2478,0.3325,0.7009,0.7009,0.3325,1.7726,0.7489,0.8267,0.6771
German Credit,Attribute9,Male,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,0.5615,0.2379,0.2801,0.6154,0.6154,0.2801,1.7593,0.7400,0.8204,0.6668
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,Male,0.8093,0.3388,0.4005,0.8268,0.8268,0.4005,1.8777,0.7444,0.8241,0.6693
German Credit,Attribute9,Attribute9,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,Male,0.7979,0.3347,0.3968,0.7593,0.7593,0.3968,1.8152,0.7322,0.8161,0.6535
German Credit,Attribute9,Attribute9,FairGenes,Test,1,False,Surrogate,Male,0.3757,0.1796,0.2578,0.7782,0.7782,0.2578,1.5186,0.7433,0.8265,0.6569
German Credit,Attribute9,Attribute9,FairGenes,Test,2,False,Surrogate,Male,0.3148,0.1493,0.2868,0.6381,0.6381,0.2868,1.6865,0.7315,0.8174,0.6459
