dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Female,0.6320374700000002,0.4579567300000001,0.2394000000000001,1.1606934600000005,1.1606934600000005,0.2394,0.7855420200000001,0.7692592592592592,0.8447481481481481,0.6828074074074075
German Credit,Attribute9,,,Validation,0,False,Surrogate,LogisticRegression,Male,1.0736269000000005,0.4579567300000001,0.2394,1.1606934600000005,1.1606934600000005,0.2394,0.7855420200000001,0.7692592592592592,0.8447481481481481,0.6828074074074075
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Female,0.20048699,0.1444506499999999,0.1372000000000001,0.78017124,0.78017124,0.1371999999999999,0.78431691,0.7762962962962964,0.850851851851852,0.6853555555555554
German Credit,Attribute9,,,Validation,0,False,Surrogate,SVC,Male,0.3032048999999999,0.1444506499999999,0.1371999999999999,0.78017124,0.78017124,0.1371999999999999,0.78431691,0.7762962962962964,0.850851851851852,0.6853555555555554
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Female,1.03983006,0.47964273,0.444,0.5779173700000001,0.57791737,0.444,1.50099891,0.7351851851851853,0.7987111111111111,0.7201962962962964
German Credit,Attribute9,,,Validation,0,False,Surrogate,GaussianNB,Male,2.03239588,0.47964273,0.4439999999999999,0.5779173700000002,0.57791737,0.444,1.50099891,0.7351851851851853,0.7987111111111111,0.7201962962962964
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,0.8257698,0.4316899999999999,0.4913000000000001,1.04786532,1.04786532,0.4913000000000002,3.1524437999999995,0.6888888888888888,0.7751666666666666,0.6359777777777778
German Credit,Attribute9,,,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,1.4013370799999996,0.4316899999999999,0.4912999999999999,1.04786532,1.04786532,0.4913000000000002,3.1524437999999995,0.6888888888888888,0.7751666666666666,0.6359777777777778
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.37035764,0.25580922,0.1755000000000001,0.66420202,0.66420202,0.1755,1.14154002,0.7718518518518519,0.8467740740740742,0.6842999999999998
German Credit,Attribute9,,,Validation,0,False,Surrogate,RandomForestClassifier,Male,0.5272570700000001,0.25580922,0.1755,0.6642020200000002,0.66420202,0.1755,1.14154002,0.7718518518518519,0.8467740740740742,0.6842999999999998
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Female,0.6695276700000001,0.4486064900000001,0.2494,1.64987284,1.64987284,0.2493999999999999,0.9280735799999998,0.7503703703703702,0.8308962962962965,0.6661407407407409
German Credit,Attribute9,,,Test,0,False,Surrogate,LogisticRegression,Male,1.1899656000000003,0.4486064900000001,0.2494,1.6498728400000002,1.64987284,0.2493999999999999,0.9280735799999998,0.7503703703703702,0.8308962962962965,0.6661407407407409
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Female,0.4226100699999999,0.27914839,0.2492,1.0002667899999995,1.0002667899999995,0.2491999999999999,0.8311418,0.7544444444444446,0.8349148148148148,0.6662185185185185
German Credit,Attribute9,,,Test,0,False,Surrogate,SVC,Male,0.6557206700000002,0.27914839,0.2492,1.0002667899999995,1.0002667899999995,0.2491999999999999,0.8311418,0.7544444444444446,0.8349148148148148,0.6662185185185185
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Female,1.40140773,0.58544926,0.5807999999999999,0.85845924,0.85845924,0.5808000000000001,1.53781713,0.7244444444444444,0.7896777777777779,0.7132296296296295
German Credit,Attribute9,,,Test,0,False,Surrogate,GaussianNB,Male,3.59353823,0.58544926,0.5807999999999999,0.8584592400000003,0.85845924,0.5808000000000001,1.53781713,0.7244444444444444,0.7896777777777779,0.7132296296296295
