dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,asian,5.249999999999509e-06,5.249999999999843e-06,3.0600000000000368e-06,0.0006120599999999998,0.0006120599999999998,3.0600000000000368e-06,3.2499999999999507e-06,0.9487,0.97366,0.5035399999999999
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,black,0.001461670000000006,0.001461670000000006,0.0012765700000000012,0.008228810000000013,0.008228810000000013,0.0012765700000000012,2.8899999999999855e-06,0.9487,0.97366,0.5035399999999999
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,hisp,5.249999999999509e-06,5.249999999999843e-06,3.0600000000000368e-06,0.0006955299999999998,0.0006955299999999998,3.0600000000000368e-06,2.8899999999999855e-06,0.9487,0.97366,0.5035399999999999
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,other,5.249999999999509e-06,5.249999999999843e-06,3.0600000000000368e-06,0.0005880600000000024,0.0005880600000000024,3.0600000000000368e-06,3.4599999999999266e-06,0.9487,0.97366,0.5035399999999999
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,white,0.00019627000000000156,0.00019443999999999972,0.00014040999999999923,0.0024969599999999934,0.0024969599999999934,0.0001404100000000016,3.2499999999999507e-06,0.9487,0.97366,0.5035399999999999
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,asian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488,0.9737,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488,0.9737,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,hisp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488,0.9737,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488,0.9737,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,white,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488,0.9737,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,asian,1.36439236,0.8938501399999998,0.8978031700000001,0.36488977000000006,0.36488977000000006,0.8978031700000001,0.002025099999999994,0.8144399999999999,0.8934200000000001,0.76708
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,black,2.8636114399999997,1.9710090299999998,1.84640249,0.49422222000000005,0.49422222000000005,1.84640249,0.0019582599999999964,0.8144399999999999,0.8934200000000001,0.76708
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,hisp,1.27161321,0.8368050599999999,0.78962053,0.18367508999999999,0.18367508999999999,0.78962053,0.0019018100000000025,0.8144399999999999,0.8934200000000001,0.76708
