dataset,attribute,group,algorithm,set,iterations,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,nan,Test,0,False,Surrogate,asian,0.184,0.171,0.143,1.079,1.079,0.143,0.032,0.925,0.961,0.558
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,asian,0.022,0.019,0.020,0.233,0.233,0.020,0.036,0.908,0.952,0.530
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,asian,0.022,0.019,0.020,0.233,0.233,0.020,0.036,0.908,0.952,0.530
Law School Admission Bar Passage,race1,asian,Reweighing,Test,1,False,Surrogate,asian,0.046,0.040,0.032,0.857,0.857,0.032,0.050,0.903,0.949,0.569
Law School Admission Bar Passage,race1,asian,Reweighing,Test,2,False,Surrogate,asian,0.045,0.039,0.035,0.707,0.707,0.035,0.046,0.906,0.950,0.566
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,1,False,Surrogate,asian,0.073,0.061,0.050,1.114,1.114,0.050,0.058,0.898,0.945,0.585
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,2,False,Surrogate,asian,0.073,0.061,0.050,1.114,1.114,0.050,0.058,0.898,0.945,0.585
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.054,0.046,0.039,0.807,0.807,0.039,0.035,0.915,0.955,0.565
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.058,0.049,0.042,0.802,0.802,0.042,0.037,0.911,0.953,0.568
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.170,0.159,0.140,1.160,1.160,0.140,0.023,0.929,0.963,0.552
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.170,0.159,0.140,1.160,1.160,0.140,0.023,0.929,0.963,0.552
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,asian,0.104,0.093,0.103,0.586,0.586,0.103,0.036,0.901,0.947,0.526
Law School Admission Bar Passage,race1,black,nan,Test,0,False,Surrogate,black,0.852,0.802,0.709,0.618,0.618,0.709,0.032,0.925,0.961,0.558
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,black,0.022,0.019,0.019,0.151,0.151,0.019,0.037,0.890,0.942,0.511
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,black,0.022,0.019,0.019,0.151,0.151,0.019,0.037,0.890,0.942,0.511
Law School Admission Bar Passage,race1,black,Reweighing,Test,1,False,Surrogate,black,0.250,0.224,0.212,0.190,0.190,0.212,0.050,0.905,0.949,0.552
Law School Admission Bar Passage,race1,black,Reweighing,Test,2,False,Surrogate,black,0.135,0.122,0.127,0.242,0.242,0.127,0.042,0.908,0.951,0.540
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,1,False,Surrogate,black,0.589,0.508,0.456,0.265,0.265,0.456,0.072,0.888,0.940,0.571
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,2,False,Surrogate,black,0.589,0.508,0.456,0.265,0.265,0.456,0.072,0.888,0.940,0.571
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,0.506,0.435,0.374,0.277,0.277,0.374,0.071,0.885,0.938,0.569
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,0.506,0.435,0.374,0.277,0.277,0.374,0.071,0.885,0.938,0.569
