dataset,attribute,group,algorithm,set,iterations,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,nan,Test,0,False,Surrogate,asian,0.001,0.001,0.000,0.029,0.029,0.000,0.000,0.950,0.974,0.507
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Reweighing,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Reweighing,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.950,0.974,0.505
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.950,0.974,0.505
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.950,0.974,0.504
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.950,0.974,0.504
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.001,0.001,0.001,0.028,0.028,0.001,0.000,0.950,0.974,0.504
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.001,0.001,0.001,0.028,0.028,0.001,0.000,0.950,0.974,0.504
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,nan,Test,0,False,Surrogate,black,0.002,0.002,0.001,0.017,0.017,0.001,0.000,0.950,0.974,0.507
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,Reweighing,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,Reweighing,Test,2,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,1,False,Surrogate,black,0.033,0.027,0.027,0.414,0.414,0.027,0.002,0.891,0.942,0.592
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,2,False,Surrogate,black,0.033,0.027,0.027,0.414,0.414,0.027,0.002,0.891,0.942,0.592
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,0.027,0.022,0.023,0.339,0.339,0.023,0.002,0.891,0.942,0.590
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,0.027,0.022,0.023,0.339,0.339,0.023,0.002,0.891,0.942,0.590
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,0.001,0.001,0.001,0.007,0.007,0.001,0.000,0.950,0.974,0.504
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,0.001,0.001,0.001,0.007,0.007,0.001,0.000,0.950,0.974,0.504
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,hisp,nan,Test,0,False,Surrogate,hisp,0.000,0.000,0.000,0.002,0.002,0.000,0.000,0.950,0.974,0.507
