dataset,attribute,group,algorithm,set,iterations,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,nan,Test,0,False,Surrogate,asian,0.040,0.038,0.035,0.385,0.385,0.035,0.009,0.940,0.969,0.539
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,asian,0.007,0.007,0.007,0.141,0.141,0.007,0.003,0.943,0.970,0.511
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,asian,0.007,0.007,0.007,0.141,0.141,0.007,0.003,0.943,0.970,0.511
Law School Admission Bar Passage,race1,asian,Reweighing,Test,1,False,Surrogate,asian,0.010,0.010,0.007,0.506,0.506,0.007,0.012,0.935,0.966,0.551
Law School Admission Bar Passage,race1,asian,Reweighing,Test,2,False,Surrogate,asian,0.014,0.013,0.012,0.436,0.436,0.012,0.014,0.933,0.965,0.549
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,1,False,Surrogate,asian,0.010,0.009,0.008,0.399,0.399,0.008,0.009,0.937,0.968,0.546
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,2,False,Surrogate,asian,0.010,0.009,0.008,0.399,0.399,0.008,0.009,0.937,0.968,0.546
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.009,0.009,0.008,0.257,0.257,0.008,0.007,0.940,0.969,0.533
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.012,0.012,0.011,0.263,0.263,0.011,0.007,0.939,0.969,0.534
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.038,0.037,0.038,0.291,0.291,0.038,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.038,0.037,0.038,0.291,0.291,0.038,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,asian,0.012,0.012,0.013,0.257,0.257,0.013,0.006,0.938,0.968,0.514
Law School Admission Bar Passage,race1,black,nan,Test,0,False,Surrogate,black,0.481,0.470,0.378,0.706,0.706,0.378,0.009,0.940,0.969,0.539
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,black,0.004,0.003,0.005,0.019,0.019,0.005,0.003,0.930,0.964,0.500
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,black,0.004,0.003,0.005,0.019,0.019,0.005,0.003,0.930,0.964,0.500
Law School Admission Bar Passage,race1,black,Reweighing,Test,1,False,Surrogate,black,0.167,0.161,0.141,0.185,0.185,0.141,0.012,0.935,0.966,0.532
Law School Admission Bar Passage,race1,black,Reweighing,Test,2,False,Surrogate,black,0.109,0.105,0.097,0.128,0.128,0.097,0.011,0.936,0.967,0.526
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,1,False,Surrogate,black,0.408,0.390,0.324,0.426,0.426,0.324,0.015,0.933,0.965,0.544
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,2,False,Surrogate,black,0.408,0.390,0.324,0.426,0.426,0.324,0.015,0.933,0.965,0.544
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,0.404,0.385,0.300,0.460,0.460,0.300,0.015,0.932,0.965,0.546
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,0.404,0.385,0.300,0.460,0.460,0.300,0.015,0.932,0.965,0.546
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,0.409,0.400,0.309,0.717,0.717,0.309,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,0.409,0.400,0.309,0.717,0.717,0.309,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,black,0.070,0.068,0.053,0.101,0.101,0.053,0.006,0.938,0.968,0.514
Law School Admission Bar Passage,race1,hisp,nan,Test,0,False,Surrogate,hisp,0.097,0.094,0.066,0.560,0.560,0.066,0.009,0.940,0.969,0.539
Law School Admission Bar Passage,race1,hisp,Massaging,Test,1,False,Surrogate,hisp,0.007,0.007,0.009,0.034,0.034,0.009,0.003,0.941,0.970,0.505
Law School Admission Bar Passage,race1,hisp,Massaging,Test,2,False,Surrogate,hisp,0.007,0.007,0.009,0.034,0.034,0.009,0.003,0.941,0.970,0.505
Law School Admission Bar Passage,race1,hisp,Reweighing,Test,1,False,Surrogate,hisp,0.041,0.040,0.033,0.183,0.183,0.033,0.012,0.935,0.966,0.539
Law School Admission Bar Passage,race1,hisp,Reweighing,Test,2,False,Surrogate,hisp,0.036,0.034,0.033,0.160,0.160,0.033,0.012,0.934,0.966,0.530
Law School Admission Bar Passage,race1,hisp,DisparateImpactRemover,Test,1,False,Surrogate,hisp,0.073,0.069,0.047,0.312,0.312,0.047,0.011,0.936,0.967,0.550
Law School Admission Bar Passage,race1,hisp,DisparateImpactRemover,Test,2,False,Surrogate,hisp,0.073,0.069,0.047,0.312,0.312,0.047,0.011,0.936,0.967,0.550
Law School Admission Bar Passage,race1,hisp,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,hisp,0.078,0.074,0.050,0.416,0.416,0.050,0.012,0.935,0.966,0.550
Law School Admission Bar Passage,race1,hisp,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,hisp,0.079,0.075,0.052,0.418,0.418,0.052,0.012,0.935,0.966,0.550
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,hisp,0.118,0.114,0.076,0.643,0.643,0.076,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,hisp,0.118,0.114,0.076,0.643,0.643,0.076,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,hisp,0.030,0.029,0.028,0.091,0.091,0.028,0.006,0.938,0.968,0.514
Law School Admission Bar Passage,race1,other,nan,Test,0,False,Surrogate,other,0.029,0.027,0.028,0.716,0.716,0.028,0.009,0.940,0.969,0.539
Law School Admission Bar Passage,race1,other,Massaging,Test,1,False,Surrogate,other,0.004,0.004,0.004,0.048,0.048,0.004,0.002,0.944,0.971,0.513
Law School Admission Bar Passage,race1,other,Massaging,Test,2,False,Surrogate,other,0.004,0.004,0.004,0.048,0.048,0.004,0.002,0.944,0.971,0.513
Law School Admission Bar Passage,race1,other,Reweighing,Test,1,False,Surrogate,other,0.021,0.020,0.026,0.627,0.627,0.026,0.009,0.938,0.968,0.543
Law School Admission Bar Passage,race1,other,Reweighing,Test,2,False,Surrogate,other,0.036,0.034,0.032,0.602,0.602,0.032,0.011,0.936,0.967,0.546
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,1,False,Surrogate,other,0.034,0.032,0.030,0.687,0.687,0.030,0.007,0.940,0.969,0.545
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,other,0.034,0.032,0.030,0.687,0.687,0.030,0.007,0.940,0.969,0.545
Law School Admission Bar Passage,race1,other,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,other,0.036,0.034,0.033,0.587,0.587,0.033,0.007,0.939,0.969,0.539
Law School Admission Bar Passage,race1,other,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,other,0.036,0.034,0.033,0.587,0.587,0.033,0.007,0.939,0.969,0.539
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,other,0.047,0.045,0.041,0.789,0.789,0.041,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,other,0.047,0.045,0.041,0.789,0.789,0.041,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,other,0.016,0.015,0.015,0.166,0.166,0.015,0.006,0.938,0.968,0.514
Law School Admission Bar Passage,race1,white,nan,Test,0,False,Surrogate,white,0.205,0.170,0.119,0.577,0.577,0.119,0.009,0.940,0.969,0.539
Law School Admission Bar Passage,race1,white,Massaging,Test,1,False,Surrogate,white,0.088,0.077,0.048,0.358,0.358,0.048,0.005,0.943,0.970,0.531
Law School Admission Bar Passage,race1,white,Massaging,Test,2,False,Surrogate,white,0.088,0.077,0.048,0.358,0.358,0.048,0.005,0.943,0.970,0.531
Law School Admission Bar Passage,race1,white,Reweighing,Test,1,False,Surrogate,white,0.153,0.128,0.077,0.518,0.518,0.077,0.011,0.937,0.968,0.544
Law School Admission Bar Passage,race1,white,Reweighing,Test,2,False,Surrogate,white,0.194,0.158,0.094,0.617,0.617,0.094,0.015,0.935,0.966,0.551
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,white,0.088,0.077,0.048,0.358,0.358,0.048,0.005,0.943,0.970,0.531
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,white,0.088,0.077,0.048,0.358,0.358,0.048,0.005,0.943,0.970,0.531
Law School Admission Bar Passage,race1,white,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,white,0.073,0.065,0.041,0.315,0.315,0.041,0.004,0.943,0.971,0.526
Law School Admission Bar Passage,race1,white,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,white,0.073,0.065,0.041,0.315,0.315,0.041,0.004,0.943,0.971,0.526
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,white,0.197,0.165,0.115,0.636,0.636,0.115,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,white,0.197,0.165,0.115,0.636,0.636,0.115,0.007,0.941,0.969,0.535
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,white,0.031,0.027,0.020,0.070,0.070,0.020,0.006,0.938,0.968,0.514
