dataset,attribute,group,algorithm,set,iterations,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,nan,Test,0,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Reweighing,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,Reweighing,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,asian,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,nan,Test,0,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,0.974,0.500
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,0.974,0.500
Law School Admission Bar Passage,race1,black,Reweighing,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,Reweighing,Test,2,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,2,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950,0.974,0.500
