dataset,attribute,group,algorithm,set,iterations,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,nan,Test,0,False,Target,asian,0.024,0.023,0.023,0.227,0.227,0.023,0.001,0.946,0.972,0.521
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Target,asian,0.007,0.006,0.006,0.034,0.034,0.006,0.004,0.939,0.968,0.508
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Target,asian,0.007,0.006,0.006,0.034,0.034,0.006,0.004,0.939,0.968,0.508
Law School Admission Bar Passage,race1,asian,Reweighing,Test,1,False,Target,asian,0.018,0.017,0.013,0.400,0.400,0.013,0.008,0.933,0.965,0.537
Law School Admission Bar Passage,race1,asian,Reweighing,Test,2,False,Target,asian,0.019,0.018,0.014,0.426,0.426,0.014,0.009,0.932,0.965,0.539
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,1,False,Target,asian,0.021,0.020,0.015,0.308,0.308,0.015,0.007,0.934,0.966,0.536
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,2,False,Target,asian,0.021,0.020,0.015,0.308,0.308,0.015,0.007,0.934,0.966,0.536
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,asian,0.015,0.014,0.011,0.195,0.195,0.011,0.005,0.939,0.968,0.526
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,asian,0.020,0.019,0.016,0.206,0.206,0.016,0.006,0.938,0.968,0.527
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,asian,0.030,0.030,0.025,0.410,0.410,0.025,0.002,0.946,0.972,0.522
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,asian,0.030,0.030,0.025,0.410,0.410,0.025,0.002,0.946,0.972,0.522
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Target,asian,0.043,0.043,0.049,0.104,0.104,0.049,0.003,0.938,0.968,0.510
Law School Admission Bar Passage,race1,black,nan,Test,0,False,Target,black,0.169,0.167,0.106,0.493,0.493,0.106,0.002,0.946,0.972,0.521
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Target,black,0.005,0.005,0.006,0.020,0.020,0.006,0.003,0.936,0.967,0.502
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Target,black,0.005,0.005,0.006,0.020,0.020,0.006,0.003,0.936,0.967,0.502
Law School Admission Bar Passage,race1,black,Reweighing,Test,1,False,Target,black,0.037,0.036,0.024,0.108,0.108,0.024,0.003,0.942,0.970,0.521
Law School Admission Bar Passage,race1,black,Reweighing,Test,2,False,Target,black,0.016,0.015,0.014,0.059,0.059,0.014,0.002,0.943,0.971,0.514
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,1,False,Target,black,0.160,0.154,0.101,0.243,0.243,0.101,0.007,0.938,0.968,0.539
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,2,False,Target,black,0.160,0.154,0.101,0.243,0.243,0.101,0.007,0.938,0.968,0.539
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,black,0.128,0.123,0.079,0.233,0.233,0.079,0.007,0.937,0.967,0.539
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,black,0.128,0.123,0.079,0.233,0.233,0.079,0.007,0.937,0.967,0.539
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,black,0.179,0.178,0.119,0.500,0.500,0.119,0.002,0.946,0.972,0.522
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,black,0.179,0.178,0.119,0.500,0.500,0.119,0.002,0.946,0.972,0.522
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Target,black,0.025,0.025,0.021,0.048,0.048,0.021,0.003,0.938,0.968,0.510
Law School Admission Bar Passage,race1,hisp,nan,Test,0,False,Target,hisp,0.015,0.015,0.016,0.112,0.112,0.016,0.002,0.946,0.972,0.521
Law School Admission Bar Passage,race1,hisp,Massaging,Test,1,False,Target,hisp,0.006,0.006,0.007,0.045,0.045,0.007,0.004,0.936,0.967,0.507
Law School Admission Bar Passage,race1,hisp,Massaging,Test,2,False,Target,hisp,0.006,0.006,0.007,0.045,0.045,0.007,0.004,0.936,0.967,0.507
Law School Admission Bar Passage,race1,hisp,Reweighing,Test,1,False,Target,hisp,0.014,0.013,0.013,0.117,0.117,0.013,0.005,0.937,0.967,0.523
Law School Admission Bar Passage,race1,hisp,Reweighing,Test,2,False,Target,hisp,0.004,0.004,0.005,0.129,0.129,0.005,0.004,0.938,0.968,0.516
Law School Admission Bar Passage,race1,hisp,DisparateImpactRemover,Test,1,False,Target,hisp,0.028,0.027,0.024,0.117,0.117,0.024,0.006,0.936,0.967,0.534
Law School Admission Bar Passage,race1,hisp,DisparateImpactRemover,Test,2,False,Target,hisp,0.028,0.027,0.024,0.117,0.117,0.024,0.006,0.936,0.967,0.534
Law School Admission Bar Passage,race1,hisp,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,hisp,0.037,0.035,0.029,0.145,0.145,0.029,0.007,0.937,0.967,0.538
Law School Admission Bar Passage,race1,hisp,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,hisp,0.040,0.038,0.032,0.144,0.144,0.032,0.007,0.936,0.967,0.537
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,hisp,0.015,0.014,0.017,0.105,0.105,0.017,0.002,0.946,0.972,0.522
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,hisp,0.015,0.014,0.017,0.105,0.105,0.017,0.002,0.946,0.972,0.522
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Target,hisp,0.011,0.011,0.012,0.058,0.058,0.012,0.003,0.938,0.968,0.510
