dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,asian,0.998,0.998,0.998,1.006,0.994,0.998,0.999,0.949,0.974,0.503
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,black,0.991,0.991,0.994,0.979,0.979,0.994,0.999,0.949,0.974,0.503
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,hisp,1.001,0.999,1.0,1.006,0.994,1.0,0.999,0.949,0.974,0.503
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,other,1.001,0.999,1.0,1.006,0.994,1.0,0.999,0.949,0.974,0.503
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,LogisticRegression,white,1.004,0.996,1.003,1.012,0.988,0.997,0.999,0.949,0.974,0.503
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,asian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949,0.974,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,black,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949,0.974,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,hisp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949,0.974,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949,0.974,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,SVC,white,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949,0.974,0.5
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,asian,0.479,0.575,0.576,0.753,0.751,0.576,0.978,0.822,0.898,0.775
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,black,0.236,0.361,0.382,0.7,0.7,0.382,0.978,0.822,0.898,0.775
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,hisp,0.581,0.658,0.68,0.856,0.84,0.68,0.978,0.822,0.898,0.775
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,other,0.772,0.817,0.849,0.833,0.802,0.849,0.978,0.822,0.898,0.775
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,GaussianNB,white,2.394,0.488,1.476,1.367,0.633,0.524,0.978,0.822,0.898,0.775
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,DecisionTreeClassifier,asian,0.936,0.938,0.942,0.925,0.83,0.941,0.968,0.925,0.961,0.556
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,DecisionTreeClassifier,black,0.841,0.845,0.871,0.818,0.814,0.871,0.968,0.925,0.961,0.556
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,DecisionTreeClassifier,hisp,0.892,0.896,0.903,0.917,0.883,0.903,0.968,0.925,0.961,0.556
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,DecisionTreeClassifier,other,0.918,0.916,0.928,0.918,0.813,0.925,0.968,0.925,0.961,0.556
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,DecisionTreeClassifier,white,1.146,0.876,1.106,1.202,0.798,0.894,0.968,0.925,0.961,0.556
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,RandomForestClassifier,asian,0.981,0.977,0.985,0.967,0.885,0.98,0.984,0.939,0.969,0.536
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,RandomForestClassifier,black,0.893,0.895,0.916,0.852,0.85,0.916,0.984,0.939,0.969,0.536
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,RandomForestClassifier,hisp,0.954,0.953,0.958,0.972,0.911,0.957,0.984,0.939,0.969,0.536
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,RandomForestClassifier,other,0.982,0.972,0.984,1.011,0.879,0.975,0.984,0.939,0.969,0.536
Law School Admission Bar Passage,race1,,,Validation,0,False,Surrogate,RandomForestClassifier,white,1.07,0.935,1.051,1.131,0.869,0.949,0.984,0.939,0.969,0.536
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,LogisticRegression,asian,0.994,0.993,0.996,0.972,0.964,0.995,0.999,0.95,0.974,0.503
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,LogisticRegression,black,0.99,0.989,0.992,0.984,0.981,0.992,0.999,0.95,0.974,0.503
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,LogisticRegression,hisp,1.001,0.999,1.001,1.008,0.992,0.999,0.999,0.95,0.974,0.503
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,LogisticRegression,other,1.001,0.999,1.001,1.007,0.993,0.999,0.999,0.95,0.974,0.503
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,LogisticRegression,white,1.006,0.994,1.004,1.015,0.985,0.996,0.999,0.95,0.974,0.503
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,SVC,asian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.974,0.5
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,SVC,black,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.974,0.5
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,SVC,hisp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.974,0.5
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,SVC,other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.974,0.5
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,SVC,white,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.974,0.5
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,GaussianNB,asian,0.466,0.564,0.565,0.723,0.723,0.565,0.979,0.82,0.897,0.761
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,GaussianNB,black,0.225,0.35,0.367,0.678,0.678,0.367,0.979,0.82,0.897,0.761
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,GaussianNB,hisp,0.563,0.643,0.661,0.818,0.806,0.661,0.979,0.82,0.897,0.761
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,GaussianNB,other,0.809,0.847,0.861,0.88,0.806,0.861,0.979,0.82,0.897,0.761
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,GaussianNB,white,2.445,0.478,1.49,1.396,0.604,0.51,0.979,0.82,0.897,0.761
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,DecisionTreeClassifier,asian,0.931,0.934,0.94,0.901,0.85,0.94,0.966,0.925,0.961,0.559
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,DecisionTreeClassifier,black,0.831,0.837,0.847,0.876,0.875,0.847,0.967,0.925,0.961,0.559
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,DecisionTreeClassifier,hisp,0.885,0.889,0.899,0.881,0.853,0.899,0.966,0.925,0.961,0.559
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,DecisionTreeClassifier,other,0.926,0.927,0.943,0.813,0.723,0.941,0.966,0.925,0.961,0.559
Law School Admission Bar Passage,race1,,,Test,0,False,Surrogate,DecisionTreeClassifier,white,1.154,0.87,1.115,1.186,0.814,0.885,0.966,0.925,0.961,0.559
