dataset,attribute,class,algorithm,set,num_iterations,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Female,0.9417,0.9561,1.0100,0.9282,0.9282,0.9900,0.7800,0.7400,0.8194,0.6714
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,Male,1.0619,0.9561,0.9900,1.0718,0.9282,0.9900,0.7800,0.7400,0.8194,0.6714
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Female,1.0701,0.9472,1.0700,1.1244,0.8756,0.9300,0.7900,0.7900,0.8571,0.7167
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,Male,0.9345,0.9472,0.9300,0.8756,0.8756,0.9300,0.7900,0.7900,0.8571,0.7167
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Female,1.1129,0.9444,1.1300,1.0239,0.9761,0.8700,0.6833,0.7100,0.7603,0.7452
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,Male,0.8986,0.9444,0.8700,0.9761,0.9761,0.8700,0.6833,0.7100,0.7603,0.7452
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Female,1.0882,0.9425,1.1300,0.9809,0.9809,0.8700,0.6367,0.6900,0.7737,0.6452
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,Male,0.9190,0.9425,0.8700,1.0191,0.9809,0.8700,0.6367,0.6900,0.7737,0.6452
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Female,0.9417,0.9561,1.0400,0.8900,0.8900,0.9600,0.7400,0.7800,0.8472,0.7190
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,Male,1.0619,0.9561,0.9600,1.1100,0.8900,0.9600,0.7400,0.7800,0.8472,0.7190
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Female,0.8133,0.8593,0.9000,0.9043,0.9043,0.9000,0.7667,0.8100,0.8652,0.7690
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,Male,1.2296,0.8593,1.1000,1.0957,0.9043,0.9000,0.7667,0.8100,0.8652,0.7690
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Female,0.7832,0.8303,0.8300,0.9426,0.9426,0.8300,0.7833,0.7900,0.8531,0.7357
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,Male,1.2769,0.8303,1.1700,1.0574,0.9426,0.8300,0.7833,0.7900,0.8531,0.7357
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Female,0.5176,0.6994,0.7200,0.7895,0.7895,0.7200,0.7667,0.7500,0.7967,0.7833
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,Male,1.9319,0.6994,1.2800,1.2105,0.7895,0.7200,0.7667,0.7500,0.7967,0.7833
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Female,0.8176,0.8705,0.7800,1.1244,0.8756,0.7800,0.6100,0.6900,0.7737,0.6452
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,Male,1.2230,0.8705,1.2200,0.8756,0.8756,0.7800,0.6100,0.6900,0.7737,0.6452
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Female,0.9308,0.9448,0.9300,1.0718,0.9282,0.9300,0.7433,0.7800,0.8514,0.7000
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,Male,1.0744,0.9448,1.0700,0.9282,0.9282,0.9300,0.7433,0.7800,0.8514,0.7000
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Female,0.9239,0.9416,1.0800,0.7321,0.7321,0.9200,0.6700,0.7300,0.8138,0.6548
German Credit,Attribute9,NA,NA,Validation,0,False,Test,XGBClassifier,Male,1.0823,0.9416,0.9200,1.2679,0.7321,0.9200,0.6700,0.7300,0.8138,0.6548
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Female,0.8631,0.9028,0.8500,1.1531,0.8469,0.8500,0.7467,0.8200,0.8696,0.7952
German Credit,Attribute9,NA,NA,Test,0,False,Test,XGBClassifier,Male,1.1587,0.9028,1.1500,0.8469,0.8469,0.8500,0.7467,0.8200,0.8696,0.7952
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Female,0.9308,0.9448,0.9700,0.9665,0.9665,0.9700,0.8000,0.7400,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,Male,1.0744,0.9448,1.0300,1.0335,0.9665,0.9700,0.8000,0.7400,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Female,0.9693,0.9724,1.0400,0.8995,0.8995,0.9600,0.8667,0.7700,0.8553,0.6357
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,Male,1.0317,0.9724,0.9600,1.1005,0.8995,0.9600,0.8667,0.7700,0.8553,0.6357
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Female,1.0717,0.9439,1.0600,1.0957,0.9043,0.9400,0.8067,0.7000,0.8000,0.5952
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,Male,0.9331,0.9439,0.9400,0.9043,0.9043,0.9400,0.8067,0.7000,0.8000,0.5952
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.8176,0.8705,0.9900,0.6938,0.6938,0.9900,0.5833,0.6900,0.7737,0.6452
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,Male,1.2230,0.8705,1.0100,1.3062,0.6938,0.9900,0.5833,0.6900,0.7737,0.6452
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.9713,0.9771,1.1100,0.7703,0.7703,0.8900,0.7133,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,Male,1.0296,0.9771,0.8900,1.2297,0.7703,0.8900,0.7133,0.7300,0.8188,0.6357
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Female,0.8347,0.8658,0.8600,0.9809,0.9809,0.8600,0.7867,0.7900,0.8571,0.7167
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,Male,1.1981,0.8658,1.1400,1.0191,0.9809,0.8600,0.7867,0.7900,0.8571,0.7167
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Female,0.9431,0.9514,0.8600,1.1866,0.8134,0.8600,0.8200,0.7200,0.8182,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,Male,1.0603,0.9514,1.1400,0.8134,0.8134,0.8600,0.8200,0.7200,0.8182,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Female,0.9142,0.9303,0.8000,1.2392,0.7608,0.8000,0.7333,0.6900,0.7919,0.5881
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,Male,1.0939,0.9303,1.2000,0.7608,0.7608,0.8000,0.7333,0.6900,0.7919,0.5881
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Female,0.6956,0.7882,0.7400,0.9282,0.9282,0.7400,0.5400,0.6300,0.7218,0.5929
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,Male,1.4377,0.7882,1.2600,1.0718,0.9282,0.7400,0.5400,0.6300,0.7218,0.5929
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Female,0.9142,0.9303,0.9300,1.0191,0.9809,0.9300,0.7267,0.7700,0.8456,0.6833
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,Male,1.0939,0.9303,1.0700,0.9809,0.9809,0.9300,0.7267,0.7700,0.8456,0.6833
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Female,0.8656,0.8948,1.0500,0.6268,0.6268,0.9500,0.6600,0.6900,0.7862,0.6071
German Credit,Attribute9,Female,Massaging,Validation,1,False,Test,XGBClassifier,Male,1.1553,0.8948,0.9500,1.3732,0.6268,0.9500,0.6600,0.6900,0.7862,0.6071
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Female,0.6757,0.7368,0.7300,0.8373,0.8373,0.7300,0.7200,0.7500,0.8252,0.6881
German Credit,Attribute9,Female,Massaging,Test,1,False,Test,XGBClassifier,Male,1.4800,0.7368,1.2700,1.1627,0.8373,0.7300,0.7200,0.7500,0.8252,0.6881
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Female,0.9308,0.9448,0.9700,0.9665,0.9665,0.9700,0.8000,0.7400,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.0744,0.9448,1.0300,1.0335,0.9665,0.9700,0.8000,0.7400,0.8243,0.6524
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Female,0.9693,0.9724,1.0400,0.8995,0.8995,0.9600,0.8667,0.7700,0.8553,0.6357
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,Male,1.0317,0.9724,0.9600,1.1005,0.8995,0.9600,0.8667,0.7700,0.8553,0.6357
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,Female,1.0717,0.9439,1.0600,1.0957,0.9043,0.9400,0.8067,0.7000,0.8000,0.5952
