dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact_ssd,discrimination_score_ssd,true_positive_rate_diff_ssd,false_positive_rate_diff_ssd,false_positive_error_rate_balance_score_ssd,false_negative_error_rate_balance_score_ssd,consistency_ssd,confusion_matrix,accuracy_ssd,f1_score_ssd,recall_ssd,precision_ssd,mathews_cc_ssd,roc_curve,auc_ssd,sensitivity_ssd,specificity_ssd
Adult Income,race,,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,29.6646,0.8544,6.2179,0.1728,0.1732,6.2206,0.0,"[3337, 271, 624, 530]",1.0601,6.2985,8.7854,3.4385,9.4181,"[[0.0, 0.07511086474501108, 1.0], [0.0, 0.4592720970537262, 1.0], [inf, 1.0, 0.0]]",2.8482,8.7854,0.1692
Adult Income,race,,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,1.658,0.0473,0.1323,0.0728,0.069,0.1467,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,LogisticRegression,Black,13.3113,0.4287,0.5609,0.1032,0.1036,0.5868,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,LogisticRegression,Other,1.1865,0.0327,0.7784,0.0072,0.009,0.7794,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,LogisticRegression,White,62.4092,0.3516,0.4629,0.1048,0.1028,0.4686,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,Amer-Indian-Eskimo,22.4774,0.5909,6.5628,0.044,0.0414,6.56,0.0,"[3388, 220, 608, 546]",0.9046,5.566,8.3199,2.4605,8.0684,"[[0.0, 0.06097560975609756, 1.0], [0.0, 0.4731369150779896, 1.0], [inf, 1.0, 0.0]]",2.587,8.3199,0.1108
Adult Income,race,,Validation,Surrogate,SVC,Asian-Pac-Islander,4.3556,0.11,0.6639,0.0017,0.0012,0.7176,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,Black,13.8964,0.4104,0.6641,0.0699,0.071,0.6902,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,Other,9.1335,0.2384,0.743,0.113,0.113,0.7416,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,SVC,White,26.4131,0.2096,0.0525,0.0528,0.0519,0.0549,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,30.0,3.0041,15.0872,1.0831,1.0831,15.0997,0.0,"[2932, 676, 340, 814]",1.3698,4.4359,2.5976,6.1906,8.1627,"[[0.0, 0.18736141906873613, 1.0], [0.0, 0.7053726169844021, 1.0], [inf, 1.0, 0.0]]",1.7434,2.5976,1.0592
Adult Income,race,,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,17.6504,1.8176,6.8483,1.0095,1.0061,6.8449,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,Black,16.9396,1.929,2.7918,0.8607,0.855,2.7772,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,Other,5.505,0.5437,0.2647,0.3281,0.3071,0.2642,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Adult Income,race,,Validation,Surrogate,GaussianNB,White,327.6411,2.1919,4.7033,1.0193,1.0182,4.7154,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
