dataset_temp_files\Validation,dataset_temp_files\Test,protected_attribute_temp_files\Validation,protected_attribute_temp_files\Test,unbiasing_algorithm_temp_files\Validation,unbiasing_algorithm_temp_files\Test,data_temp_files\Validation,data_temp_files\Test,classifier_type_temp_files\Validation,classifier_type_temp_files\Test,classification_algorithm_temp_files\Validation,classification_algorithm_temp_files\Test,value_temp_files\Validation,value_temp_files\Test,disparate_impact_ssd_temp_files\Validation,disparate_impact_ssd_temp_files\Test,discrimination_score_ssd_temp_files\Validation,discrimination_score_ssd_temp_files\Test,true_positive_rate_diff_ssd_temp_files\Validation,true_positive_rate_diff_ssd_temp_files\Test,false_positive_rate_diff_ssd_temp_files\Validation,false_positive_error_rate_balance_score_ssd_temp_files\Validation,false_negative_error_rate_balance_score_ssd_temp_files\Validation,false_positive_rate_diff_ssd_temp_files\Test,false_positive_error_rate_balance_score_ssd_temp_files\Test,false_negative_error_rate_balance_score_ssd_temp_files\Test,consistency_ssd_temp_files\Validation,consistency_ssd_temp_files\Test,confusion_matrix_temp_files\Validation,confusion_matrix_temp_files\Test,accuracy_ssd_temp_files\Validation,accuracy_ssd_temp_files\Test,f1_score_ssd_temp_files\Validation,f1_score_ssd_temp_files\Test,recall_ssd_temp_files\Validation,recall_ssd_temp_files\Test,precision_ssd_temp_files\Validation,precision_ssd_temp_files\Test,mathews_cc_ssd_temp_files\Validation,mathews_cc_ssd_temp_files\Test,roc_curve_temp_files\Validation,roc_curve_temp_files\Test,auc_ssd_temp_files\Validation,auc_ssd_temp_files\Test,sensitivity_ssd_temp_files\Validation,sensitivity_ssd_temp_files\Test,specificity_ssd_temp_files\Validation,specificity_ssd_temp_files\Test
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Amer-Indian-Eskimo,Amer-Indian-Eskimo,29.6646,17.6537,0.8544,0.5231,6.2179,2.6119,0.1728,0.1732,6.2206,0.1,0.0971,2.3686,0.0,0.0,"[3337, 271, 624, 530]","[6638, 579, 1259, 1049]",1.0601,1.1204,6.2985,6.5635,8.7854,8.9481,3.4385,3.8145,9.4181,9.9156,"[[0.0, 0.07511086474501108, 1.0], [0.0, 0.4592720970537262, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.08022724123597062, 1.0], [0.0, 0.4545060658578856, 1.0], [inf, 1.0, 0.0]]",2.8482,2.9448,8.7854,8.9481,0.1692,0.1938
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Asian-Pac-Islander,Asian-Pac-Islander,1.658,1.3669,0.0473,0.0404,0.1323,0.632,0.0728,0.069,0.1467,0.0049,0.006,0.6062,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Black,Black,13.3113,15.4968,0.4287,0.5216,0.5609,1.292,0.1032,0.1036,0.5868,0.1256,0.126,1.2345,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,Other,Other,1.1865,18.6068,0.0327,0.5501,0.7784,6.2238,0.0072,0.009,0.7794,0.0461,0.043,6.2291,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,LogisticRegression,LogisticRegression,White,White,62.4092,92.5496,0.3516,0.4313,0.4629,1.2605,0.1048,0.1028,0.4686,0.0991,0.0994,1.2773,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,SVC,SVC,Amer-Indian-Eskimo,Amer-Indian-Eskimo,22.4774,17.0051,0.5909,0.4259,6.5628,2.8293,0.044,0.0414,6.56,0.0404,0.0381,2.5702,0.0,0.0,"[3388, 220, 608, 546]","[6794, 423, 1231, 1077]",0.9046,0.9059,5.566,5.6796,8.3199,8.5652,2.4605,2.3918,8.0684,8.1357,"[[0.0, 0.06097560975609756, 1.0], [0.0, 0.4731369150779896, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.05861161147291118, 1.0], [0.0, 0.4666377816291161, 1.0], [inf, 1.0, 0.0]]",2.587,2.6364,8.3199,8.5652,0.1108,0.1029
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,SVC,SVC,Asian-Pac-Islander,Asian-Pac-Islander,4.3556,7.7448,0.11,0.1857,0.6639,0.3994,0.0017,0.0012,0.7176,0.0657,0.0665,0.4262,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,SVC,SVC,Black,Black,13.8964,14.4476,0.4104,0.4089,0.6641,0.8424,0.0699,0.071,0.6902,0.066,0.0673,0.8581,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,SVC,SVC,Other,Other,9.1335,17.4079,0.2384,0.4364,0.743,3.8903,0.113,0.113,0.7416,0.0274,0.0252,3.8883,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,SVC,SVC,White,White,26.4131,23.9646,0.2096,0.19,0.0525,0.189,0.0528,0.0519,0.0549,0.026,0.0263,0.19,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Amer-Indian-Eskimo,Amer-Indian-Eskimo,30.0,30.0,3.0041,3.0191,15.0872,14.681,1.0831,1.0831,15.0997,1.1306,1.1306,14.6894,0.0,0.0,"[2932, 676, 340, 814]","[5832, 1385, 701, 1607]",1.3698,1.4386,4.4359,4.6472,2.5976,2.7642,6.1906,6.43,8.1627,8.5656,"[[0.0, 0.18736141906873613, 1.0], [0.0, 0.7053726169844021, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.19190799501177774, 1.0], [0.0, 0.6962738301559792, 1.0], [inf, 1.0, 0.0]]",1.7434,1.8413,2.5976,2.7642,1.0592,1.1052
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Asian-Pac-Islander,Asian-Pac-Islander,17.6504,15.6152,1.8176,1.6104,6.8483,7.3671,1.0095,1.0061,6.8449,0.724,0.7063,7.4137,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Black,Black,16.9396,16.0742,1.929,1.8325,2.7918,3.5338,0.8607,0.855,2.7772,0.7493,0.7482,3.5018,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,Other,Other,5.505,15.6545,0.5437,1.5633,0.2647,4.0535,0.3281,0.3071,0.2642,0.5494,0.5293,4.1033,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,GaussianNB,GaussianNB,White,White,327.6411,300.7789,2.1919,2.154,4.7033,5.929,1.0193,1.0182,4.7154,0.8933,0.8962,5.9451,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Amer-Indian-Eskimo,Amer-Indian-Eskimo,0.2307,1.9483,0.0116,0.0983,5.6517,0.3228,0.437,0.4359,5.5105,0.0094,0.0055,0.1513,0.0,0.0,"[3161, 447, 543, 611]","[6310, 907, 1078, 1230]",1.2998,1.3025,5.9839,5.9933,6.5644,6.5662,5.3854,5.4025,10.1433,10.1614,"[[0.0, 0.12389135254988913, 1.0], [0.0, 0.5294627383015598, 1.0], [inf, 1.0, 0.0]]","[[0.0, 0.1256754884300956, 1.0], [0.0, 0.5329289428076257, 1.0], [inf, 1.0, 0.0]]",2.6365,2.6397,6.5644,6.5662,0.4697,0.472
Adult Income,Adult Income,race,race,,,Validation,Test,Surrogate,Surrogate,DecisionTreeClassifier,DecisionTreeClassifier,Asian-Pac-Islander,Asian-Pac-Islander,5.3229,4.6072,0.2595,0.2258,0.4008,0.0101,0.1421,0.141,0.3928,0.2844,0.2903,0.011,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
