Genotype,LogisticRegression_performance_accuracy,LogisticRegression_performance_f1_score,LogisticRegression_performance_auc,LogisticRegression_fairness_disparate_impact,LogisticRegression_fairness_discrimination_score,LogisticRegression_fairness_true_positive_rate_diff,LogisticRegression_fairness_false_positive_rate_diff,LogisticRegression_fairness_false_positive_error_rate_balance_score,LogisticRegression_fairness_false_negative_error_rate_balance_score,LogisticRegression_fairness_consistency,SVC_performance_accuracy,SVC_performance_f1_score,SVC_performance_auc,SVC_fairness_disparate_impact,SVC_fairness_discrimination_score,SVC_fairness_true_positive_rate_diff,SVC_fairness_false_positive_rate_diff,SVC_fairness_false_positive_error_rate_balance_score,SVC_fairness_false_negative_error_rate_balance_score,SVC_fairness_consistency,GaussianNB_performance_accuracy,GaussianNB_performance_f1_score,GaussianNB_performance_auc,GaussianNB_fairness_disparate_impact,GaussianNB_fairness_discrimination_score,GaussianNB_fairness_true_positive_rate_diff,GaussianNB_fairness_false_positive_rate_diff,GaussianNB_fairness_false_positive_error_rate_balance_score,GaussianNB_fairness_false_negative_error_rate_balance_score,GaussianNB_fairness_consistency,DecisionTreeClassifier_performance_accuracy,DecisionTreeClassifier_performance_f1_score,DecisionTreeClassifier_performance_auc,DecisionTreeClassifier_fairness_disparate_impact,DecisionTreeClassifier_fairness_discrimination_score,DecisionTreeClassifier_fairness_true_positive_rate_diff,DecisionTreeClassifier_fairness_false_positive_rate_diff,DecisionTreeClassifier_fairness_false_positive_error_rate_balance_score,DecisionTreeClassifier_fairness_false_negative_error_rate_balance_score,DecisionTreeClassifier_fairness_consistency,RandomForestClassifier_performance_accuracy,RandomForestClassifier_performance_f1_score,RandomForestClassifier_performance_auc,RandomForestClassifier_fairness_disparate_impact,RandomForestClassifier_fairness_discrimination_score,RandomForestClassifier_fairness_true_positive_rate_diff,RandomForestClassifier_fairness_false_positive_rate_diff,RandomForestClassifier_fairness_false_positive_error_rate_balance_score,RandomForestClassifier_fairness_false_negative_error_rate_balance_score,RandomForestClassifier_fairness_consistency,LogisticRegression_performance_accuracymean,LogisticRegression_performance_f1_scoremean,LogisticRegression_performance_aucmean,LogisticRegression_fairness_disparate_impactmean,LogisticRegression_fairness_discrimination_scoremean,LogisticRegression_fairness_true_positive_rate_diffmean,LogisticRegression_fairness_false_positive_rate_diffmean,LogisticRegression_fairness_false_positive_error_rate_balance_scoremean,LogisticRegression_fairness_false_negative_error_rate_balance_scoremean,LogisticRegression_fairness_consistencymean,SVC_performance_accuracymean,SVC_performance_f1_scoremean,SVC_performance_aucmean,SVC_fairness_disparate_impactmean,SVC_fairness_discrimination_scoremean,SVC_fairness_true_positive_rate_diffmean,SVC_fairness_false_positive_rate_diffmean,SVC_fairness_false_positive_error_rate_balance_scoremean,SVC_fairness_false_negative_error_rate_balance_scoremean,SVC_fairness_consistencymean,GaussianNB_performance_accuracymean,GaussianNB_performance_f1_scoremean,GaussianNB_performance_aucmean,GaussianNB_fairness_disparate_impactmean,GaussianNB_fairness_discrimination_scoremean,GaussianNB_fairness_true_positive_rate_diffmean,GaussianNB_fairness_false_positive_rate_diffmean,GaussianNB_fairness_false_positive_error_rate_balance_scoremean,GaussianNB_fairness_false_negative_error_rate_balance_scoremean,GaussianNB_fairness_consistencymean,DecisionTreeClassifier_performance_accuracymean,DecisionTreeClassifier_performance_f1_scoremean,DecisionTreeClassifier_performance_aucmean,DecisionTreeClassifier_fairness_disparate_impactmean,DecisionTreeClassifier_fairness_discrimination_scoremean,DecisionTreeClassifier_fairness_true_positive_rate_diffmean,DecisionTreeClassifier_fairness_false_positive_rate_diffmean,DecisionTreeClassifier_fairness_false_positive_error_rate_balance_scoremean,DecisionTreeClassifier_fairness_false_negative_error_rate_balance_scoremean,DecisionTreeClassifier_fairness_consistencymean,RandomForestClassifier_performance_accuracymean,RandomForestClassifier_performance_f1_scoremean,RandomForestClassifier_performance_aucmean,RandomForestClassifier_fairness_disparate_impactmean,RandomForestClassifier_fairness_discrimination_scoremean,RandomForestClassifier_fairness_true_positive_rate_diffmean,RandomForestClassifier_fairness_false_positive_rate_diffmean,RandomForestClassifier_fairness_false_positive_error_rate_balance_scoremean,RandomForestClassifier_fairness_false_negative_error_rate_balance_scoremean,RandomForestClassifier_fairness_consistencymean
"[['other', 'DIR'], ['white', 'LGAFFS'], ['black', 'REW'], ['asian', 'DIR'], ['black', 'DIR'], ['white', 'REW'], ['white', 'LGAFFS'], ['hisp', 'LGAFFS'], ['white', 'LGAFFS']]",0.946855192588981,0.9726748558535974,0.5079821856800275,0.0005770508249590735,0.0005729829918063354,0.0007494686373537452,0.0031956936517117417,0.003195693651711743,0.0007494686373537444,1.5980175496136625e-05,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618235007313506,0.3723051409618574,0.5344124700239808,15.164141530556263,0.8300828986601243,0.9935561735157189,0.3963935426228501,0.3963935426228502,0.9935561735157189,0.0022952022309698527,0.9361287176986836,0.9666412019353195,0.5924289140116479,0.03856819112516406,0.03536515096653599,0.013520419574977198,0.27117915046450175,0.27117915046450186,0.013520419574977217,0.003011642363461085,0.9390541199414919,0.9682337992376112,0.5894655704008221,0.035386373750637884,0.0326897798553393,0.011535882876185668,0.47772746367068647,0.4777274636706863,0.011535882876185653,0.002238994274844598,0.9251909637575167,0.958454995596512,0.5180392828594268,0.11783355516559334,0.04190345030505556,0.03935859126581723,0.15607888464890565,0.15607888464890565,0.039358591265817235,0.0004999629022206871,0.9486754428733952,0.9736617941136285,0.4999314833847208,3.8939883469876176e-05,3.8845138873968354e-05,4.875880633530986e-05,0.0,0.0,4.875880633530945e-05,1.4932439471872377e-06,0.37181862506094593,0.41846597917742034,0.5615935822770356,3779.4936489583197,0.5840151253416045,0.6130747744773372,0.403154941710912,0.40315494171091204,0.613074774477337,0.002362223879406042,0.904046806435885,0.9490236181025659,0.5558507479730501,0.0306353801627588,0.026454154818918368,0.01886304928208587,0.15510427298065205,0.1551042729806521,0.018863049282085854,0.00771912560318449,0.9333658378026979,0.9653593530808597,0.5337598492634464,0.014488262183749146,0.013590248630675105,0.00901466382469074,0.11039724960959417,0.11039724960959416,0.009014663824690728,0.0017785935327199642
"[['other', 'MSG'], ['black', 'DIR'], ['hisp', 'MSG'], ['other', 'LGAFFS'], ['hisp', 'MSG'], ['other', 'LGAFFS'], ['other', 'DIR']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09117503656752804,0.08537782139352307,0.4985440219253169,6169.884304515586,0.8691370989997136,0.9549929744334706,0.24722793000420853,0.24722793000420865,0.9549929744334704,0.0001933469167466402,0.9132130667966846,0.954405737704918,0.526293251113395,0.02520052002020574,0.022974767639018373,0.03067404326142708,0.037732092019692035,0.03773209201969212,0.030674043261427034,0.005220525233238586,0.9424670892247684,0.9703368526897939,0.5101747173689619,0.0017662707047379936,0.001733609137284023,0.0020086109466180314,0.0032052692765005184,0.0032052692765005206,0.002008610946618028,0.00043212507622609537,0.9445148707947344,0.9712681333074642,0.510953522895969,0.00753185597635121,0.006098116213447626,0.004841382870377736,0.04025363767940327,0.040253637679403265,0.004841382870377736,0.00014723068357106858,0.9487079473427596,0.9736789200160445,0.4999486125385406,2.9204912602407133e-05,2.9133854155476265e-05,3.65691047514824e-05,0.0,0.0,3.656910475148209e-05,1.1199329603904284e-06,0.4367463026166098,0.4917444665346331,0.5794410186136805,1616.9864790190609,0.5148392599693576,0.5475763520845776,0.326113860181589,0.326113860181589,0.5475763520845776,0.0021502686425981976,0.9062083536486266,0.950218163209676,0.5596928171748315,0.039873522054482864,0.03416643282019447,0.02442613803308021,0.16633525559965562,0.16633525559965565,0.02442613803308019,0.00750124581536213,0.9348772956281489,0.9661571251169271,0.540262647025237,0.019195845350494685,0.017970290513010568,0.00980494868156092,0.16281111601035983,0.16281111601035977,0.0098049486815609,0.0016886819337301345
"[['asian', 'DIR']]",0.9488054607508533,0.9737039819684448,0.5090099349092155,0.0006324426517750893,0.00063053979908428,0.0008467656404284491,0.0031956936517117417,0.003195693651711743,0.0008467656404284489,4.754432379015265e-06,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08873720136518772,0.07976366322008863,0.5017643028434395,2505.2860448302686,0.5917270968981436,0.6495221969144178,0.25008533808002736,0.25008533808002736,0.6495221969144178,0.00021133451924725005,0.908337396392004,0.9512448132780082,0.6093182596779719,0.06240044941812106,0.05306929589630374,0.03418632130267167,0.12177407280981783,0.12177407280981786,0.03418632130267165,0.00926158144729624,0.9341784495368113,0.9657794676806084,0.5418465227817746,0.02486129967211092,0.023489477587090652,0.01670231148269613,0.0865538777184393,0.08655387771843923,0.01670231148269609,0.002619850721916981,0.9431334308467415,0.9704878678734048,0.5132288454950326,0.005389944618642961,0.004011422813445966,0.00286032695057132,0.050823292096488455,0.05082329209648846,0.0028603269505713194,0.0002361262427524948,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36476515520884123,0.4309389525990119,0.6011242434623729,1431.1009359690104,0.5472083549947356,0.5858970424705935,0.26745097003956914,0.26745097003956914,0.5858970424705933,0.0023412814852269166,0.9124817162359824,0.953714886699019,0.5637495717711545,0.03582169494794508,0.031245672796537092,0.02084027760425775,0.1732904730529022,0.17329047305290218,0.020840277604257735,0.007018980847447109,0.9363725012189177,0.9669497450389509,0.5433030718282517,0.01933837402511702,0.01815035373273239,0.00909023451610316,0.17871529078552964,0.17871529078552964,0.00909023451610314,0.001723254581179544
"[['black', 'LGAFFS'], ['black', 'REW'], ['white', 'LGAFFS'], ['white', 'MSG'], ['asian', 'MSG']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87908337396392,0.9334406870638755,0.7515758821514218,0.6246747447150206,0.3980509996871263,0.30945110161357187,0.16635725943011068,0.16635725943011076,0.3094511016135718,0.0019211340567941808,0.9224768405655778,0.9594284256187803,0.5401849948612538,0.0017688794675126355,0.0016373644135622225,0.0008177324844546481,0.07495126279521885,0.07495126279521888,0.0008177324844546466,0.003621873759307754,0.9395416869819601,0.9687342410489158,0.5221479958890031,0.0009589909873391709,0.0009303653320008273,0.0009508566073451774,0.01873781569880472,0.01873781569880472,0.0009508566073451586,0.0011033716876034747,0.9482528847716563,0.9734282955502848,0.5022616192760078,0.00012183135215451943,0.0001173076270205383,8.841403420106402e-05,0.004181032527656195,0.004181032527656197,8.841403420106398e-05,1.5215064063290858e-05,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4231431821875508,0.508976400793974,0.6375944958319059,827.798893434793,0.3739454311896423,0.3927374658136437,0.1639433161543279,0.1639433161543279,0.39273746581364366,0.002329063474463289,0.9176986835689909,0.9566667780672601,0.5613931711773439,0.030649470878925597,0.027252694747810603,0.01720588513711991,0.13877256250959696,0.13877256250959696,0.017205885137119886,0.005644273703973208,0.9364862668616936,0.9669988694883322,0.5462161699212058,0.019663090796496856,0.018285724278223687,0.009145914532031845,0.149553235728549,0.14955323572854898,0.00914591453203183,0.001893836571335104
"[['black', 'REW'], ['white', 'DIR'], ['black', 'LGAFFS'], ['black', 'LGAFFS'], ['white', 'DIR'], ['white', 'REW']]",0.9458800585080449,0.9721455457967377,0.5119732785200412,0.0005655485608182792,0.000559284901766618,0.0007079550854018742,0.007190310716351428,0.007190310716351419,0.0007079550854018742,4.2789891411140635e-05,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46952705997074595,0.6150035385704176,0.6708975676601576,0.2629126679594224,0.04751163395507566,0.05220643267882946,0.07667391762935494,0.0766739176293549,0.05220643267882941,0.0033483882434614896,0.9288152120916626,0.9626980071538068,0.5840698869475848,0.04457461470984969,0.04027113171044515,0.027858960740345395,0.15215371401597905,0.15215371401597913,0.027858960740345377,0.004260341200783133,0.931740614334471,0.9643402954661233,0.5720966084275436,0.029549459628454167,0.027105221063069795,0.016839683394267183,0.1581902184733988,0.1581902184733987,0.016839683394267144,0.003288772944131279,0.9486266861693485,0.9736315081803742,0.5014074454721936,5.6168320628591346e-05,5.5640326454513544e-05,7.366294914762688e-05,0.0007028004890404957,0.000702800489040495,7.366294914762691e-05,4.7535519285751775e-06,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31784495368113125,0.3989008411493446,0.588711887632751,1237.9102366510501,0.447522633600073,0.5110721624845863,0.21533024199771764,0.21533024199771758,0.5110721624845863,0.0021356813396990262,0.9195351860880873,0.957639675547156,0.5673164325682312,0.03516537885087318,0.03116904092680533,0.01940214181433249,0.17698968019670597,0.17698968019670597,0.019402141814332467,0.005178515420917778,0.9379002112790509,0.9677576924627487,0.5475619504396483,0.019891564932647036,0.018644683484898877,0.008674649090203062,0.1779610184559693,0.1779610184559693,0.008674649090203046,0.0016460311534885995
"[['other', 'DIR'], ['black', 'DIR'], ['hisp', 'LGAFFS'], ['asian', 'DIR'], ['white', 'LGAFFS']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210141394441735,0.9582474226804124,0.6205035971223021,0.8144171914624256,0.6120440417115594,0.5078091330916636,1.3093354738671727,1.3093354738671727,0.5078091330916636,0.0009834543375994043,0.908824963432472,0.9518413597733711,0.5510106200753683,0.001221133285381977,0.0010900506741792733,0.0010471864766842167,0.125962991114584,0.12596299111458406,0.0010471864766842204,0.003415108777847013,0.9400292540224281,0.9690721649484536,0.4998800959232614,0.0013815252501534095,0.0013524640424733892,0.00186657022193491,0.0007989234129279329,0.0007989234129279353,0.0018665702219349343,0.0003249390395925124,0.9277913213066799,0.9586449241145942,0.5111505081648967,0.20271126192706607,0.040347246815653444,0.04031950834730886,0.10382668860924096,0.10382668860924096,0.040319508347308866,0.0003884873110406984,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109702584105314,0.5075440432629026,0.6233710174717368,30969.236574160474,0.3662683731314242,0.39291204514640976,0.2675820814783329,0.2675820814783329,0.39291204514640976,0.002223559978621608,0.9198439785470502,0.9577852112706992,0.5703323055841042,0.036439916120054906,0.03248431281735367,0.020409928602674286,0.17820723456093587,0.17820723456093587,0.02040992860267426,0.005552839806171649,0.9367137981472453,0.9671008839749923,0.5527931940162156,0.022508748737121432,0.021015211340408995,0.010024518009926504,0.186055820357011,0.18605582035701101,0.010024518009926488,0.0019924928041005607
"[['other', 'DIR'], ['black', 'DIR'], ['hisp', 'MSG'], ['asian', 'MSG'], ['white', 'LGAFFS']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210141394441735,0.9582474226804124,0.6205035971223021,0.8144171914624256,0.6120440417115594,0.5078091330916636,1.3093354738671727,1.3093354738671727,0.5078091330916636,0.0009834543375994043,0.908824963432472,0.9518413597733711,0.5510106200753683,0.001221133285381977,0.0010900506741792733,0.0010471864766842167,0.125962991114584,0.12596299111458406,0.0010471864766842204,0.003415108777847013,0.9400292540224281,0.9690721649484536,0.4998800959232614,0.0013815252501534095,0.0013524640424733892,0.00186657022193491,0.0007989234129279329,0.0007989234129279353,0.0018665702219349343,0.0003249390395925124,0.9444173573866408,0.9712656235921558,0.5118031289254311,0.006145713423822671,0.005357347010243872,0.003850789598836744,0.0498493638371658,0.049849363837165823,0.0038507895988367444,0.00016668951875785186,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41995774418982607,0.5234202342799683,0.5935691446842528,493.59272128929587,0.35319994726425546,0.40441443220002166,0.21901247061406393,0.21901247061406384,0.40441443220002166,0.0026131566572174083,0.9191288802210306,0.9573340951387178,0.5710066232728103,0.03869216077826629,0.034514629612986014,0.019980455189319644,0.1978058195112845,0.1978058195112845,0.019980455189319624,0.004828097026025944,0.9369088249634324,0.9671943898392902,0.5557491149937194,0.025295587198110814,0.02365111210629412,0.010314754217336717,0.2385893537170601,0.23858935371706008,0.010314754217336698,0.0016560418749977507
"[['other', 'MSG'], ['asian', 'LGAFFS'], ['black', 'LGAFFS'], ['asian', 'MSG'], ['white', 'LGAFFS'], ['white', 'REW']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462701121404193,0.20300409649522075,0.42396368619390207,245.7359403023742,2.2465915901111613,2.520733797877775,0.9436860119032893,0.9436860119032895,2.520733797877775,0.0008846413846555266,0.9371038517796197,0.9673335021524436,0.5478931140801644,0.016907952791896174,0.015865510116963896,0.007271429219465365,0.19872178388037656,0.19872178388037653,0.007271429219465348,0.0019146099190296426,0.9395416869819601,0.9687026754164564,0.5311579307982186,0.006180108397427079,0.005889760749332687,0.003658802551102706,0.05742022393884993,0.057420223938849935,0.0036588025511026783,0.0010797315932744777,0.9429546562652367,0.9704315371108263,0.5149366221308668,0.004287730342234021,0.00348760065950607,0.0019330278814815656,0.06632313425594687,0.0663231342559469,0.0019330278814815656,0.00023015678876550945,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721924264586381,0.45103563526646784,0.5685480187278747,767.0501244405999,0.6747800857933889,0.7516970143046271,0.3853618967909205,0.3853618967909205,0.7516970143046272,0.0018370184630545428,0.9183162684869168,0.9568338071727579,0.5696774009363937,0.035991962405002256,0.032062482181533195,0.017983443081407875,0.211425980052893,0.21142598005289295,0.017983443081407858,0.004829702967629523,0.9386153096050708,0.9681363213262467,0.5495906132237067,0.02049076572130908,0.019238124153726697,0.007877048197613194,0.21287869525076555,0.2128786952507655,0.007877048197613184,0.0014836576027903656
"[['asian', 'REW'], ['asian', 'REW'], ['hisp', 'LGAFFS'], ['black', 'LGAFFS'], ['white', 'LGAFFS']]",0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42467089224768406,0.5677655677655677,0.6562692702980473,0.4262518253864398,0.062291445672206874,0.09076357580938721,0.08968271041256194,0.08968271041256191,0.09076357580938721,0.0034498689612402593,0.9332033154558752,0.9651133180544945,0.5773723878040424,0.03091771200190925,0.027944208837346586,0.014724397962911239,0.1359908816469043,0.13599088164690426,0.014724397962911168,0.0036571622129653357,0.9366162847391516,0.9670050761421319,0.5656560465912984,0.02603158325372992,0.024063232586546003,0.009559007562947561,0.18188119691339097,0.18188119691339089,0.009559007562947542,0.0025083064556026186,0.9448724199577444,0.9715135509053556,0.5100907845152449,0.0029493771182455756,0.0024158347201953864,0.001349036023743988,0.04516783238271418,0.04516783238271419,0.001349036023743988,0.0001537944416054325,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3961807248496668,0.49381282768803625,0.6076184766472535,498.73900353228066,0.3102243745803045,0.35948405934153604,0.15464268016611793,0.15464268016611776,0.35948405934153604,0.00237306750703196,0.915163334958557,0.9550836584874308,0.5662138860340299,0.03784337527063485,0.033682130797102805,0.019249323942620456,0.17917197435238252,0.17917197435238252,0.019249323942620435,0.0052715200423052895,0.939135381114903,0.9683990483687885,0.5536188192303301,0.02163194648844374,0.020211025757709347,0.00774033095336859,0.22408383108386484,0.22408383108386484,0.007740330953368582,0.0016109381598288209
"[['asian', 'REW'], ['asian', 'REW'], ['hisp', 'LGAFFS'], ['white', 'REW'], ['white', 'LGAFFS']]",0.9492930277913213,0.9739609414121182,0.5092668722165125,1.2363684437106676e-05,1.2335264223252652e-05,1.4980571597215067e-06,0.0031956936517117417,0.003195693651711743,1.49805715972188e-06,2.1130810573401175e-06,0.9488054607508533,0.9737302977232924,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397854705021941,0.5841476655808904,0.659729359369647,0.39500299871855044,0.06120596827890264,0.07461136912922842,0.08822921229226222,0.08822921229226222,0.07461136912922846,0.0032236372205387605,0.9234519746465139,0.9597951344430218,0.5767386091127098,0.037671247804440866,0.033758112222189655,0.013760349742088784,0.21056626116917135,0.21056626116917132,0.01376034974208876,0.005346887480467546,0.9302779132130667,0.9635297118082122,0.5758307639602603,0.03313359512794258,0.030237153474681366,0.009748630695329866,0.23060238964324872,0.23060238964324878,0.0097486306953299,0.003569786311244317,0.9450511945392495,0.97154861302992,0.5058301929884663,0.0041336014879908,0.002914484268516241,0.0023119577360411598,0.031660328182016625,0.03166032818201662,0.0023119577360411606,0.0001173587610238008,0.9488054607508535,0.9737302977232926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38077360637087593,0.4717879983590778,0.5771245860454494,384.1008919268875,0.644090982162491,0.7334614655010446,0.30622679398350794,0.306226793983508,0.7334614655010447,0.0018023542487593173,0.9210628961482205,0.9584309273694688,0.5604630581249286,0.03447078156552512,0.031032240879997505,0.01617642034170476,0.25033656519572156,0.2503365651957215,0.01617642034170475,0.004362203153602672,0.9401267674305219,0.9689575968701386,0.5457319858398993,0.01764560571399327,0.016568515079109183,0.006473675693748164,0.17782397051857257,0.17782397051857254,0.006473675693748154,0.0012961920949866568
