dataset,sensitive_attribute,intervention_attribute,algorithm,classifier,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2998,0.851,0.2624,0.0887,0.912,0.756,0.9385,"[6475, 724, 1035, 1290]",0.8153,0.5946,0.5548,0.6405,0.4779,0.5548,0.8994
,,,,,Asian-Pac-Islander,1.3356,0.9298,-0.0634,-0.0135,0.9858,0.9359,0.9385,,,,,,,,
,,,,,Black,0.4263,0.8716,0.1049,0.0579,0.9421,0.8976,0.9385,,,,,,,,
,,,,,Other,0.1989,0.8296,0.3052,0.0713,0.93,0.6946,0.9385,,,,,,,,
,,,,,White,1.711,0.9065,-0.0445,-0.0518,0.9485,0.9541,0.9385,,,,,,,,
,,,,,Average,0.7943,0.8777,0.1129,0.0305,0.9437,0.8476,0.9385,,,,,,,,
,,,,,Std,0.6112,0.0364,0.1518,0.0539,0.0245,0.1034,0.0,,,,,,,,
Adult Income,sex,NA,NA,RandomForestClassifier,Female,0.2904,0.805,0.1304,0.1045,0.8955,0.8714,0.9365,"[6478, 721, 1038, 1287]",0.8153,0.594,0.5535,0.6409,0.4775,0.5535,0.8998
,,,,,Male,3.4436,0.805,-0.1304,-0.1045,0.8955,0.8714,0.9365,,,,,,,,
,,,,,Average,1.867,0.805,0.0,0.0,0.8955,0.8714,0.9365,,,,,,,,
,,,,,Std,1.5766,0.0,0.1304,0.1045,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.2492,0.8397,0.2599,0.1032,0.8968,0.7586,0.9382,"[6464, 735, 1041, 1284]",0.8135,0.5912,0.5523,0.636,0.4731,0.5523,0.8979
,,,,,Asian-Pac-Islander,1.3631,0.9239,-0.066,-0.0218,0.9771,0.9332,0.9382,,,,,,,,
,,,,,Black,0.4304,0.8723,0.1118,0.0571,0.9432,0.8904,0.9382,,,,,,,,
,,,,,Other,0.1984,0.8291,0.3027,0.0729,0.9285,0.6972,0.9382,,,,,,,,
,,,,,White,1.696,0.9075,-0.0461,-0.0506,0.9498,0.952,0.9382,,,,,,,,
,,,,,Average,0.7874,0.8745,0.1125,0.0322,0.9391,0.8463,0.9382,,,,,,,,
,,,,,Std,0.6198,0.0369,0.1516,0.0585,0.0264,0.1006,0.0,,,,,,,,
Adult Income,sex,race,Massaging,RandomForestClassifier,Female,0.2942,0.8042,0.1394,0.104,0.896,0.8618,0.9359,"[6462, 737, 1033, 1292]",0.8142,0.5935,0.5557,0.6368,0.4756,0.5557,0.8976
,,,,,Male,3.3995,0.8042,-0.1394,-0.104,0.896,0.8618,0.9359,,,,,,,,
,,,,,Average,1.8468,0.8042,0.0,0.0,0.896,0.8618,0.9359,,,,,,,,
,,,,,Std,1.5526,0.0,0.1394,0.104,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Amer-Indian-Eskimo,0.2063,0.8307,0.3684,0.0747,0.9303,0.6229,0.9584,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
,,,,,Asian-Pac-Islander,1.158,0.9667,-0.013,-0.0171,0.981,0.9902,0.9584,,,,,,,,
,,,,,Black,0.4452,0.876,0.1279,0.0497,0.9504,0.8707,0.9584,,,,,,,,
,,,,,Other,0.453,0.8836,0.198,0.0324,0.9706,0.8306,0.9584,,,,,,,,
,,,,,White,1.7929,0.9001,-0.1024,-0.0399,0.9601,0.8994,0.9584,,,,,,,,
,,,,,Average,0.8111,0.8914,0.1158,0.02,0.9585,0.8428,0.9584,,,,,,,,
,,,,,Std,0.5852,0.0441,0.1643,0.0424,0.0174,0.1218,0.0,,,,,,,,
Adult Income,race,sex,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.438,0.8772,0.2773,0.0528,0.95,0.7413,0.9377,"[6453, 746, 1001, 1324]",0.8166,0.6025,0.5695,0.6396,0.4852,0.5695,0.8964
,,,,,Asian-Pac-Islander,1.2668,0.9425,-0.0078,-0.0202,0.9786,0.9934,0.9377,,,,,,,,
,,,,,Black,0.433,0.8696,0.1013,0.06,0.94,0.9023,0.9377,,,,,,,,
,,,,,Other,0.1935,0.8237,0.0696,0.0895,0.9112,0.9304,0.9377,,,,,,,,
,,,,,White,1.7223,0.903,-0.0651,-0.0497,0.95,0.933,0.9377,,,,,,,,
,,,,,Average,0.8107,0.8832,0.0751,0.0265,0.946,0.9001,0.9377,,,,,,,,
,,,,,Std,0.5834,0.0392,0.1167,0.0525,0.0216,0.0848,0.0,,,,,,,,
Adult Income,sex,sex,Massaging,RandomForestClassifier,Female,0.2936,0.8044,0.1356,0.1045,0.8955,0.8658,0.9344,"[6465, 734, 1034, 1291]",0.8144,0.5936,0.5553,0.6375,0.4759,0.5553,0.898
,,,,,Male,3.4059,0.8044,-0.1356,-0.1045,0.8955,0.8658,0.9344,,,,,,,,
,,,,,Average,1.8498,0.8044,0.0,0.0,0.8955,0.8658,0.9344,,,,,,,,
,,,,,Std,1.5562,0.0,0.1356,0.1045,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Female,0.3339,0.8187,0.1268,0.0834,0.9166,0.873,0.9565,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
