dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.4459,0.8811,0.262,0.0527,0.9501,0.7564,0.9376,"[6454, 745, 1036, 1289]",0.813,0.5914,0.5544,0.6337,0.4726,0.5544,0.8965
,,,,,Asian-Pac-Islander,1.3217,0.932,-0.0438,-0.0203,0.9785,0.9566,0.9376,,,,,,,,
,,,,,Black,0.4457,0.8749,0.095,0.0572,0.943,0.9081,0.9376,,,,,,,,
,,,,,Other,0.2623,0.8417,0.3048,0.0592,0.9429,0.6951,0.9376,,,,,,,,
,,,,,White,1.6526,0.9106,-0.0488,-0.0454,0.9543,0.9496,0.9376,,,,,,,,
,,,,,Average,0.8256,0.8881,0.1138,0.0207,0.9538,0.8532,0.9376,,,,,,,,
,,,,,Std,0.5542,0.031,0.1484,0.0445,0.0131,0.1071,0.0,,,,,,,,
Adult Income,sex,NA,NA,RandomForestClassifier,Female,0.2952,0.8037,0.1286,0.1042,0.8958,0.8707,0.937,"[6469, 730, 1016, 1309]",0.8167,0.5999,0.563,0.642,0.4834,0.563,0.8986
,,,,,Male,3.3881,0.8037,-0.1286,-0.1042,0.8958,0.8707,0.937,,,,,,,,
,,,,,Average,1.8416,0.8037,0.0,0.0,0.8958,0.8707,0.937,,,,,,,,
,,,,,Std,1.5465,0.0,0.1286,0.1042,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.7785,0.9546,0.1463,0.0071,0.9983,0.8761,0.9361,"[6409, 790, 1167, 1158]",0.7945,0.542,0.4981,0.5945,0.4136,0.4981,0.8903
,,,,,Asian-Pac-Islander,0.8492,0.969,0.1487,0.0252,0.9741,0.849,0.9361,,,,,,,,
,,,,,Black,0.9436,0.9884,0.0453,-0.0559,0.9435,0.9571,0.9361,,,,,,,,
,,,,,Other,0.5492,0.9075,-0.0018,0.0203,0.9839,0.9981,0.9361,,,,,,,,
,,,,,White,1.1352,0.9752,-0.0992,0.0357,0.9642,0.8983,0.9361,,,,,,,,
,,,,,Average,0.8511,0.9589,0.0479,0.0065,0.9728,0.9157,0.9361,,,,,,,,
,,,,,Std,0.1927,0.0279,0.0938,0.0325,0.0185,0.0544,0.0,,,,,,,,
