dataset,sensitive_attribute,value,algorithm,model,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Amer-Indian-Eskimo,race,RandomForestClassifier,0.3414,0.8563,0.3307,0.067,0.9351,0.684,0.9398,"[6445, 754, 1014, 1311]",0.8144,0.5973,0.5639,0.6349,0.4786,0.5639,0.8953
Adult Income,race,Asian-Pac-Islander,race,RandomForestClassifier,1.2757,0.941,-0.0268,-0.0145,0.9846,0.9738,0.9393,"[6447, 752, 1021, 1304]",0.8138,0.5953,0.5609,0.6342,0.4765,0.5609,0.8955
Adult Income,race,Black,race,RandomForestClassifier,0.4613,0.8789,0.0594,0.0557,0.9445,0.9357,0.9392,"[6464, 735, 1031, 1294]",0.8146,0.5944,0.5566,0.6378,0.4768,0.5566,0.8979
Adult Income,race,Other,race,RandomForestClassifier,0.1325,0.8153,0.3027,0.0873,0.9133,0.6972,0.9381,"[6468, 731, 1041, 1284]",0.8139,0.5917,0.5523,0.6372,0.474,0.5523,0.8985
Adult Income,race,White,race,RandomForestClassifier,1.696,0.9075,-0.0498,-0.05,0.9505,0.9481,0.9397,"[6462, 737, 1043, 1282]",0.8131,0.5902,0.5514,0.635,0.4719,0.5514,0.8976
Adult Income,sex,Female,sex,RandomForestClassifier,0.3003,0.8061,0.121,0.1054,0.8948,0.8783,0.9351,"[6454, 745, 1038, 1287]",0.8128,0.5908,0.5535,0.6334,0.4719,0.5535,0.8965
Adult Income,sex,Male,sex,RandomForestClassifier,3.382,0.8011,-0.12,-0.1114,0.8887,0.8792,0.9363,"[6430, 769, 1026, 1299]",0.8115,0.5914,0.5587,0.6281,0.4708,0.5587,0.8932
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.725,0.9637,0.0693,0.0058,0.997,0.9491,0.9596,"[6788, 411, 1481, 844]",0.8013,0.4715,0.363,0.6725,0.3885,0.363,0.9429
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.5091,0.9304,-0.0288,-0.0465,0.9534,0.9704,0.9582,"[6773, 426, 1428, 897]",0.8053,0.4918,0.3858,0.678,0.4057,0.3858,0.9408
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.3662,0.9067,0.0908,0.0391,0.9609,0.9042,0.9595,"[6781, 418, 1426, 899]",0.8064,0.4937,0.3867,0.6826,0.4089,0.3867,0.9419
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.2019,0.8885,0.137,0.0444,0.9563,0.8631,0.9598,"[6775, 424, 1426, 899]",0.8058,0.4929,0.3867,0.6795,0.4071,0.3867,0.9411
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.6156,0.9446,-0.0391,-0.0214,0.9787,0.9603,0.9589,"[6783, 416, 1432, 893]",0.806,0.4915,0.3841,0.6822,0.4071,0.3841,0.9422
,,,,XGBClassifier,0.9501,0.9925,-0.0319,-0.0303,0.9702,0.9294,0.967,"[10145, 645, 1994, 1503]",0.8153,0.5325,0.4298,0.6997,0.4451,0.4298,0.9402
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.804,0.9585,0.1513,-0.0048,0.9897,0.8745,0.9458,"[6494, 705, 1018, 1307]",0.8191,0.6027,0.5622,0.6496,0.4885,0.5622,0.9021
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.5986,0.874,-0.11,-0.0722,0.9293,0.8861,0.9449,"[6476, 723, 1005, 1320]",0.8186,0.6044,0.5677,0.6461,0.489,0.5677,0.8996
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.3859,0.8614,0.1532,0.0609,0.9389,0.8474,0.9457,"[6490, 709, 1012, 1313]",0.8193,0.6041,0.5647,0.6494,0.4898,0.5647,0.9015
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.3885,0.867,0.3208,0.028,0.9755,0.6791,0.9431,"[6462, 737, 999, 1326]",0.8177,0.6044,0.5703,0.6428,0.488,0.5703,0.8976
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.5872,0.9155,-0.0593,-0.0357,0.9644,0.9396,0.9447,"[6471, 728, 994, 1331]",0.8192,0.6072,0.5725,0.6464,0.4919,0.5725,0.8989
,,,,XGBClassifier,1.3216,0.934,-0.0896,-0.0288,0.9688,0.9059,0.9643,"[9875, 915, 1454, 2043]",0.8342,0.633,0.5842,0.6907,0.5299,0.5842,0.9152
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.4516,0.8838,0.2164,0.0576,0.9444,0.8059,0.9513,"[6511, 688, 1005, 1320]",0.8222,0.6093,0.5677,0.6574,0.4972,0.5677,0.9044
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.6448,0.8631,-0.105,-0.0887,0.9119,0.8908,0.9493,"[6490, 709, 971, 1354]",0.8236,0.6171,0.5824,0.6563,0.5046,0.5824,0.9015
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.3823,0.8609,0.1783,0.0568,0.9431,0.8216,0.9499,"[6508, 691, 999, 1326]",0.8226,0.6108,0.5703,0.6574,0.4987,0.5703,0.904
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.4558,0.8823,0.0794,0.0236,0.9799,0.9205,0.9501,"[6493, 706, 978, 1347]",0.8232,0.6153,0.5794,0.6561,0.5028,0.5794,0.9019
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.4751,0.9283,-0.0301,-0.0256,0.9747,0.9696,0.9507,"[6508, 691, 995, 1330]",0.823,0.6121,0.572,0.6581,0.5002,0.572,0.904
,,,,XGBClassifier,0.4328,0.8738,0.1622,0.0479,0.9522,0.8371,0.9659,"[9843, 947, 1435, 2062]",0.8333,0.6339,0.5896,0.6853,0.5292,0.5896,0.9122
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.4462,0.8812,0.3418,0.0331,0.9705,0.6731,0.948,"[6502, 697, 989, 1336]",0.823,0.6131,0.5746,0.6572,0.5009,0.5746,0.9032
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.5384,0.8878,-0.1132,-0.0439,0.9542,0.8827,0.9483,"[6517, 682, 989, 1336]",0.8245,0.6152,0.5746,0.662,0.5045,0.5746,0.9053
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.426,0.87,0.122,0.0525,0.9474,0.8811,0.9492,"[6509, 690, 976, 1349]",0.8251,0.6182,0.5802,0.6616,0.5072,0.5802,0.9042
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.2614,0.8409,0.3302,0.0518,0.9502,0.6696,0.9484,"[6506, 693, 977, 1348]",0.8247,0.6175,0.5798,0.6605,0.5062,0.5798,0.9037
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.5934,0.9158,-0.0396,-0.038,0.9619,0.9601,0.9492,"[6512, 687, 975, 1350]",0.8255,0.619,0.5806,0.6627,0.5083,0.5806,0.9046
,,,,XGBClassifier,0.5116,0.8965,0.187,0.0209,0.9778,0.8415,0.9636,"[9827, 963, 1446, 2051]",0.8314,0.63,0.5865,0.6805,0.524,0.5865,0.9108
Adult Income,race,Amer-Indian-Eskimo,LGAFFS,RandomForestClassifier,0.5948,0.913,0.2793,0.0216,0.9826,0.7391,0.9445,"[6491, 708, 996, 1329]",0.8211,0.6094,0.5716,0.6524,0.4958,0.5716,0.9017
Adult Income,race,Asian-Pac-Islander,LGAFFS,RandomForestClassifier,1.5724,0.8798,-0.1241,-0.0508,0.9467,0.8713,0.9437,"[6497, 702, 991, 1334]",0.8222,0.6118,0.5738,0.6552,0.499,0.5738,0.9025
Adult Income,race,Black,LGAFFS,RandomForestClassifier,0.4455,0.8748,0.1259,0.0486,0.9517,0.8765,0.9453,"[6501, 698, 988, 1337]",0.823,0.6133,0.5751,0.657,0.501,0.5751,0.903
Adult Income,race,Other,LGAFFS,RandomForestClassifier,0.2596,0.8394,0.3282,0.0545,0.9475,0.6718,0.9443,"[6487, 712, 982, 1343]",0.8221,0.6132,0.5776,0.6535,0.4999,0.5776,0.9011
Adult Income,race,White,LGAFFS,RandomForestClassifier,1.5023,0.9242,-0.0133,-0.0339,0.9661,0.9878,0.9437,"[6488, 711, 981, 1344]",0.8223,0.6137,0.5781,0.654,0.5005,0.5781,0.9012
,,,,XGBClassifier,1.6364,0.9153,-0.0703,-0.0307,0.9697,0.9306,0.9623,"[9883, 907, 1464, 2033]",0.834,0.6317,0.5814,0.6915,0.5289,0.5814,0.9159
Adult Income,sex,Female,LGAFFS,RandomForestClassifier,0.2877,0.8099,0.1793,0.0856,0.9144,0.8205,0.9494,"[6556, 643, 1020, 1305]",0.8254,0.6108,0.5613,0.6699,0.5026,0.5613,0.9107
Adult Income,sex,Male,LGAFFS,RandomForestClassifier,3.4431,0.8131,-0.1754,-0.0837,0.9164,0.8246,0.9497,"[6565, 634, 1035, 1290]",0.8248,0.6072,0.5548,0.6705,0.4994,0.5548,0.9119
,,,,XGBClassifier,0.2729,0.8114,0.1679,0.0908,0.9091,0.832,0.9656,"[9947, 843, 1531, 1966]",0.8338,0.6235,0.5622,0.6999,0.5237,0.5622,0.9219
Adult Income,sex,Female,LGAFFS,RandomForestClassifier,0.2894,0.8114,0.1834,0.0835,0.9167,0.8161,0.9501,"[6561, 638, 1025, 1300]",0.8254,0.6099,0.5591,0.6708,0.502,0.5591,0.9114
Adult Income,sex,Male,LGAFFS,RandomForestClassifier,3.4112,0.8112,-0.1759,-0.0847,0.9153,0.824,0.9497,"[6550, 649, 1020, 1305]",0.8248,0.61,0.5613,0.6679,0.5012,0.5613,0.9098
,,,,XGBClassifier,3.6638,0.8114,-0.1679,-0.0908,0.9091,0.832,0.9656,"[9947, 843, 1531, 1966]",0.8338,0.6235,0.5622,0.6999,0.5237,0.5622,0.9219
