dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3506,0.862,0.2587,0.0767,0.9247,0.7599,0.9395,"[6468, 731, 1044, 1281]",0.8136,0.5907,0.551,0.6367,0.4729,0.551,0.8985
,,,,Asian-Pac-Islander,1.3683,0.9231,-0.0572,-0.0273,0.9713,0.9424,0.9393,,,,,,,,
,,,,Black,0.4462,0.8764,0.0915,0.0563,0.9438,0.9117,0.9397,,,,,,,,
,,,,Other,0.1992,0.8299,0.3015,0.0722,0.929,0.6985,0.9393,,,,,,,,
,,,,White,1.6519,0.9116,-0.04,-0.0462,0.9535,0.9584,0.9398,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2805,0.7992,0.1503,0.1075,0.8927,0.8508,0.9365,"[6468, 731, 1025, 1300]",0.8156,0.5969,0.5591,0.6401,0.4799,0.5591,0.8985
,,,,Male,3.5645,0.7992,-0.1503,-0.1075,0.8927,0.8508,0.9365,,,,,,,,
Adult Income,race,LearningFairRepresentations,RandomForestClassifier,Amer-Indian-Eskimo,2.6927,0.6723,-0.3299,-0.3148,0.6838,0.6408,0.9591,"[5658, 1541, 1992, 333]",0.629,0.1586,0.1432,0.1777,-0.0765,0.1432,0.7859
,,,,Asian-Pac-Islander,0.6215,0.9246,0.079,0.0691,0.9334,0.9242,0.9587,,,,,,,,
,,,,Black,1.4404,0.9169,-0.0788,-0.0729,0.9266,0.9206,0.958,,,,,,,,
,,,,Other,1.2907,0.9429,0.1436,-0.0551,0.948,0.8565,0.9587,,,,,,,,
,,,,White,0.7318,0.9315,0.0297,0.0689,0.9314,0.9708,0.9581,,,,,,,,
Adult Income,race,LearningFairRepresentations,XGBClassifier,Amer-Indian-Eskimo,4.3592,0.2294,-0.8234,-0.7533,0.2467,0.1765,0.9678,"[8044, 2746, 2865, 632]",0.6073,0.1839,0.1807,0.1871,-0.0746,0.1807,0.7455
,,,,Asian-Pac-Islander,0.6819,0.9241,0.1111,0.0589,0.9412,0.8926,0.9663,,,,,,,,
,,,,Black,1.2661,0.9386,-0.0986,-0.0438,0.9556,0.8988,0.9658,,,,,,,,
,,,,Other,0.6096,0.9074,0.0809,0.1186,0.8886,0.962,0.9662,,,,,,,,
,,,,White,0.7465,0.9234,0.0664,0.0705,0.9292,0.9354,0.9669,,,,,,,,
Adult Income,race,LearningFairRepresentations,RandomForestClassifier,Amer-Indian-Eskimo,,1.0,0.0,0.0,1.0,1.0,1.0,"[7199, 0, 2325, 0]",0.7559,0.0,0.0,0.0,0.0,0.0,1.0
,,,,Asian-Pac-Islander,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,Black,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,Other,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,White,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
Adult Income,race,LearningFairRepresentations,XGBClassifier,Amer-Indian-Eskimo,,1.0,0.0,0.0,1.0,1.0,1.0,"[10790, 0, 3497, 0]",0.7552,0.0,0.0,0.0,0.0,0.0,1.0
,,,,Asian-Pac-Islander,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,Black,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,Other,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
,,,,White,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,
