algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
,RandomForestClassifier,Amer-Indian-Eskimo,0.3202,0.8539,0.3028,0.0762,0.9252,0.7133,0.9395,"[6477, 722, 1029, 1296]",0.8146,0.5949,0.5576,0.6375,0.4772,0.5576,0.8976
,RandomForestClassifier,Asian-Pac-Islander,1.3202,0.9323,-0.0462,-0.0181,0.9809,0.9536,0.9396,"[6477, 722, 1029, 1296]",0.8146,0.5949,0.5576,0.6375,0.4772,0.5576,0.8976
,RandomForestClassifier,Black,0.4384,0.8732,0.0829,0.0591,0.941,0.9167,0.9394,"[6477, 722, 1029, 1296]",0.8146,0.5949,0.5576,0.6375,0.4772,0.5576,0.8976
,RandomForestClassifier,Other,0.245,0.838,0.2497,0.0656,0.9361,0.7503,0.9394,"[6477, 722, 1029, 1296]",0.8146,0.5949,0.5576,0.6375,0.4772,0.5576,0.8976
,RandomForestClassifier,White,1.69,0.9074,-0.0459,-0.0502,0.95,0.953,0.9396,"[6477, 722, 1029, 1296]",0.8146,0.5949,0.5576,0.6375,0.4772,0.5576,0.8976
Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.6815,0.9405,0.2024,0.008,0.9942,0.8161,0.9422,"[6600, 599, 1198, 1127]",0.8113,0.5615,0.4951,0.6489,0.4508,0.4951,0.9135
Massaging,XGBClassifier,Amer-Indian-Eskimo,0.5611,0.8987,0.052,0.0576,0.9412,0.9336,0.9467,"[9298, 1492, 1434, 2063]",0.7969,0.568,0.5492,0.5904,0.4369,0.5492,0.8772
Massaging,RandomForestClassifier,Asian-Pac-Islander,1.3525,0.9256,-0.0487,-0.0259,0.9728,0.9508,0.9485,"[6463, 736, 1003, 1322]",0.8169,0.6001,0.5627,0.6429,0.4839,0.5627,0.899
Massaging,XGBClassifier,Asian-Pac-Islander,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
Massaging,RandomForestClassifier,Black,0.6887,0.9096,0.101,0.0287,0.9713,0.9009,0.9351,"[5792, 1407, 1036, 1289]",0.7488,0.5222,0.5625,0.4874,0.3547,0.5625,0.8089
Massaging,XGBClassifier,Black,0.7628,0.9328,0.1273,0.0002,0.9949,0.873,0.9433,"[8824, 1966, 1462, 2035]",0.76,0.5398,0.5752,0.5086,0.3797,0.5752,0.8199
Massaging,RandomForestClassifier,Other,0.3,0.8462,0.2001,0.0612,0.9411,0.7895,0.9406,"[6359, 840, 962, 1363]",0.8094,0.5883,0.5581,0.6225,0.4661,0.5581,0.8906
