dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,,RandomForestClassifier,Amer-Indian-Eskimo,0.3202,0.8539,0.3028,0.0762,0.9252,0.7133,0.9395,"[6477, 722, 1029, 1296]",0.8146,0.5949,0.5576,0.6375,0.4772,0.5576,0.8976
,,,,Asian-Pac-Islander,1.3202,0.9323,-0.0462,-0.0181,0.9809,0.9536,0.9396,,,,,,,,
,,,,Black,0.4384,0.8732,0.0829,0.0591,0.941,0.9167,0.9394,,,,,,,,
,,,,Other,0.245,0.838,0.2497,0.0656,0.9361,0.7503,0.9394,,,,,,,,
,,,,White,1.69,0.9074,-0.0459,-0.0502,0.95,0.953,0.9396,,,,,,,,
Adult Income,sex,,RandomForestClassifier,Female,0.2947,0.8035,0.1319,0.1054,0.8946,0.8689,0.9358,"[6445, 754, 1033, 1292]",0.8147,0.5956,0.5589,0.6374,0.4778,0.5589,0.8973
,,,,Male,3.3946,0.8035,-0.1319,-0.1054,0.8946,0.8689,0.9358,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.6815,0.9405,0.2024,0.008,0.9942,0.8161,0.9422,"[6600, 599, 1198, 1127]",0.8113,0.5615,0.4951,0.6489,0.4508,0.4951,0.9135
,,,,Asian-Pac-Islander,1.5909,0.8919,-0.1314,-0.0415,0.9573,0.8675,0.9423,,,,,,,,
,,,,Black,0.4666,0.8951,0.0633,0.0443,0.9556,0.9378,0.9416,,,,,,,,
,,,,Other,0.301,0.8692,0.1704,0.0466,0.9553,0.8246,0.942,,,,,,,,
,,,,White,1.4406,0.9407,0.0143,-0.0278,0.9723,0.9791,0.9416,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.5611,0.8987,0.052,0.0576,0.9412,0.9336,0.9467,"[9298, 1492, 1434, 2063]",0.7969,0.568,0.5492,0.5904,0.4369,0.5492,0.8772
,,,,Asian-Pac-Islander,1.124,0.9707,-0.0194,-0.0109,0.9853,0.9693,0.9466,,,,,,,,
,,,,Black,0.5408,0.8896,0.1237,0.0466,0.9529,0.8765,0.9463,,,,,,,,
,,,,Other,0.5417,0.8933,0.1697,0.0377,0.96,0.8526,0.9464,,,,,,,,
,,,,White,1.5574,0.9143,-0.0709,-0.0393,0.9604,0.9288,0.9461,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.5903,0.9121,0.2763,0.0225,0.9817,0.7418,0.9486,"[6463, 736, 1003, 1322]",0.8169,0.6001,0.5627,0.6429,0.4839,0.5627,0.899
,,,,Asian-Pac-Islander,1.3525,0.9256,-0.0487,-0.0259,0.9728,0.9508,0.9485,,,,,,,,
,,,,Black,0.472,0.8811,0.0446,0.0541,0.9461,0.952,0.9488,,,,,,,,
,,,,Other,0.3169,0.8534,0.2464,0.0481,0.9544,0.7536,0.9484,,,,,,,,
,,,,White,1.5563,0.9195,-0.0256,-0.039,0.9609,0.9736,0.9486,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4893,0.8738,0.1792,0.0548,0.9436,0.8593,0.9623,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
,,,,Asian-Pac-Islander,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,,,,,,,,
,,,,Black,0.4699,0.8627,0.1472,0.0603,0.9399,0.8555,0.9621,,,,,,,,
,,,,Other,0.4877,0.8734,0.1407,0.0365,0.9581,0.8595,0.9621,,,,,,,,
,,,,White,1.7721,0.8858,-0.096,-0.0574,0.943,0.9031,0.9623,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.364,0.8197,0.3255,0.1231,0.8807,0.6895,0.9362,"[5792, 1407, 1036, 1289]",0.7488,0.5222,0.5625,0.4874,0.3547,0.5625,0.8089
,,,,Asian-Pac-Islander,1.0674,0.9568,0.0023,0.0203,0.9773,0.9162,0.9359,,,,,,,,
,,,,Black,0.6887,0.9096,0.101,0.0287,0.9713,0.9009,0.9351,,,,,,,,
,,,,Other,0.6329,0.8963,0.3047,0.0221,0.9759,0.6953,0.936,,,,,,,,
,,,,White,1.37,0.9212,-0.0788,-0.0362,0.9639,0.9203,0.9352,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4294,0.8412,0.0807,0.1245,0.8758,0.9412,0.944,"[8824, 1966, 1462, 2035]",0.76,0.5398,0.5752,0.5086,0.3797,0.5752,0.8199
,,,,Asian-Pac-Islander,0.8963,0.9663,0.0432,0.0419,0.9565,0.9399,0.9438,,,,,,,,
,,,,Black,0.7628,0.9328,0.1273,0.0002,0.9949,0.873,0.9433,,,,,,,,
,,,,Other,0.7225,0.923,0.2494,-0.0021,0.9765,0.7787,0.9435,,,,,,,,
,,,,White,1.3286,0.9292,-0.102,-0.0182,0.9818,0.8978,0.9434,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.584,0.9082,0.2736,0.0294,0.975,0.7444,0.9407,"[6359, 840, 962, 1363]",0.8094,0.5883,0.5581,0.6225,0.4661,0.5581,0.8906
,,,,Asian-Pac-Islander,1.4362,0.9062,-0.0951,-0.0314,0.9676,0.9024,0.9407,,,,,,,,
,,,,Black,0.5061,0.8865,0.0523,0.0488,0.9512,0.9459,0.9405,,,,,,,,
,,,,Other,0.3,0.8462,0.2001,0.0612,0.9411,0.7895,0.9406,,,,,,,,
,,,,White,1.4657,0.9272,-0.0052,-0.0355,0.9644,0.9873,0.9405,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4416,0.8354,0.1901,0.0976,0.9,0.8309,0.9489,"[8977, 1813, 1129, 2368]",0.7969,0.6187,0.6764,0.5735,0.4866,0.6764,0.8359
,,,,Asian-Pac-Islander,1.0236,0.9816,-0.0018,0.0188,0.98,0.9628,0.9488,,,,,,,,
,,,,Black,0.5877,0.8755,0.0866,0.0565,0.9435,0.9121,0.9487,,,,,,,,
,,,,Other,0.5317,0.8612,0.1571,0.0619,0.9389,0.8351,0.9488,,,,,,,,
,,,,White,1.5465,0.892,-0.0646,-0.0575,0.9426,0.935,0.9485,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.559,0.904,0.2238,0.041,0.9625,0.7976,0.9395,"[6435, 764, 1005, 1320]",0.8143,0.597,0.5635,0.6348,0.4784,0.5635,0.8953
,,,,Asian-Pac-Islander,1.4489,0.9041,-0.0964,-0.0311,0.9671,0.9007,0.9397,,,,,,,,
,,,,Black,0.4982,0.8857,0.039,0.0497,0.9506,0.9574,0.9393,,,,,,,,
,,,,Other,0.3624,0.8612,0.3141,0.0363,0.9669,0.6859,0.9394,,,,,,,,
,,,,White,1.4644,0.928,0.0028,-0.0354,0.9648,0.9892,0.9396,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.5226,0.8996,-0.024,0.0606,0.9406,0.9804,0.9621,"[9867, 923, 1428, 2069]",0.8354,0.6377,0.5916,0.6915,0.5348,0.5916,0.9145
,,,,Asian-Pac-Islander,1.2724,0.9434,-0.0441,-0.0376,0.9628,0.9577,0.9622,,,,,,,,
,,,,Black,0.4604,0.8809,0.1474,0.0413,0.9586,0.8529,0.9622,,,,,,,,
,,,,Other,0.4584,0.8861,0.1923,0.031,0.9719,0.8363,0.9619,,,,,,,,
,,,,White,1.6299,0.9144,-0.0719,-0.0294,0.9707,0.926,0.9618,,,,,,,,
Adult Income,sex,Massaging,RandomForestClassifier,Female,0.3793,0.8743,-0.084,0.1129,0.8871,0.9156,0.9307,"[6404, 795, 1570, 755]",0.7558,0.3975,0.33,0.5001,0.2611,0.33,0.8934
,,,,Male,2.6447,0.8743,0.084,-0.1129,0.8871,0.9156,0.9307,,,,,,,,
Adult Income,sex,Massaging,XGBClassifier,Female,0.5856,0.9237,-0.2414,0.0812,0.9188,0.759,0.9469,"[9749, 1041, 2352, 1145]",0.7691,0.4255,0.3496,0.5442,0.3007,0.3496,0.905
,,,,Male,1.7229,0.9237,0.2414,-0.0812,0.9188,0.759,0.9469,,,,,,,,
Adult Income,sex,Massaging,RandomForestClassifier,Female,0.2912,0.8018,0.1381,0.1066,0.8935,0.8632,0.9353,"[6453, 746, 1030, 1295]",0.8146,0.5957,0.5596,0.6368,0.4777,0.5596,0.8969
,,,,Male,3.4352,0.8018,-0.1381,-0.1066,0.8935,0.8632,0.9353,,,,,,,,
Adult Income,sex,Massaging,XGBClassifier,Female,0.3339,0.8187,0.1268,0.0834,0.9166,0.873,0.9567,"[9853, 937, 1408, 2089]",0.8359,0.6405,0.5974,0.6904,0.5372,0.5974,0.9132
,,,,Male,2.9945,0.8187,-0.1268,-0.0834,0.9166,0.873,0.9567,,,,,,,,
