Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score,True Positive Rate Diff,False Positive Rate Diff
COMPAS,race,NA,str,DecisionTreeClassifier,0.9481401617250673,1.032175464565721,0.0053,-0.015340590811843247,0.00633313618814263
COMPAS,sex,NA,str,DecisionTreeClassifier,0.9362540977635317,0.9166739342906549,-0.0142,0.0060258471151313775,0.033272766960268735
COMPAS,race,race,Massaging,DecisionTreeClassifier,0.9054593137612006,1.0099066957059686,0.0016,0.005528436852782037,-0.010227018829089274
COMPAS,sex,race,Massaging,DecisionTreeClassifier,0.8887083849348001,0.9451893692500027,-0.0096,0.020000141694238,-0.0028775127456887872
COMPAS,race,sex,Massaging,DecisionTreeClassifier,0.9475937932541706,0.8948016234165541,-0.0182,0.007789251257087654,0.04145428013598132
COMPAS,sex,sex,Massaging,DecisionTreeClassifier,0.9421927587965324,0.9635566997299413,-0.0061,-0.0013047676998852453,0.024339395360305882
COMPAS,race,race,Reweighing,DecisionTreeClassifier,0.954628105194143,0.9711128565388263,-0.0048,0.001472417757200667,0.003183098901987008
COMPAS,sex,race,Reweighing,DecisionTreeClassifier,0.9562497268157646,1.0432996646359611,0.0066,-0.030293111244592358,0.021807809153659402
COMPAS,race,sex,Reweighing,DecisionTreeClassifier,0.9384118889779266,0.8931327773880966,-0.0175,0.004646910485670258,0.04788650980043413
COMPAS,sex,sex,Reweighing,DecisionTreeClassifier,0.9465156261382676,0.9693058447163967,-0.0051,-0.004406239877454754,0.030602861104261775
COMPAS,race,race,DisparateImpactRemover,DecisionTreeClassifier,0.9465156261382676,0.9870939948676036,-0.0021,-0.0023115496493868737,0.005366390051147529
COMPAS,sex,race,DisparateImpactRemover,DecisionTreeClassifier,0.9411131346980405,0.9694298769947224,-0.0051,-0.01257910449104288,0.027557469047592792
COMPAS,race,sex,DisparateImpactRemover,DecisionTreeClassifier,0.9497530414511548,0.9662963848381014,-0.0054,-0.008384116345318438,0.03728368911866832
COMPAS,sex,sex,DisparateImpactRemover,DecisionTreeClassifier,0.9254593137612005,0.909551100725618,-0.0157,0.0034011751991208927,0.039950563287480756
COMPAS,race,race,LearningFairRepresentations,DecisionTreeClassifier,0.9448954614992351,0.9939126982626614,-0.001,-0.007894138899949887,0.007882746367201876
COMPAS,sex,race,LearningFairRepresentations,DecisionTreeClassifier,0.9416507612734029,1.0705859635572097,0.0113,-0.023206608669829765,0.0026835011516462837
COMPAS,race,sex,LearningFairRepresentations,DecisionTreeClassifier,0.9438187513659212,0.9732698211072297,-0.0043,0.007363915150744554,0.004637470845274799
COMPAS,sex,sex,LearningFairRepresentations,DecisionTreeClassifier,0.9438187513659212,0.9141459534698747,-0.0147,0.0065692480481462645,0.03218641238221895
