Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score,True Positive Rate Diff,False Positive Rate Diff
Adult Income,race,NA,str,DecisionTreeClassifier,0.8100231148716288,0.977822994596522,-0.0017,0.015121168769237442,-0.0007517754078863875
Adult Income,sex,NA,str,DecisionTreeClassifier,0.8002940979799165,0.992643524295998,-0.0006,1.0868620119994232e-05,0.0004762078518279478
Adult Income,race,race,Massaging,DecisionTreeClassifier,0.8085537271965068,0.9245000360612837,-0.0057,0.009232624456613367,0.004506628150233352
Adult Income,sex,race,Massaging,DecisionTreeClassifier,0.8034437411163771,0.9877459513146706,-0.0009,0.0036110927844120316,6.453536700888607e-05
Adult Income,race,sex,Massaging,DecisionTreeClassifier,0.7892341817930644,0.9906222213031701,-0.0007,0.00141853734941233,0.0004639920382551316
Adult Income,sex,sex,Massaging,DecisionTreeClassifier,0.7863636953716125,1.0316913835717858,0.0023,-0.006842956463925243,-0.0008614838721562601
Adult Income,race,race,Reweighing,DecisionTreeClassifier,0.8052643709862191,1.069021621735121,0.0051,0.008301632201846793,-0.007783079521354749
Adult Income,sex,race,Reweighing,DecisionTreeClassifier,0.7997342169417777,0.9685539092837276,-0.0024,0.01529836996575195,0.00017051618319301187
Adult Income,race,sex,Reweighing,DecisionTreeClassifier,0.801063818061442,0.9703017654815667,-0.0022,0.0002695417789757709,0.0036300693116893684
Adult Income,sex,sex,Reweighing,DecisionTreeClassifier,0.8072237341748123,1.0181395052282582,0.0013,-0.003996890987152696,-0.0006208803958582809
Adult Income,race,race,DisparateImpactRemover,DecisionTreeClassifier,0.8071537551685142,0.9516864446049156,-0.0037,0.010754270169506225,0.002726859806372911
Adult Income,sex,race,DisparateImpactRemover,DecisionTreeClassifier,0.8051944164737979,0.9623288244142089,-0.0028,0.01130619499718212,0.0016119287294550089
Adult Income,race,sex,DisparateImpactRemover,DecisionTreeClassifier,0.8008535381282711,1.0382228745423663,0.0028,-0.01027290223881823,-0.001016698774944244
Adult Income,sex,sex,DisparateImpactRemover,DecisionTreeClassifier,0.8071541715644214,1.0025689775357274,0.0002,0.008844001814178326,-0.0008359649958009224
Adult Income,race,race,LearningFairRepresentations,DecisionTreeClassifier,0.7629144333353827,0.8937270565397212,-0.008,0.0029877639051458793,0.009177527162878493
Adult Income,sex,race,LearningFairRepresentations,DecisionTreeClassifier,0.7543060113117621,1.0431943714744771,0.0032,-0.004771968613170335,-0.002903178074100718
Adult Income,race,sex,LearningFairRepresentations,DecisionTreeClassifier,0.7482856613089577,1.0372025427729576,0.0027,-0.007596695469489129,-0.0010450631456457582
Adult Income,sex,sex,LearningFairRepresentations,DecisionTreeClassifier,0.7473049509718312,1.00226459511724,0.0002,0.009455934501582719,-0.0008938340134130585
