Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
COMPAS,race,NA,NA,LogisticRegression,0.96875,0.99660805,-0.0012371
COMPAS,sex,NA,NA,LogisticRegression,0.969212962962963,0.93500528,-0.02384137
COMPAS,race,race,Massaging,LogisticRegression,0.937037037037037,1.00591083,0.00219794
COMPAS,sex,race,Massaging,LogisticRegression,0.9393518518518519,0.98720843,-0.00476388
COMPAS,race,sex,Massaging,LogisticRegression,0.9701388888888889,0.99438165,-0.00203842
COMPAS,sex,sex,Massaging,LogisticRegression,0.9724537037037037,1.03291635,0.01179772
COMPAS,race,race,Reweighing,LogisticRegression,0.9701388888888889,0.97601969,-0.00879164
COMPAS,sex,race,Reweighing,LogisticRegression,0.9733796296296298,0.9154142,-0.03129861
COMPAS,race,sex,Reweighing,LogisticRegression,0.9699074074074074,0.97369752,-0.00959296
COMPAS,sex,sex,Reweighing,LogisticRegression,0.9736111111111111,1.01234066,0.00449223
COMPAS,race,race,DisparateImpactRemover,LogisticRegression,0.9710648148148149,1.03714256,0.01314031
COMPAS,sex,race,DisparateImpactRemover,LogisticRegression,0.9703703703703704,1.04675979,0.01634768
COMPAS,race,sex,DisparateImpactRemover,LogisticRegression,0.9733796296296298,0.96608314,-0.01257972
COMPAS,sex,sex,DisparateImpactRemover,LogisticRegression,0.9706018518518519,0.9562294,-0.0159333
COMPAS,race,race,LearningFairRepresentations,LogisticRegression,1.0,1.03853844,0.01361582
COMPAS,sex,race,LearningFairRepresentations,LogisticRegression,1.0,0.98522411,-0.00532251
COMPAS,race,sex,LearningFairRepresentations,LogisticRegression,1.0,1.00596957,0.00217153
COMPAS,sex,sex,LearningFairRepresentations,LogisticRegression,1.0,0.97172789,-0.01032551
