Dataset,Protected Attribute,Intervention Attribute,Algorithm,Classifier,Accuracy,Disparate Impact,Discrimination Score
Adult Income,race,NA,NA,LogisticRegression,0.8050338167160049,1.00183282,0.00022055
Adult Income,sex,NA,NA,LogisticRegression,0.8048239172199807,1.01474309,0.00179897
Adult Income,race,race,Massaging,LogisticRegression,0.7694246925817525,0.96277623,-0.00274346
Adult Income,sex,race,Massaging,LogisticRegression,0.7698446580821273,1.03905726,0.00291673
Adult Income,race,sex,Massaging,LogisticRegression,0.7588648110348758,0.9840691,-0.00011132
Adult Income,sex,sex,Massaging,LogisticRegression,0.7573948305285005,0.89805126,-0.00062248
Adult Income,race,race,Reweighing,LogisticRegression,0.8026940372153311,1.04551382,0.00546465
Adult Income,sex,race,Reweighing,LogisticRegression,0.8041037822096294,1.02320222,0.00277596
Adult Income,race,sex,Reweighing,LogisticRegression,0.8029339172105301,0.97660924,-0.00283137
Adult Income,sex,sex,Reweighing,LogisticRegression,0.8045239907221561,1.00013382,1.564e-05
Adult Income,race,race,DisparateImpactRemover,LogisticRegression,0.8043439772205809,1.03740768,0.00448955
Adult Income,sex,race,DisparateImpactRemover,LogisticRegression,0.8033539142124801,1.02306808,0.00283503
Adult Income,race,sex,DisparateImpactRemover,LogisticRegression,0.8030538347070045,0.9859107,-0.00171237
Adult Income,sex,sex,DisparateImpactRemover,LogisticRegression,0.8032337897056543,0.97593413,-0.00294484
Adult Income,race,race,LearningFairRepresentations,LogisticRegression,0.999400016497825,1.08809069,0.00149244
Adult Income,sex,race,LearningFairRepresentations,LogisticRegression,0.99937001799775,1.04853173,0.00081451
Adult Income,race,sex,LearningFairRepresentations,LogisticRegression,0.999760007499175,0.81371284,-0.00010048
Adult Income,sex,sex,LearningFairRepresentations,LogisticRegression,0.9996699984982749,0.64303548,-0.00021237
