dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,roc_curve,auc,sensitivity,specificity
Adult Income,race,NA,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.1204,0.8524,0.5209,0.9558,0.9568,0.5209,1.0,"[3366, 242, 604, 550]",0.8223,0.5653,0.4766,0.6944,0.4713,"[[0.0, 0.06707317073170732, 1.0], [0.0, 0.47660311958405543, 1.0], [inf, 1.0, 0.0]]",0.7048,0.4766,0.9329
Adult Income,race,NA,Validation,Surrogate,SVC,Asian-Pac-Islander,1.5263,0.9138,1.1479,1.0386,0.9611,0.8463,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,Black,0.3073,0.8767,0.883,0.9381,0.9388,0.8813,0.9999,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,Other,0.2917,0.8815,0.7222,0.9608,0.962,0.7222,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,White,1.9132,0.9148,1.0457,1.0426,0.9572,0.9531,0.9999,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.0,0.6795,0.2945,0.8035,0.8035,0.2944,1.0,"[2907, 701, 344, 810]",0.7806,0.6079,0.7019,0.5361,0.4673,"[[0.0, 0.19429046563192906, 1.0], [0.0, 0.7019064124783362, 1.0], [inf, 1.0, 0.0]]",0.7538,0.7019,0.8057
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.2737,0.7643,0.4824,0.8468,0.8489,0.4801,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Black,0.2713,0.7516,0.7382,0.8301,0.8296,0.7402,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Other,0.4975,0.8399,0.8976,0.8892,0.8929,0.8977,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,White,3.991,0.7335,1.3975,1.1804,0.8202,0.6011,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.1804,0.8164,0.5553,0.9198,0.921,0.5683,0.9999,"[3238, 370, 466, 688]",0.8244,0.6221,0.5962,0.6503,0.5088,"[[0.0, 0.10254988913525499, 1.0], [0.0, 0.5961871750433275, 1.0], [inf, 1.0, 0.0]]",0.7468,0.5962,0.8975
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.222,0.951,0.9992,1.0396,0.9584,0.9961,0.9998,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Black,0.4017,0.8591,0.8943,0.9305,0.9299,0.8894,0.9994,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Other,0.2182,0.8252,0.602,0.9249,0.9262,0.6021,0.9999,,,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,White,1.8913,0.8877,1.1078,1.0545,0.9459,0.8941,0.9994,,,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.095,0.8075,0.4044,0.9339,0.935,0.4042,1.0,"[3288, 320, 470, 684]",0.8341,0.6339,0.5927,0.6813,0.5295,"[[0.0, 0.08869179600886919, 1.0], [0.0, 0.5927209705372617, 1.0], [inf, 1.0, 0.0]]",0.752,0.5927,0.9113
Adult Income,race,NA,Validation,Test,XGBClassifier,Asian-Pac-Islander,1.3239,0.9324,1.0273,1.0539,0.9442,0.9666,0.9999,,,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,Black,0.4144,0.8693,0.9159,0.9393,0.9399,0.9122,0.9998,,,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,Other,0.3454,0.8613,0.8065,0.9389,0.9401,0.8064,1.0,,,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,White,1.7865,0.9009,1.0845,1.0419,0.9582,0.9187,0.9998,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.403,0.9055,0.7199,0.993,0.9953,0.72,1.0,"[3411, 197, 602, 553]",0.8322,0.5806,0.4788,0.7373,0.4991,"[[0.0, 0.05460088691796009, 1.0], [0.0, 0.47878787878787876, 1.0], [inf, 1.0, 0.0]]",0.7121,0.4788,0.9454
Adult Income,race,NA,Test,Surrogate,SVC,Asian-Pac-Islander,1.4279,0.9335,1.1356,1.0233,0.9778,0.8586,0.9999,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,Black,0.2988,0.8817,0.8175,0.9561,0.9556,0.8159,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,Other,0.3083,0.8905,0.9207,0.9448,0.9449,0.9209,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,White,1.9216,0.9189,1.0668,1.0316,0.968,0.9342,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.0,0.6904,0.3032,0.815,0.815,0.3035,1.0,"[2948, 660, 354, 801]",0.7871,0.6124,0.6935,0.5483,0.4745,"[[0.0, 0.18292682926829268, 1.0], [0.0, 0.6935064935064935, 1.0], [inf, 1.0, 0.0]]",0.7553,0.6935,0.8171
Adult Income,race,NA,Test,Surrogate,GaussianNB,Asian-Pac-Islander,0.2428,0.7623,0.5219,0.8304,0.8312,0.5211,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,Black,0.241,0.749,0.6094,0.8455,0.8452,0.6089,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,Other,0.3958,0.8138,0.9061,0.8723,0.8747,0.9061,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,White,4.5361,0.7309,1.4482,1.1724,0.8276,0.5514,1.0,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.6813,0.9353,1.0528,0.9792,0.9828,0.947,0.9998,"[3276, 332, 523, 632]",0.8205,0.5965,0.5472,0.6556,0.4855,"[[0.0, 0.09201773835920177, 1.0], [0.0, 0.5471861471861472, 1.0], [inf, 1.0, 0.0]]",0.7276,0.5472,0.908
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.0653,0.9868,0.9385,1.0222,0.9771,0.9379,0.9996,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Black,0.4211,0.876,0.9326,0.9356,0.9361,0.9316,0.9997,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Other,0.4801,0.8943,1.0528,0.9356,0.9368,0.947,0.9998,,,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,White,1.8002,0.9039,1.0571,1.0476,0.9524,0.9428,0.9998,,,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.5208,0.9021,1.0043,0.9694,0.9718,0.9957,0.9998,"[3327, 281, 467, 688]",0.843,0.6478,0.5957,0.71,0.5513,"[[0.0, 0.07788248337028825, 1.0], [0.0, 0.5956709956709957, 1.0], [inf, 1.0, 0.0]]",0.7589,0.5957,0.9221
Adult Income,race,NA,Test,Test,XGBClassifier,Asian-Pac-Islander,1.28,0.9435,0.9643,1.065,0.933,0.9673,0.9997,,,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,Black,0.3234,0.8529,0.8017,0.938,0.9379,0.8056,0.9998,,,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,Other,0.4777,0.8933,1.2051,0.9214,0.9214,0.7948,0.9998,,,,,,,,,,
