dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.362,0.8932,0.7096,0.9683,0.9706,0.7224,0.9999,"[3327, 281, 643, 511]",0.806,0.5252,0.4428,0.6452,0.4199,0.4428,0.9221
Adult Income,race,NA,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,0.7056,0.9506,0.8249,0.9807,0.9786,0.8262,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,LogisticRegression,Black,0.3251,0.88,0.8637,0.938,0.9379,0.8596,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,LogisticRegression,Other,0.2917,0.8815,0.7562,0.9499,0.9511,0.7561,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,LogisticRegression,White,2.5946,0.8879,1.1764,1.0555,0.9443,0.824,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.2546,0.8817,0.533,0.9871,0.9894,0.5331,1.0,"[3394, 214, 618, 536]",0.8253,0.563,0.4645,0.7147,0.4766,0.4645,0.9407
Adult Income,race,NA,Validation,Surrogate,SVC,Asian-Pac-Islander,1.3291,0.9487,1.0366,1.0373,0.963,0.9632,0.9999,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,Black,0.3701,0.8945,0.8407,0.9643,0.9644,0.8369,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,Other,0.6177,0.9396,0.9354,0.997,0.9995,0.9352,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,SVC,White,1.8039,0.925,1.1066,1.0196,0.9809,0.8937,1.0,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.0,0.6865,0.2953,0.8124,0.8124,0.2953,0.9999,"[2939, 669, 345, 809]",0.7871,0.6147,0.701,0.5474,0.4776,0.701,0.8146
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.1343,0.724,0.434,0.809,0.809,0.4292,0.9999,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Black,0.2388,0.7453,0.6838,0.8307,0.8312,0.6839,0.9999,,,,,,,,
