dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3485,0.8607,0.3241,0.0634,0.9386,0.6909,0.9393,"[6470, 729, 1030, 1295]",0.8153,0.5955,0.557,0.6398,0.4785,0.557,0.8987
,,,,Asian-Pac-Islander,1.3598,0.9244,-0.0408,-0.0324,0.966,0.9593,0.9393,,,,,,,,
,,,,Black,0.424,0.8704,0.0975,0.06,0.94,0.9054,0.9391,,,,,,,,
,,,,Other,0.2636,0.8427,0.3077,0.0569,0.9451,0.6925,0.9392,,,,,,,,
,,,,White,1.6806,0.9086,-0.0562,-0.0459,0.9539,0.9419,0.9391,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2945,0.8038,0.1357,0.1046,0.8954,0.8658,0.9361,"[6462, 737, 1027, 1298]",0.8148,0.5954,0.5583,0.6378,0.4778,0.5583,0.8976
,,,,Male,3.3956,0.8038,-0.1357,-0.1046,0.8954,0.8658,0.9361,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.7565,0.9589,0.1745,-0.0054,0.9905,0.8439,0.9465,"[6683, 516, 1238, 1087]",0.8158,0.5535,0.4675,0.6781,0.4545,0.4675,0.9283
,,,,Asian-Pac-Islander,1.5544,0.9083,-0.0838,-0.0432,0.956,0.9186,0.9464,,,,,,,,
,,,,Black,0.4131,0.8953,0.0801,0.0437,0.9566,0.9193,0.9459,,,,,,,,
,,,,Other,0.1666,0.8589,0.2178,0.0573,0.9434,0.7821,0.9463,,,,,,,,
,,,,White,1.5431,0.9376,-0.0181,-0.0263,0.9736,0.9816,0.9461,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.8586,0.9819,-0.0092,-0.0169,0.9848,0.9865,0.9671,"[10278, 512, 2184, 1313]",0.8113,0.4934,0.3755,0.7195,0.4225,0.3755,0.9525
,,,,Asian-Pac-Islander,1.0902,0.9885,0.0225,-0.0092,0.9913,0.9741,0.9673,,,,,,,,
,,,,Black,0.3741,0.915,0.1066,0.034,0.9659,0.8902,0.9665,,,,,,,,
