dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,,RandomForestClassifier,Amer-Indian-Eskimo,0.3137,0.8525,0.3173,0.0748,0.9267,0.6981,0.9396,"[6465, 734, 1034, 1291]",0.8149,0.5955,0.5582,0.6382,0.478,0.5582,0.8978
,,,,Asian-Pac-Islander,1.3125,0.934,-0.0429,-0.0171,0.982,0.957,0.9397,,,,,,,,
,,,,Black,0.4454,0.8749,0.0841,0.0571,0.943,0.9151,0.9395,,,,,,,,
,,,,Other,0.2515,0.8394,0.2587,0.0634,0.9384,0.7414,0.9395,,,,,,,,
,,,,White,1.6838,0.9079,-0.0492,-0.0483,0.9516,0.9493,0.9398,,,,,,,,
Adult Income,sex,,RandomForestClassifier,Female,0.2914,0.8022,0.1366,0.1062,0.8938,0.8642,0.9356,"[6452, 747, 1023, 1302]",0.8148,0.596,0.5595,0.6375,0.4782,0.5595,0.8973
,,,,Male,3.4325,0.8022,-0.1366,-0.1062,0.8938,0.8642,0.9356,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.6121,0.9357,0.2334,-0.0019,0.9917,0.781,0.9472,"[6711, 488, 1279, 1046]",0.8159,0.5502,0.4612,0.6819,0.4532,0.4612,0.9305
,,,,Asian-Pac-Islander,1.5071,0.9177,-0.0685,-0.0371,0.9626,0.9323,0.9471,,,,,,,,
,,,,Black,0.4443,0.903,0.0711,0.037,0.9631,0.9286,0.947,,,,,,,,
,,,,Other,0.1892,0.8654,0.2032,0.0521,0.9488,0.7944,0.9471,,,,,,,,
,,,,White,1.5315,0.9397,-0.0242,-0.0228,0.9772,0.9743,0.9472,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.8586,0.9819,-0.0092,-0.0169,0.9848,0.9865,0.9671,"[10278, 512, 2184, 1313]",0.8113,0.4934,0.3755,0.7195,0.4225,0.3755,0.9525
,,,,Asian-Pac-Islander,1.0902,0.9885,0.0225,-0.0092,0.9913,0.9741,0.9673,,,,,,,,
,,,,Black,0.3741,0.915,0.1066,0.034,0.9659,0.8902,0.9665,,,,,,,,
,,,,Other,0.2809,0.9076,0.2765,0.0202,0.9812,0.7665,0.9668,,,,,,,,
,,,,White,1.9161,0.9345,-0.0803,-0.0232,0.9767,0.9174,0.9666,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4698,0.8861,0.3417,0.0298,0.9741,0.6722,0.9501,"[6452, 747, 1012, 1313]",0.8162,0.5984,0.5609,0.6413,0.4818,0.5609,0.8986
,,,,Asian-Pac-Islander,1.3264,0.9312,-0.0384,-0.023,0.9758,0.9614,0.9499,,,,,,,,
,,,,Black,0.4712,0.881,0.088,0.0492,0.9512,0.9116,0.9502,,,,,,,,
,,,,Other,0.311,0.8521,0.2197,0.0515,0.9508,0.7803,0.9499,,,,,,,,
,,,,White,1.5867,0.9166,-0.0544,-0.0368,0.9633,0.9441,0.9501,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.5484,0.8914,0.1607,0.0391,0.9554,0.8777,0.9643,"[9543, 1247, 1323, 2174]",0.8201,0.6285,0.6217,0.6355,0.5099,0.6217,0.8844
,,,,Asian-Pac-Islander,0.947,0.9873,0.075,0.0126,0.986,0.9316,0.9643,,,,,,,,
,,,,Black,0.457,0.863,0.1368,0.0641,0.9363,0.8629,0.9643,,,,,,,,
,,,,Other,0.4507,0.8679,0.2222,0.0475,0.9513,0.8061,0.9641,,,,,,,,
,,,,White,1.8357,0.8835,-0.1197,-0.0569,0.9435,0.8794,0.9642,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4764,0.8826,0.3265,0.0401,0.9638,0.689,0.9556,"[6411, 788, 974, 1351]",0.8118,0.5971,0.5714,0.6252,0.4754,0.5714,0.8894
,,,,Asian-Pac-Islander,1.2982,0.9341,-0.054,-0.0101,0.9873,0.9447,0.9555,,,,,,,,
,,,,Black,0.41,0.8604,0.1064,0.0696,0.9304,0.894,0.9554,,,,,,,,
,,,,Other,0.2469,0.8311,0.3052,0.0684,0.9336,0.6948,0.9556,,,,,,,,
,,,,White,1.7317,0.8997,-0.0562,-0.0566,0.9433,0.9429,0.9553,,,,,,,,
Adult Income,race,DisparateImpactRemover,XGBClassifier,Amer-Indian-Eskimo,0.3065,0.8509,0.352,0.0694,0.9317,0.6949,0.9612,"[9772, 1018, 1464, 2033]",0.8263,0.621,0.5814,0.6663,0.5109,0.5814,0.9057
,,,,Asian-Pac-Islander,1.0986,0.979,0.0332,-0.0188,0.982,0.9734,0.9613,,,,,,,,
,,,,Black,0.4558,0.8775,0.1366,0.0498,0.9506,0.8637,0.9608,,,,,,,,
,,,,Other,0.2801,0.8453,0.2824,0.0675,0.9338,0.7032,0.961,,,,,,,,
,,,,White,1.8196,0.8973,-0.1186,-0.0428,0.9575,0.8798,0.9607,,,,,,,,
Adult Income,race,DisparateImpactRemover,RandomForestClassifier,Amer-Indian-Eskimo,0.4886,0.9013,0.2544,0.0312,0.9718,0.7624,0.9467,"[6557, 642, 1083, 1242]",0.8173,0.5811,0.5193,0.6598,0.4719,0.5193,0.9135
,,,,Asian-Pac-Islander,1.6478,0.8781,-0.1275,-0.0586,0.9395,0.8703,0.9464,,,,,,,,
,,,,Black,0.4513,0.8887,0.0551,0.0486,0.9512,0.9455,0.9466,,,,,,,,
,,,,Other,0.343,0.8731,0.0694,0.0436,0.9584,0.9306,0.9466,,,,,,,,
,,,,White,1.4528,0.9374,0.0143,-0.029,0.971,0.9844,0.9465,,,,,,,,
