dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,Female_0.0_a_train_set_,Female_0.0_b_predicted_set_,Female_0.0_c_predictions_set_,Female_1.0_a_train_set_,Female_1.0_b_predicted_set_,Female_1.0_c_predictions_set_,Male_0.0_a_train_set_,Male_0.0_b_predicted_set_,Male_0.0_c_predictions_set_,Male_1.0_a_train_set_,Male_1.0_b_predicted_set_,Male_1.0_c_predictions_set_
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,SVC,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,GaussianNB,0.1088,0.1100,0.1300,0.2013,0.2000,0.1800,0.1912,0.1900,0.2700,0.4988,0.5000,0.4200
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,NA,NA,Validation,0,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.1400,0.4988,0.5000,0.5500
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1200,0.4988,0.5000,0.5700
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1400,0.4988,0.5000,0.5500
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,GaussianNB,0.1088,0.1100,0.1500,0.2013,0.2000,0.1600,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.2100,0.4988,0.5000,0.4800
German Credit,Attribute9,NA,NA,Test,0,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.2000,0.4988,0.5000,0.4900
