dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,,RandomForestClassifier,Amer-Indian-Eskimo,0.3085,0.8513,0.3129,0.0773,0.9241,0.7026,0.9397,"[6451, 748, 1026, 1299]",0.8145,0.5949,0.5578,0.6372,0.4771,0.5578,0.8974
,,,,Asian-Pac-Islander,1.3149,0.9334,-0.044,-0.0175,0.9815,0.9559,0.9398,,,,,,,,
,,,,Black,0.4412,0.8738,0.0895,0.0578,0.9423,0.9108,0.9395,,,,,,,,
,,,,Other,0.2448,0.8377,0.2583,0.0653,0.9364,0.7417,0.9396,,,,,,,,
,,,,White,1.6916,0.9072,-0.0505,-0.0492,0.9508,0.948,0.9398,,,,,,,,
Adult Income,sex,,RandomForestClassifier,Female,0.293,0.8029,0.1363,0.1056,0.8944,0.8647,0.9356,"[6439, 760, 1014, 1311]",0.8145,0.5951,0.5585,0.6368,0.4772,0.5585,0.8971
,,,,Male,3.4144,0.8029,-0.1363,-0.1056,0.8944,0.8647,0.9356,,,,,,,,
Adult Income,race,LearningFairRepresentations,RandomForestClassifier,Amer-Indian-Eskimo,inf,0.9616,-0.0016,-0.0118,0.958,0.9711,0.9893,"[2712, 4487, 1556, 769]",0.7306,0.0524,0.0533,0.0817,0.0012,0.0533,0.9493
,,,,Asian-Pac-Islander,1.2706,0.9805,-0.019,-0.0138,0.9816,0.9787,0.9892,,,,,,,,
,,,,Black,0.9171,0.986,0.0044,0.002,0.9899,0.988,0.9891,,,,,,,,
,,,,Other,1.3201,0.9788,-0.0468,-0.0035,0.9852,0.9452,0.9892,,,,,,,,
,,,,White,inf,0.9916,0.0077,0.0024,0.9934,0.9897,0.9891,,,,,,,,
