dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.0919,0.7965,0.4919,0.0991,0.9014,0.5156,1.0,"[6423, 792, 986, 1323]",0.8133,0.5981,0.573,0.6255,0.4776,0.573,0.8902
,,,,Asian-Pac-Islander,0.9649,0.9922,0.0017,0.0332,0.9658,0.9979,0.9999,,,,,,,,
,,,,Black,0.3782,0.8532,0.1414,0.0812,0.9194,0.8556,0.9999,,,,,,,,
,,,,Other,0.0536,0.7881,0.4495,0.1109,0.8891,0.5505,1.0,,,,,,,,
,,,,White,2.2636,0.8653,-0.1265,-0.0823,0.9179,0.8735,0.9998,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2895,0.7958,0.117,0.1155,0.8848,0.8829,1.0,"[6439, 776, 989, 1320]",0.8147,0.5993,0.5717,0.6298,0.4801,0.5717,0.8924
,,,,Male,3.4543,0.7958,-0.117,-0.1155,0.8848,0.8829,1.0,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.2796,0.8405,0.3961,0.0645,0.9378,0.6191,0.9999,"[6415, 800, 1014, 1295]",0.8095,0.5881,0.5608,0.6181,0.4655,0.5608,0.8891
,,,,Asian-Pac-Islander,1.0209,0.9954,-0.0235,0.0248,0.9745,0.9724,0.9998,,,,,,,,
,,,,Black,0.4243,0.8661,0.1112,0.0717,0.928,0.8864,0.9998,,,,,,,,
,,,,Other,0.0541,0.7903,0.4375,0.112,0.888,0.5626,0.9999,,,,,,,,
,,,,White,2.0,0.8815,-0.0938,-0.0709,0.9291,0.9074,0.9999,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.277,0.7847,0.209,0.1561,0.8451,0.7507,1.0,"[8933, 1940, 1130, 2284]",0.7851,0.5981,0.669,0.5407,0.4585,0.669,0.8216
,,,,Asian-Pac-Islander,0.8073,0.9427,0.0387,0.0714,0.9296,0.9593,1.0,,,,,,,,
,,,,Black,0.5899,0.8738,0.1291,0.05,0.9497,0.8729,1.0,,,,,,,,
,,,,Other,0.5753,0.874,0.0331,0.0806,0.9198,0.9558,1.0,,,,,,,,
,,,,White,1.6891,0.8719,-0.1066,-0.0698,0.9302,0.8951,1.0,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.3374,0.8582,0.3882,0.0453,0.9576,0.627,1.0,"[6467, 748, 1032, 1277]",0.8131,0.5893,0.5531,0.6306,0.4707,0.5531,0.8963
,,,,Asian-Pac-Islander,1.1057,0.9776,-0.0439,0.008,0.9918,0.9514,0.9999,,,,,,,,
,,,,Black,0.449,0.8763,0.1029,0.0621,0.9376,0.8946,0.9999,,,,,,,,
,,,,Other,0.2252,0.8342,0.4296,0.0643,0.938,0.5705,1.0,,,,,,,,
,,,,White,1.8339,0.8966,-0.0803,-0.0554,0.9448,0.9211,1.0,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.3533,0.849,0.1269,0.0973,0.9038,0.8329,1.0,"[9564, 1309, 1409, 2005]",0.8098,0.596,0.5873,0.605,0.4717,0.5873,0.8796
,,,,Asian-Pac-Islander,0.9488,0.9881,0.0219,0.016,0.9831,0.9864,0.9999,,,,,,,,
,,,,Black,0.4323,0.8608,0.1198,0.07,0.93,0.8851,0.9999,,,,,,,,
,,,,Other,0.4189,0.8646,0.1334,0.0788,0.9284,0.8495,1.0,,,,,,,,
,,,,White,1.9356,0.8795,-0.0902,-0.0676,0.9328,0.9116,0.9998,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.2776,0.8121,0.3551,0.117,0.8859,0.66,1.0,"[5956, 1259, 1108, 1201]",0.7515,0.5037,0.5201,0.4882,0.3384,0.5201,0.8255
,,,,Asian-Pac-Islander,0.839,0.9582,-0.0037,0.0762,0.9238,0.995,1.0,,,,,,,,
,,,,Black,0.3667,0.8259,0.1024,0.1377,0.8623,0.9023,1.0,,,,,,,,
,,,,Other,0.5577,0.8853,0.2711,0.0549,0.9518,0.7289,1.0,,,,,,,,
,,,,White,2.2236,0.8457,-0.0829,-0.1289,0.8709,0.9164,0.9999,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.3861,0.8361,-0.004,0.1463,0.8512,0.9917,1.0,"[8907, 1966, 1589, 1825]",0.7512,0.5066,0.5346,0.4814,0.3417,0.5346,0.8192
,,,,Asian-Pac-Islander,0.7757,0.9401,0.0083,0.0829,0.9176,0.993,0.9998,,,,,,,,
,,,,Black,0.7365,0.9283,0.1122,0.0112,0.9891,0.887,0.9999,,,,,,,,
,,,,Other,0.5954,0.8923,0.3544,0.0261,0.9774,0.6513,1.0,,,,,,,,
,,,,White,1.4381,0.9155,-0.0846,-0.0396,0.9608,0.9146,0.9999,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.305,0.8355,0.4571,0.0681,0.9353,0.5504,0.9999,"[6219, 996, 1066, 1243]",0.7835,0.5466,0.5383,0.5552,0.4045,0.5383,0.862
,,,,Asian-Pac-Islander,1.0691,0.9838,-0.0712,0.0293,0.9711,0.9232,0.9998,,,,,,,,
,,,,Black,0.5248,0.883,0.1049,0.0615,0.9388,0.8921,0.9997,,,,,,,,
,,,,Other,0.3057,0.8358,0.4147,0.0721,0.9317,0.5852,0.9999,,,,,,,,
,,,,White,1.6906,0.898,-0.0736,-0.061,0.9391,0.927,0.9998,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.3315,0.8336,0.0928,0.1164,0.8811,0.8668,1.0,"[9229, 1644, 1524, 1890]",0.7783,0.544,0.5536,0.5348,0.3977,0.5536,0.8488
,,,,Asian-Pac-Islander,0.9564,0.9892,-0.0398,0.0342,0.9671,0.9597,0.9998,,,,,,,,
,,,,Black,0.6564,0.9121,0.0848,0.026,0.9738,0.9137,0.9999,,,,,,,,
,,,,Other,0.6389,0.9104,0.0083,0.0672,0.9373,0.9911,0.9999,,,,,,,,
,,,,White,1.4716,0.9169,-0.0426,-0.0402,0.96,0.9595,0.9998,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.3203,0.8468,0.4131,0.0525,0.9504,0.6022,1.0,"[6416, 799, 975, 1334]",0.8137,0.6006,0.5777,0.6254,0.4801,0.5777,0.8893
,,,,Asian-Pac-Islander,1.0783,0.9825,-0.0673,0.02,0.9796,0.9381,0.9999,,,,,,,,
,,,,Black,0.3793,0.8522,0.1461,0.0797,0.9197,0.8506,0.9999,,,,,,,,
,,,,Other,0.1068,0.7984,0.4545,0.0984,0.9024,0.5457,1.0,,,,,,,,
,,,,White,2.0526,0.876,-0.1023,-0.0737,0.9262,0.8989,0.9999,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.55,0.9072,0.0469,0.0383,0.9639,0.941,1.0,"[9937, 936, 1417, 1997]",0.8353,0.6293,0.5849,0.6809,0.5267,0.5849,0.9139
,,,,Asian-Pac-Islander,1.2261,0.9539,-0.0754,-0.0327,0.969,0.9252,0.9999,,,,,,,,
,,,,Black,0.4203,0.8741,0.1177,0.0488,0.9509,0.8809,1.0,,,,,,,,
,,,,Other,0.4733,0.8914,0.0399,0.0584,0.9431,0.9147,1.0,,,,,,,,
,,,,White,1.7143,0.909,-0.0461,-0.0356,0.9641,0.9543,0.9999,,,,,,,,
Adult Income,sex,Massaging,RandomForestClassifier,Female,0.3299,0.8582,0.0046,0.1153,0.8849,0.9947,1.0,"[6432, 783, 1522, 787]",0.758,0.4058,0.3408,0.5013,0.2683,0.3408,0.8915
,,,,Male,3.0315,0.8582,-0.0046,-0.1153,0.8849,0.9947,1.0,,,,,,,,
Adult Income,sex,Massaging,XGBClassifier,Female,0.5197,0.9023,-0.1829,0.0805,0.9195,0.8178,0.9999,"[9766, 1107, 2075, 1339]",0.7773,0.457,0.3922,0.5474,0.3288,0.3922,0.8982
,,,,Male,1.9243,0.9023,0.1829,-0.0805,0.9195,0.8178,0.9999,,,,,,,,
Adult Income,sex,Massaging,RandomForestClassifier,Female,0.2916,0.795,0.1171,0.1142,0.8857,0.8833,1.0,"[6441, 774, 969, 1340]",0.817,0.6059,0.5803,0.6339,0.4878,0.5803,0.8927
,,,,Male,3.4289,0.795,-0.1171,-0.1142,0.8857,0.8833,1.0,,,,,,,,
Adult Income,sex,Massaging,XGBClassifier,Female,0.2965,0.8142,0.1248,0.0886,0.9114,0.876,0.9999,"[9948, 925, 1441, 1973]",0.8344,0.6252,0.5779,0.6808,0.5227,0.5779,0.9149
,,,,Male,3.3729,0.8142,-0.1248,-0.0886,0.9114,0.876,0.9999,,,,,,,,
