dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3918,0.8679,0.2731,0.0654,0.9366,0.7452,0.9398,"[6456, 743, 1010, 1315]",0.8159,0.6,0.5656,0.639,0.4826,0.5656,0.8968
,,,,Asian-Pac-Islander,1.3207,0.9314,-0.0519,-0.0158,0.9833,0.9471,0.94,,,,,,,,
,,,,Black,0.4596,0.8768,0.0689,0.0556,0.9446,0.9263,0.939,,,,,,,,
,,,,Other,0.1297,0.8108,0.3163,0.0891,0.9116,0.6839,0.9398,,,,,,,,
,,,,White,1.647,0.91,-0.0375,-0.0482,0.9515,0.9619,0.9393,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2985,0.8052,0.138,0.1025,0.8973,0.8633,0.9356,"[6460, 739, 1029, 1296]",0.8144,0.5945,0.5574,0.6369,0.4766,0.5574,0.8973
,,,,Male,3.3498,0.8052,-0.138,-0.1025,0.8973,0.8633,0.9356,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.7255,0.9638,0.0788,0.0026,0.9998,0.9396,0.9611,"[6811, 388, 1459, 866]",0.8061,0.4839,0.3725,0.6906,0.4047,0.3725,0.9461
,,,,Asian-Pac-Islander,1.8573,0.8901,-0.1032,-0.0665,0.9326,0.8932,0.9606,,,,,,,,
,,,,Black,0.4397,0.922,0.0949,0.0251,0.9753,0.9091,0.9608,,,,,,,,
,,,,Other,0.213,0.8958,0.1226,0.0393,0.9614,0.8773,0.961,,,,,,,,
,,,,White,1.3659,0.9633,-0.0024,-0.0072,0.9926,0.9978,0.9603,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.9501,0.9925,-0.0319,-0.0303,0.9702,0.9294,0.967,"[10145, 645, 1994, 1503]",0.8153,0.5325,0.4298,0.6997,0.4451,0.4298,0.9402
,,,,Asian-Pac-Islander,1.1793,0.9732,0.003,-0.0207,0.9769,0.9975,0.9668,,,,,,,,
,,,,Black,0.4053,0.9052,0.1129,0.0383,0.9617,0.8865,0.9665,,,,,,,,
,,,,Other,0.4788,0.9213,0.0299,0.0326,0.9687,0.9988,0.9667,,,,,,,,
,,,,White,1.695,0.9346,-0.0628,-0.023,0.9768,0.9387,0.9667,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.5973,0.9139,0.2271,0.0311,0.9724,0.7951,0.9528,"[6516, 683, 980, 1345]",0.8254,0.618,0.5785,0.6632,0.5075,0.5785,0.9051
,,,,Asian-Pac-Islander,1.6587,0.8626,-0.1189,-0.0829,0.9185,0.8762,0.9526,,,,,,,,
,,,,Black,0.3803,0.8597,0.1583,0.0594,0.9402,0.843,0.9525,,,,,,,,
,,,,Other,0.4614,0.8849,-0.1718,0.0355,0.9673,0.8282,0.9527,,,,,,,,
,,,,White,1.5356,0.9218,-0.0327,-0.0322,0.9677,0.9675,0.9522,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.6854,0.9344,0.0455,0.0093,0.9942,0.9715,0.9668,"[9861, 929, 1455, 2042]",0.8331,0.6314,0.5839,0.6873,0.5274,0.5839,0.9139
,,,,Asian-Pac-Islander,1.2816,0.9419,-0.0647,-0.0274,0.9702,0.9321,0.967,,,,,,,,
,,,,Black,0.4284,0.8743,0.1562,0.0488,0.9512,0.8431,0.9671,,,,,,,,
,,,,Other,0.5774,0.9118,0.0841,0.0177,0.981,0.9157,0.9668,,,,,,,,
,,,,White,1.6364,0.9144,-0.0682,-0.0312,0.9687,0.9311,0.9668,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.6445,0.9237,0.2447,0.0199,0.985,0.7737,0.9468,"[6411, 788, 1076, 1249]",0.8043,0.5727,0.5372,0.6132,0.4481,0.5372,0.8905
,,,,Asian-Pac-Islander,1.3666,0.9225,-0.0618,-0.0288,0.9693,0.9386,0.9462,,,,,,,,
,,,,Black,0.3687,0.8562,0.201,0.0665,0.9334,0.7965,0.946,,,,,,,,
,,,,Other,0.3934,0.8697,0.2875,0.0351,0.9684,0.7123,0.9463,,,,,,,,
,,,,White,1.7224,0.9045,-0.0951,-0.0467,0.9534,0.9045,0.946,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.603,0.9204,0.0909,0.009,0.9855,0.8919,0.9626,"[9865, 925, 1567, 1930]",0.8256,0.6077,0.5519,0.676,0.5012,0.5519,0.9143
,,,,Asian-Pac-Islander,1.2297,0.9544,-0.0347,-0.0278,0.9698,0.9697,0.9627,,,,,,,,
,,,,Black,0.4309,0.8798,0.1142,0.0537,0.9469,0.8829,0.9624,,,,,,,,
,,,,Other,0.4801,0.8956,0.2525,0.0312,0.9717,0.8044,0.9627,,,,,,,,
,,,,White,1.6927,0.9132,-0.0718,-0.0357,0.9642,0.9292,0.9619,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.5304,0.9058,0.2899,0.0185,0.9857,0.7251,0.9477,"[6513, 686, 1109, 1216]",0.8115,0.5753,0.523,0.6393,0.4596,0.523,0.9047
