dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,,RandomForestClassifier,Amer-Indian-Eskimo,0.2955,0.8482,0.3461,0.0737,0.9279,0.6675,0.939,"[6464, 735, 1038, 1287]",0.8147,0.5958,0.5594,0.6373,0.478,0.5594,0.8972
,,,,Asian-Pac-Islander,1.3218,0.9317,-0.045,-0.0194,0.9795,0.9548,0.9391,,,,,,,,
,,,,Black,0.4444,0.8742,0.0783,0.0583,0.9418,0.9194,0.9387,,,,,,,,
,,,,Other,0.1965,0.8268,0.31,0.0736,0.9277,0.69,0.939,,,,,,,,
,,,,White,1.6877,0.9073,-0.0495,-0.0493,0.9506,0.949,0.939,,,,,,,,
Adult Income,sex,,RandomForestClassifier,Female,0.3016,0.8058,0.1194,0.1047,0.8952,0.8809,0.9357,"[6447, 752, 1039, 1286]",0.8141,0.5946,0.5583,0.636,0.4764,0.5583,0.8968
,,,,Male,3.3172,0.8058,-0.1194,-0.1047,0.8952,0.8809,0.9357,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.8764,0.9812,0.0699,-0.015,0.9812,0.9486,0.9612,"[6822, 377, 1539, 786]",0.8042,0.4752,0.3636,0.6866,0.3969,0.3636,0.9465
,,,,Asian-Pac-Islander,1.7662,0.9029,-0.0991,-0.0522,0.9476,0.898,0.9606,,,,,,,,
,,,,Black,0.3956,0.9171,0.0826,0.0327,0.9674,0.9184,0.9609,,,,,,,,
,,,,Other,0.1824,0.8935,0.1137,0.044,0.9565,0.8862,0.961,,,,,,,,
,,,,White,1.4497,0.9584,0.001,-0.0152,0.9848,0.995,0.9605,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.88,0.9808,-0.0255,-0.0224,0.9798,0.9514,0.9666,"[10145, 645, 1994, 1503]",0.8142,0.5347,0.4362,0.6912,0.4436,0.4362,0.9367
,,,,Asian-Pac-Islander,1.1835,0.9718,-0.0072,-0.0171,0.9805,0.9881,0.9664,,,,,,,,
,,,,Black,0.3964,0.9009,0.1281,0.0409,0.9593,0.8718,0.9661,,,,,,,,
,,,,Other,0.4662,0.917,0.0696,0.0362,0.9652,0.9685,0.9663,,,,,,,,
,,,,White,1.7377,0.9302,-0.0699,-0.0265,0.9733,0.9317,0.9663,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.6125,0.917,0.2625,0.0201,0.9841,0.7573,0.9472,"[6504, 695, 1009, 1316]",0.8229,0.6129,0.5743,0.657,0.5007,0.5743,0.9032
,,,,Asian-Pac-Islander,1.5806,0.8784,-0.12,-0.0565,0.9427,0.8754,0.9471,,,,,,,,
,,,,Black,0.4334,0.8721,0.1253,0.0515,0.9486,0.8773,0.9472,,,,,,,,
,,,,Other,0.4165,0.875,-0.009,0.0374,0.9654,0.8945,0.9471,,,,,,,,
,,,,White,1.4927,0.9261,-0.0219,-0.0303,0.9698,0.9787,0.9469,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.5831,0.9137,0.0954,0.0166,0.9835,0.8987,0.964,"[9883, 907, 1464, 2033]",0.8337,0.6316,0.5822,0.6901,0.5284,0.5822,0.9152
,,,,Asian-Pac-Islander,1.2913,0.9404,-0.0748,-0.0288,0.9711,0.9244,0.9641,,,,,,,,
,,,,Black,0.442,0.8784,0.1488,0.0454,0.9547,0.8528,0.9641,,,,,,,,
,,,,Other,0.4642,0.8889,0.216,0.0348,0.9695,0.8218,0.964,,,,,,,,
,,,,White,1.6364,0.915,-0.0696,-0.0309,0.9694,0.9308,0.9638,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.6035,0.9135,0.2612,0.0271,0.9772,0.7573,0.9471,"[6505, 694, 1007, 1318]",0.8093,0.5864,0.5536,0.6237,0.4645,0.5536,0.8919
,,,,Asian-Pac-Islander,1.4357,0.9071,-0.0916,-0.0319,0.9662,0.9064,0.9466,,,,,,,,
,,,,Black,0.3923,0.8599,0.18,0.0624,0.9378,0.8192,0.9467,,,,,,,,
,,,,Other,0.3661,0.862,0.2206,0.0438,0.9592,0.7794,0.9467,,,,,,,,
,,,,White,1.6508,0.9096,-0.0693,-0.0441,0.956,0.9309,0.9466,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.5793,0.9147,0.1007,0.0127,0.9831,0.882,0.9626,"[9883, 907, 1464, 2033]",0.8284,0.6157,0.5617,0.6812,0.5104,0.5617,0.9148
,,,,Asian-Pac-Islander,1.2518,0.9495,-0.0498,-0.0284,0.9704,0.9533,0.9627,,,,,,,,
,,,,Black,0.4369,0.88,0.1245,0.0504,0.9501,0.8745,0.9625,,,,,,,,
,,,,Other,0.4559,0.8896,0.2623,0.0352,0.969,0.7945,0.9627,,,,,,,,
,,,,White,1.6739,0.9139,-0.0713,-0.034,0.966,0.9297,0.962,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.6612,0.9319,0.2169,0.0112,0.9882,0.8028,0.9526,"[6424, 775, 1040, 1285]",0.812,0.5788,0.5292,0.6396,0.4629,0.5292,0.9034
,,,,Asian-Pac-Islander,1.577,0.8853,-0.1135,-0.0583,0.9424,0.8845,0.9523,,,,,,,,
,,,,Black,0.4539,0.8833,0.1099,0.0481,0.9521,0.8913,0.9523,,,,,,,,
,,,,Other,0.4344,0.8862,-0.0543,0.0371,0.9656,0.9225,0.9525,,,,,,,,
,,,,White,1.4506,0.9343,-0.0128,-0.0268,0.9732,0.9858,0.9518,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.5277,0.8917,0.1285,0.0432,0.9539,0.8913,0.9664,"[9505, 1285, 1460, 2037]",0.8157,0.6103,0.5896,0.6326,0.4903,0.5896,0.889
,,,,Asian-Pac-Islander,1.3355,0.9243,-0.0634,-0.0549,0.9439,0.932,0.9663,,,,,,,,
,,,,Black,0.4899,0.8777,0.0941,0.0573,0.9427,0.9067,0.9664,,,,,,,,
,,,,Other,0.5262,0.8914,0.09,0.0384,0.9591,0.9101,0.9662,,,,,,,,
,,,,White,1.5297,0.9169,-0.0373,-0.0369,0.9631,0.9621,0.9663,,,,,,,,
Adult Income,race,LGAFFS,RandomForestClassifier,Amer-Indian-Eskimo,0.8278,0.9642,0.1042,-0.0024,0.9689,0.9251,0.9485,"[6560, 639, 1029, 1296]",0.8236,0.6138,0.5743,0.6593,0.5022,0.5743,0.9041
,,,,Asian-Pac-Islander,1.6104,0.8733,-0.1235,-0.0638,0.9366,0.8719,0.9483,,,,,,,,
,,,,Black,0.4305,0.8721,0.1223,0.0517,0.9487,0.8773,0.9483,,,,,,,,
,,,,Other,0.3529,0.8615,0.2416,0.0366,0.9663,0.7586,0.9483,,,,,,,,
,,,,White,1.4566,0.9304,-0.0123,-0.0269,0.9729,0.9885,0.9483,,,,,,,,
Adult Income,race,LGAFFS,XGBClassifier,Amer-Indian-Eskimo,0.5971,0.9183,0.1395,0.0127,0.9858,0.8876,0.9649,"[9947, 843, 1531, 1966]",0.8347,0.63,0.5748,0.6971,0.529,0.5748,0.919
,,,,Asian-Pac-Islander,1.3707,0.9262,-0.0994,-0.0408,0.9581,0.899,0.9649,,,,,,,,
,,,,Black,0.4401,0.8807,0.1438,0.0449,0.9554,0.8587,0.9648,,,,,,,,
,,,,Other,0.5353,0.9058,0.0749,0.0264,0.9765,0.9249,0.9648,,,,,,,,
,,,,White,1.5894,0.921,-0.0501,-0.0267,0.9734,0.948,0.9645,,,,,,,,
Adult Income,sex,LGAFFS,RandomForestClassifier,Female,0.2797,0.7971,0.2057,0.0975,0.9024,0.7946,0.9395,"[6473, 726, 1012, 1313]",0.8189,0.6056,0.5696,0.6464,0.4903,0.5696,0.8994
,,,,Male,3.5793,0.7971,-0.2057,-0.0975,0.9024,0.7946,0.9395,,,,,,,,
Adult Income,sex,LGAFFS,XGBClassifier,Female,0.2638,0.7982,0.2112,0.0957,0.9043,0.7879,0.959,"[9874, 916, 1457, 2040]",0.8339,0.6323,0.5834,0.6901,0.5291,0.5834,0.9151
,,,,Male,3.7911,0.7982,-0.2112,-0.0957,0.9043,0.7879,0.959,,,,,,,,
Adult Income,sex,LGAFFS,RandomForestClassifier,Female,0.2823,0.7965,0.2053,0.0965,0.9034,0.7943,0.9391,"[6460, 739, 979, 1346]",0.8203,0.6101,0.5758,0.6488,0.4954,0.5758,0.8993
,,,,Male,3.5433,0.7965,-0.2053,-0.0965,0.9034,0.7943,0.9391,,,,,,,,
Adult Income,sex,LGAFFS,XGBClassifier,Female,0.2672,0.7998,0.2024,0.0955,0.9045,0.797,0.9591,"[9874, 916, 1457, 2040]",0.8339,0.6321,0.5827,0.6906,0.529,0.5827,0.9154
,,,,Male,3.7433,0.7998,-0.2024,-0.0955,0.9045,0.797,0.9591,,,,,,,,
