dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2958,0.8481,0.3266,0.078,0.9234,0.6883,0.9404,"[6459, 740, 1024, 1301]",0.8148,0.596,0.5596,0.6374,0.4782,0.5596,0.8972
,,,,Asian-Pac-Islander,1.3167,0.9328,-0.0281,-0.0259,0.9726,0.9725,0.9408,,,,,,,,
,,,,Black,0.4061,0.865,0.1195,0.0631,0.9368,0.8827,0.9401,,,,,,,,
,,,,Other,0.1963,0.8268,0.3101,0.0735,0.9278,0.6899,0.9403,,,,,,,,
,,,,White,1.7666,0.9008,-0.0777,-0.0525,0.9479,0.9242,0.9405,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.3007,0.8058,0.1333,0.1032,0.8967,0.8683,0.9353,"[6455, 744, 1032, 1293]",0.8135,0.5928,0.5561,0.6348,0.4743,0.5561,0.8967
,,,,Male,3.3257,0.8058,-0.1333,-0.1032,0.8967,0.8683,0.9353,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.7753,0.963,0.1453,-0.0011,0.9947,0.8733,0.9441,"[6653, 546, 1306, 1019]",0.8055,0.5239,0.4383,0.6511,0.4201,0.4383,0.9242
,,,,Asian-Pac-Islander,1.7187,0.8845,-0.1447,-0.0537,0.9449,0.8564,0.9442,,,,,,,,
,,,,Black,0.5366,0.9203,0.0211,0.0286,0.9713,0.9798,0.9439,,,,,,,,
,,,,Other,0.341,0.8912,-0.0618,0.0463,0.955,0.9382,0.944,,,,,,,,
,,,,White,1.2761,0.9633,0.0471,-0.0127,0.9872,0.9515,0.9441,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.7856,0.97,-0.165,0.0503,0.9557,0.7963,0.9475,"[9836, 954, 2457, 1040]",0.7613,0.3788,0.2974,0.5216,0.2593,0.2974,0.9116
,,,,Asian-Pac-Islander,1.3488,0.9518,-0.0456,-0.0395,0.9624,0.954,0.9474,,,,,,,,
,,,,Black,0.7715,0.9674,0.0584,-0.0007,0.9988,0.9426,0.9471,,,,,,,,
,,,,Other,1.0358,0.995,-0.0026,-0.0352,0.9631,0.9883,0.9474,,,,,,,,
,,,,White,1.1115,0.9858,-0.0038,0.0082,0.9921,0.9968,0.9469,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.5923,0.9121,0.2707,0.0255,0.9786,0.7478,0.9489,"[6463, 736, 1016, 1309]",0.816,0.5991,0.563,0.6401,0.482,0.563,0.8978
,,,,Asian-Pac-Islander,1.3142,0.9332,-0.0448,-0.0167,0.9823,0.955,0.9487,,,,,,,,
,,,,Black,0.4819,0.8829,0.0282,0.0545,0.9457,0.9689,0.9492,,,,,,,,
,,,,Other,0.3264,0.8547,0.3134,0.0429,0.9599,0.6864,0.9486,,,,,,,,
,,,,White,1.5582,0.9189,-0.0201,-0.041,0.9589,0.9796,0.9489,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4893,0.8738,0.1792,0.0548,0.9436,0.8593,0.9623,"[9513, 1277, 1259, 2238]",0.8225,0.6383,0.64,0.6367,0.5207,0.64,0.8816
,,,,Asian-Pac-Islander,0.9919,0.998,0.0058,0.0252,0.973,0.9989,0.9625,,,,,,,,
,,,,Black,0.4699,0.8627,0.1472,0.0603,0.9399,0.8555,0.9621,,,,,,,,
,,,,Other,0.4877,0.8734,0.1407,0.0365,0.9581,0.8595,0.9621,,,,,,,,
,,,,White,1.7721,0.8858,-0.096,-0.0574,0.943,0.9031,0.9623,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.3423,0.8161,0.3187,0.1266,0.8769,0.6961,0.9378,"[5835, 1364, 1042, 1283]",0.7474,0.5161,0.5518,0.4847,0.3475,0.5518,0.8105
,,,,Asian-Pac-Islander,0.8757,0.9653,0.1345,0.0341,0.9637,0.8667,0.9371,,,,,,,,
,,,,Black,0.7154,0.9187,0.1113,0.0182,0.9819,0.8908,0.9364,,,,,,,,
,,,,Other,0.6062,0.8902,0.3023,0.0405,0.9664,0.6977,0.9375,,,,,,,,
,,,,White,1.4221,0.9138,-0.1444,-0.0327,0.9677,0.8537,0.9364,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.4263,0.8373,0.0479,0.1336,0.8686,0.9692,0.9424,"[8809, 1981, 1447, 2050]",0.7601,0.5446,0.5862,0.5086,0.3846,0.5862,0.8164
,,,,Asian-Pac-Islander,0.7635,0.9328,0.1018,0.0729,0.9295,0.8976,0.9423,,,,,,,,
,,,,Black,0.7826,0.9374,0.1163,-0.0058,0.9946,0.8824,0.9417,,,,,,,,
,,,,Other,0.7244,0.9221,0.287,-0.0082,0.9912,0.77,0.9421,,,,,,,,
,,,,White,1.3479,0.9244,-0.1192,-0.0205,0.9798,0.8812,0.9418,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.6505,0.9257,0.2451,0.0171,0.9878,0.7733,0.9404,"[6431, 768, 1075, 1250]",0.8065,0.5756,0.5376,0.6194,0.453,0.5376,0.8933
,,,,Asian-Pac-Islander,1.5706,0.8812,-0.1517,-0.0414,0.9562,0.8441,0.9405,,,,,,,,
,,,,Black,0.5085,0.8907,0.0302,0.0491,0.9504,0.9656,0.9403,,,,,,,,
,,,,Other,0.2643,0.8433,0.0375,0.0774,0.9238,0.9623,0.9404,,,,,,,,
,,,,White,1.3937,0.9376,0.0362,-0.0344,0.966,0.9626,0.9404,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.5265,0.8814,0.15,0.056,0.9386,0.8883,0.9519,"[9364, 1426, 1360, 2137]",0.805,0.6054,0.6111,0.5998,0.4759,0.6111,0.8678
,,,,Asian-Pac-Islander,1.1187,0.9705,-0.049,0.0007,0.9994,0.9514,0.9518,,,,,,,,
,,,,Black,0.6263,0.9034,0.0996,0.0266,0.9732,0.9038,0.9521,,,,,,,,
,,,,Other,0.6259,0.9064,0.0112,0.0366,0.9637,0.9601,0.9518,,,,,,,,
,,,,White,1.4141,0.9238,-0.0451,-0.0276,0.9729,0.9553,0.9519,,,,,,,,
Adult Income,race,Massaging,RandomForestClassifier,Amer-Indian-Eskimo,0.589,0.9109,0.2131,0.0396,0.9639,0.809,0.9403,"[6455, 744, 1012, 1313]",0.8156,0.5993,0.5647,0.6383,0.4816,0.5647,0.8967
,,,,Asian-Pac-Islander,1.4612,0.9018,-0.1034,-0.0302,0.9682,0.8935,0.9407,,,,,,,,
,,,,Black,0.4886,0.8838,0.0585,0.0492,0.9515,0.9372,0.9403,,,,,,,,
,,,,Other,0.3244,0.8534,0.3154,0.044,0.9588,0.6847,0.9404,,,,,,,,
,,,,White,1.4746,0.9271,-0.0031,-0.0354,0.9648,0.9975,0.9405,,,,,,,,
Adult Income,race,Massaging,XGBClassifier,Amer-Indian-Eskimo,0.5226,0.8996,-0.024,0.0606,0.9406,0.9804,0.9621,"[9867, 923, 1428, 2069]",0.8354,0.6377,0.5916,0.6915,0.5348,0.5916,0.9145
,,,,Asian-Pac-Islander,1.2724,0.9434,-0.0441,-0.0376,0.9628,0.9577,0.9622,,,,,,,,
,,,,Black,0.4604,0.8809,0.1474,0.0413,0.9586,0.8529,0.9622,,,,,,,,
,,,,Other,0.4584,0.8861,0.1923,0.031,0.9719,0.8363,0.9619,,,,,,,,
