dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.3914,0.8677,0.2727,0.0656,0.9364,0.7456,0.9384,"[6454, 745, 1011, 1314]",0.8156,0.5995,0.5652,0.6382,0.4818,0.5652,0.8965
,,,,Asian-Pac-Islander,1.3357,0.9282,-0.0623,-0.0155,0.9836,0.9361,0.9383,,,,,,,,
,,,,Black,0.4357,0.871,0.1251,0.0559,0.9443,0.8769,0.9385,,,,,,,,
,,,,Other,0.2591,0.839,0.3159,0.0592,0.9429,0.6843,0.9382,,,,,,,,
,,,,White,1.6752,0.9075,-0.0558,-0.0465,0.9532,0.9427,0.9384,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2944,0.8044,0.1328,0.1049,0.8951,0.8688,0.9355,"[6463, 736, 1033, 1292]",0.8143,0.5936,0.5557,0.6371,0.4758,0.5557,0.8978
,,,,Male,3.3971,0.8044,-0.1328,-0.1049,0.8951,0.8688,0.9355,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.6071,0.9105,0.2599,0.0326,0.9724,0.7586,0.9387,"[6321, 878, 1041, 1284]",0.7985,0.5723,0.5523,0.5939,0.4413,0.5523,0.878
,,,,Asian-Pac-Islander,1.1959,0.9558,-0.0258,0.0036,0.9974,0.9754,0.9391,,,,,,,,
,,,,Black,0.5139,0.8842,0.0166,0.0596,0.9402,0.9801,0.9383,,,,,,,,
,,,,Other,0.2467,0.8281,0.3027,0.0779,0.9243,0.6972,0.9388,,,,,,,,
,,,,White,1.5811,0.9119,-0.0225,-0.0526,0.9478,0.9767,0.9385,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.3555,0.8008,0.2408,0.1169,0.8815,0.7422,0.952,"[8850, 1940, 1046, 2451]",0.791,0.6215,0.7009,0.5582,0.4856,0.7009,0.8202
,,,,Asian-Pac-Islander,1.015,0.9954,0.0309,0.011,0.9911,0.9734,0.9519,,,,,,,,
,,,,Black,0.5788,0.8652,0.0669,0.0706,0.9293,0.9342,0.9518,,,,,,,,
,,,,Other,0.39,0.8115,0.2018,0.1124,0.8864,0.7983,0.9518,,,,,,,,
,,,,White,1.5972,0.8787,-0.0717,-0.0712,0.929,0.9273,0.9516,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,1.0893,0.9823,-0.1095,-0.0629,0.9372,0.8898,0.9168,"[6150, 1049, 1430, 895]",0.7397,0.4193,0.3849,0.4604,0.255,0.3849,0.8543
,,,,Male,0.9181,0.9823,0.1095,0.0629,0.9372,0.8898,0.9168,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,1.1983,0.9633,-0.1383,-0.0838,0.9162,0.8612,0.9381,"[9399, 1391, 2069, 1428]",0.7578,0.4522,0.4084,0.5066,0.3019,0.4084,0.8711
,,,,Male,0.8345,0.9633,0.1383,0.0838,0.9162,0.8612,0.9381,,,,,,,,
