dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,,RandomForestClassifier,Amer-Indian-Eskimo,0.3181,0.8535,0.308,0.0755,0.9259,0.7078,0.9394,"[6453, 746, 1021, 1304]",0.8148,0.5953,0.558,0.638,0.4777,0.558,0.8977
,,,,Asian-Pac-Islander,1.313,0.9338,-0.047,-0.0153,0.9838,0.9528,0.9395,,,,,,,,
,,,,Black,0.445,0.8748,0.0846,0.0571,0.943,0.9157,0.9393,,,,,,,,
,,,,Other,0.2296,0.8346,0.237,0.0698,0.9317,0.763,0.9393,,,,,,,,
,,,,White,1.684,0.9079,-0.0458,-0.0494,0.9508,0.9528,0.9396,,,,,,,,
Adult Income,sex,,RandomForestClassifier,Female,0.2951,0.804,0.1395,0.1039,0.8962,0.8617,0.9352,"[6451, 748, 1014, 1311]",0.8146,0.595,0.5579,0.6374,0.4772,0.5579,0.8975
,,,,Male,3.3902,0.804,-0.1395,-0.1039,0.8962,0.8617,0.9352,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,RandomForestClassifier,Amer-Indian-Eskimo,0.7791,0.9501,0.193,-0.0084,0.9696,0.8257,0.9404,"[6488, 711, 1170, 1155]",0.7981,0.542,0.4901,0.6073,0.4186,0.4901,0.8976
,,,,Asian-Pac-Islander,1.2483,0.947,-0.0146,-0.013,0.9828,0.9282,0.9405,,,,,,,,
,,,,Black,0.5406,0.9051,0.0054,0.0442,0.956,0.9841,0.94,,,,,,,,
,,,,Other,0.3317,0.8674,0.1332,0.0549,0.9473,0.852,0.9403,,,,,,,,
,,,,White,1.4743,0.9341,-0.013,-0.0327,0.9673,0.9669,0.9402,,,,,,,,
Adult Income,race,PermutationGeneticAlgorithm,XGBClassifier,Amer-Indian-Eskimo,0.6704,0.9033,0.0443,0.0352,0.9242,0.8884,0.9548,"[9922, 868, 1603, 1894]",0.7991,0.5706,0.5495,0.6016,0.4438,0.5495,0.88
,,,,Asian-Pac-Islander,1.0483,0.9795,0.0268,-0.0056,0.9837,0.954,0.9547,,,,,,,,
,,,,Black,0.5727,0.899,0.0788,0.0425,0.9567,0.921,0.9545,,,,,,,,
,,,,Other,0.4856,0.8776,0.2074,0.0431,0.948,0.8017,0.9546,,,,,,,,
,,,,White,1.5466,0.9176,-0.0653,-0.0358,0.9642,0.934,0.9544,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,RandomForestClassifier,Female,0.6315,0.9098,-0.0829,0.0487,0.9006,0.9169,0.9272,"[6454, 745, 1573, 752]",0.7507,0.4078,0.3528,0.4872,0.2615,0.3528,0.8792
,,,,Male,2.0711,0.9098,0.0829,-0.0487,0.9006,0.9169,0.9272,,,,,,,,
Adult Income,sex,PermutationGeneticAlgorithm,XGBClassifier,Female,0.7979,0.9389,-0.1956,0.0218,0.9168,0.8045,0.9449,"[9811, 979, 2301, 1196]",0.765,0.4307,0.365,0.5305,0.2983,0.365,0.8946
,,,,Male,1.4147,0.9389,0.1956,-0.0218,0.9168,0.8045,0.9449,,,,,,,,
