dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2973,0.8492,0.2641,0.0905,0.9102,0.7542,0.9394,"[6462, 737, 1031, 1294]",0.8144,0.5941,0.5566,0.6371,0.4763,0.5566,0.8976
,,,,Asian-Pac-Islander,1.3078,0.935,-0.0412,-0.0166,0.9825,0.9588,0.9393,,,,,,,,
,,,,Black,0.4516,0.8765,0.0876,0.056,0.9442,0.9158,0.939,,,,,,,,
,,,,Other,0.3287,0.8562,0.0568,0.0581,0.944,0.9433,0.9392,,,,,,,,
,,,,White,1.6689,0.9093,-0.0416,-0.0481,0.9515,0.9572,0.9392,,,,,,,,
Adult Income,sex,NA,RandomForestClassifier,Female,0.2821,0.7977,0.1475,0.1091,0.8909,0.8538,0.9351,"[6455, 744, 1017, 1308]",0.8151,0.5977,0.5626,0.6374,0.4798,0.5626,0.8967
,,,,Male,3.5447,0.7977,-0.1475,-0.1091,0.8909,0.8538,0.9351,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.8077,0.9696,0.1514,-0.0121,0.9837,0.8669,0.9481,"[6731, 468, 1291, 1034]",0.8153,0.5404,0.4447,0.6884,0.4475,0.4447,0.935
,,,,Asian-Pac-Islander,1.5568,0.9137,-0.0776,-0.0405,0.9594,0.9264,0.9482,,,,,,,,
,,,,Black,0.4222,0.9035,0.0661,0.039,0.9614,0.9333,0.9482,,,,,,,,
,,,,Other,0.1778,0.8696,-0.0552,0.0655,0.9344,0.9446,0.948,,,,,,,,
,,,,White,1.5271,0.9427,-0.0073,-0.0233,0.9763,0.992,0.9482,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.5818,0.921,0.065,0.0148,0.9836,0.9181,0.9599,"[9940, 850, 1658, 1839]",0.8245,0.5946,0.5259,0.6839,0.4918,0.5259,0.9212
,,,,Asian-Pac-Islander,1.065,0.9878,0.0266,-0.0012,0.9965,0.9777,0.9598,,,,,,,,
,,,,Black,0.4309,0.8868,0.1375,0.0446,0.9556,0.8627,0.9594,,,,,,,,
,,,,Other,0.5101,0.9074,0.1263,0.0379,0.969,0.9023,0.9595,,,,,,,,
,,,,White,1.7961,0.911,-0.0961,-0.0354,0.9647,0.9039,0.9592,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.6029,0.9159,0.2645,0.0224,0.9817,0.7538,0.95,"[6485, 714, 1030, 1295]",0.8169,0.5976,0.557,0.6446,0.482,0.557,0.9008
,,,,Asian-Pac-Islander,1.4023,0.9162,-0.0508,-0.0394,0.9587,0.9487,0.9497,,,,,,,,
,,,,Black,0.4663,0.8813,0.0313,0.0564,0.9437,0.9652,0.9501,,,,,,,,
,,,,Other,0.3322,0.8585,0.3077,0.0397,0.963,0.6925,0.9497,,,,,,,,
,,,,White,1.536,0.9225,-0.0185,-0.0374,0.9625,0.9814,0.9498,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.6273,0.9151,0.0746,0.0253,0.9782,0.9425,0.9648,"[9690, 1100, 1354, 2143]",0.8282,0.6359,0.6128,0.6608,0.5244,0.6128,0.8981
,,,,Asian-Pac-Islander,1.0622,0.9859,0.003,-0.0014,0.9999,0.9938,0.9648,,,,,,,,
,,,,Black,0.4465,0.8675,0.1438,0.057,0.9431,0.8603,0.9647,,,,,,,,
,,,,Other,0.529,0.8927,0.0128,0.0338,0.965,0.9584,0.9645,,,,,,,,
,,,,White,1.7317,0.898,-0.0856,-0.0459,0.954,0.9128,0.9647,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.5865,0.9025,0.3074,0.0277,0.9773,0.7109,0.9541,"[6356, 843, 931, 1394]",0.8137,0.6111,0.5996,0.6232,0.4889,0.5996,0.8829
,,,,Asian-Pac-Islander,1.3104,0.9278,-0.067,-0.0063,0.9925,0.9299,0.9537,,,,,,,,
,,,,Black,0.4083,0.8526,0.1326,0.0726,0.9276,0.8708,0.9534,,,,,,,,
,,,,Other,0.2982,0.8343,0.3503,0.0579,0.9449,0.6498,0.9541,,,,,,,,
,,,,White,1.7116,0.8961,-0.0609,-0.0577,0.9423,0.9392,0.9534,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.3641,0.8081,0.272,0.1099,0.8924,0.7665,0.9556,"[9063, 1727, 936, 2561]",0.8136,0.6579,0.7323,0.5972,0.5369,0.7323,0.8399
,,,,Asian-Pac-Islander,0.9937,0.9981,0.0635,0.0053,0.9944,0.9409,0.9559,,,,,,,,
,,,,Black,0.4899,0.8391,0.1174,0.0854,0.9141,0.8832,0.9557,,,,,,,,
,,,,Other,0.3194,0.7946,0.2334,0.12,0.887,0.7667,0.9554,,,,,,,,
,,,,White,1.7873,0.859,-0.1156,-0.0808,0.9194,0.8858,0.9556,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.6214,0.9222,0.2587,0.0161,0.988,0.7599,0.9453,"[6530, 669, 1044, 1281]",0.8201,0.5993,0.551,0.6569,0.4876,0.551,0.9071
,,,,Asian-Pac-Islander,1.5788,0.8836,-0.1275,-0.0458,0.9523,0.8686,0.9451,,,,,,,,
,,,,Black,0.4713,0.8859,0.082,0.0453,0.9549,0.9217,0.9451,,,,,,,,
