dataset,sensitive_attribute,algorithm,model,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,,RandomForestClassifier,Amer-Indian-Eskimo,0.3055,0.8508,0.3147,0.0774,0.9239,0.7007,0.9398,"[6455, 744, 1026, 1299]",0.8147,0.5951,0.5577,0.6378,0.4774,0.5577,0.8977
,,,,Asian-Pac-Islander,1.3192,0.9326,-0.0451,-0.0182,0.9809,0.9547,0.9399,,,,,,,,
,,,,Black,0.4389,0.8734,0.0912,0.0579,0.9422,0.9093,0.9396,,,,,,,,
,,,,Other,0.243,0.8375,0.2582,0.0655,0.9362,0.7419,0.9396,,,,,,,,
,,,,White,1.6934,0.9072,-0.0508,-0.0493,0.9509,0.9477,0.9399,,,,,,,,
Adult Income,sex,,RandomForestClassifier,Female,0.2946,0.804,0.1345,0.1046,0.8954,0.8665,0.9358,"[6468, 731, 1024, 1301]",0.8148,0.5952,0.5578,0.6379,0.4776,0.5578,0.8977
,,,,Male,3.396,0.804,-0.1345,-0.1046,0.8954,0.8665,0.9358,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.7921,0.9669,0.1634,-0.0134,0.9824,0.8546,0.9495,"[6758, 441, 1313, 1012]",0.8166,0.5442,0.4486,0.6918,0.4519,0.4486,0.9354
,,,,Asian-Pac-Islander,1.6689,0.8963,-0.1041,-0.0526,0.9466,0.8973,0.9495,,,,,,,,
,,,,Black,0.435,0.9054,0.048,0.0389,0.9614,0.9521,0.9494,,,,,,,,
,,,,Other,0.2212,0.8761,0.1405,0.046,0.9548,0.8351,0.9493,,,,,,,,
,,,,White,1.4446,0.9491,0.0102,-0.0195,0.9804,0.9867,0.9495,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.5818,0.921,0.065,0.0148,0.9836,0.9181,0.9599,"[9940, 850, 1658, 1839]",0.8245,0.5946,0.5259,0.6839,0.4918,0.5259,0.9212
,,,,Asian-Pac-Islander,1.065,0.9878,0.0266,-0.0012,0.9965,0.9777,0.9598,,,,,,,,
,,,,Black,0.4309,0.8868,0.1375,0.0446,0.9556,0.8627,0.9594,,,,,,,,
,,,,Other,0.5101,0.9074,0.1263,0.0379,0.969,0.9023,0.9595,,,,,,,,
,,,,White,1.7961,0.911,-0.0961,-0.0354,0.9647,0.9039,0.9592,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.5921,0.9125,0.2744,0.0234,0.9809,0.7439,0.9484,"[6497, 702, 1043, 1282]",0.817,0.6002,0.5627,0.643,0.484,0.5627,0.8991
,,,,Asian-Pac-Islander,1.3541,0.9252,-0.0493,-0.0261,0.9726,0.9501,0.9483,,,,,,,,
,,,,Black,0.4774,0.8825,0.044,0.0526,0.9476,0.9523,0.9485,,,,,,,,
,,,,Other,0.3084,0.8515,0.2548,0.0495,0.9528,0.7452,0.9482,,,,,,,,
,,,,White,1.547,0.9205,-0.0252,-0.038,0.962,0.9746,0.9484,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.6273,0.9151,0.0746,0.0253,0.9782,0.9425,0.9648,"[9690, 1100, 1354, 2143]",0.8282,0.6359,0.6128,0.6608,0.5244,0.6128,0.8981
,,,,Asian-Pac-Islander,1.0622,0.9859,0.003,-0.0014,0.9999,0.9938,0.9648,,,,,,,,
,,,,Black,0.4465,0.8675,0.1438,0.057,0.9431,0.8603,0.9647,,,,,,,,
,,,,Other,0.529,0.8927,0.0128,0.0338,0.965,0.9584,0.9645,,,,,,,,
,,,,White,1.7317,0.898,-0.0856,-0.0459,0.954,0.9128,0.9647,,,,,,,,
Adult Income,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.4155,0.8634,0.3675,0.0499,0.9537,0.6469,0.9546,"[6356, 843, 941, 1384]",0.8136,0.6089,0.5944,0.6241,0.4869,0.5944,0.8844
,,,,Asian-Pac-Islander,1.3394,0.9219,-0.0604,-0.0197,0.9789,0.9368,0.9542,,,,,,,,
,,,,Black,0.4288,0.8594,0.1249,0.0658,0.9345,0.8759,0.9539,,,,,,,,
,,,,Other,0.2572,0.8264,0.2699,0.072,0.9301,0.7301,0.9544,,,,,,,,
,,,,White,1.6821,0.8999,-0.0645,-0.0528,0.9473,0.935,0.9541,,,,,,,,
Adult Income,race,Reweighing,XGBClassifier,Amer-Indian-Eskimo,0.3641,0.8081,0.272,0.1099,0.8924,0.7665,0.9556,"[9063, 1727, 936, 2561]",0.8136,0.6579,0.7323,0.5972,0.5369,0.7323,0.8399
,,,,Asian-Pac-Islander,0.9937,0.9981,0.0635,0.0053,0.9944,0.9409,0.9559,,,,,,,,
,,,,Black,0.4899,0.8391,0.1174,0.0854,0.9141,0.8832,0.9557,,,,,,,,
,,,,Other,0.3194,0.7946,0.2334,0.12,0.887,0.7667,0.9554,,,,,,,,
,,,,White,1.7873,0.859,-0.1156,-0.0808,0.9194,0.8858,0.9556,,,,,,,,
